original_cluster_id,manual_annotation
0,Novel Ecto. (tp73/dscaml1)
1,Non-neural Ectoderm (inner)
2,Non-neural Ectoderm (inner)
3,Neural Plate
4,Non-neural Ectoderm (outer)
5,Non-neural Ectoderm (inner)
6,Non-neural Ectoderm (outer)
7,Cement Gland
8,Non-neural Ectoderm (outer)
9,Unknown
10,Non-neural Ectoderm (inner)
11,Neural Plate
12,Dorsal Mesoderm
13,Ventral Mesoderm
14,Ventral Endoderm
15,Dorsal Mesoderm
16,Neural Plate (outer)
17,Dorsal Mesoderm
18,Neural Plate
19,Neural Plate Border
20,Unknown
21,Non-neural Ectoderm (outer)
22,Ventral Mesoderm
23,Unknown
24,Dorsal Endoderm
25,Neural Plate
26,Involuting Endoderm
27,Neural Plate Border
28,Ventral Mesoderm
29,Non-neural Ectoderm (inner)
30,Neural Plate
31,Unknown
32,Cement Gland
33,Neural Plate Border
34,Neural Plate
35,Neural Plate (outer)
36,Neural Plate
37,Neural Plate
38,Non-neural Ectoderm (outer)
39,Dorsal Mesoderm
40,Dorsal Endoderm
41,Non-neural Ectoderm (outer)
42,Neural Plate Border
43,Unknown
44,Neural Plate
45,Ciliated Epidermal Progenitor
46,Non-neural Ectoderm (inner)
47,Involuting Ventral Mesoderm
48,Dorsal Endoderm
49,Non-neural Ectoderm (outer)
50,Non-neural Ectoderm (inner)
51,Involuting Dorsal Mesoderm
52,Dorsal Mesoderm
53,Dorsal Mesoderm
54,Non-neural Ectoderm (inner)
55,Neural Plate
56,Non-neural Ectoderm (outer)
57,Non-neural Ectoderm (outer)
