group,cell_count,percent
Neuroectoderm 2,2551,18.092198581560282
Epidermis 2,2306,16.354609929078013
Epidermis1,2170,15.390070921985815
Dorsal Mesoderm 2,1347,9.553191489361701
Ventral Mesoderm 2,1276,9.049645390070921
Neural Plate Border 1,1203,8.53191489361702
Neuroectoderm 1,860,6.099290780141844
Unidentified Cluster,842,5.971631205673759
Dorsal Endoderm 2,522,3.702127659574468
Ventral Endoderm 2,479,3.397163120567376
Dorsal Endoderm 1,242,1.7163120567375887
Dorsal Mesoderm 1,164,1.1631205673758864
Ventral Endoderm 1,70,0.49645390070921985
Ventral Mesoderm 1,68,0.48226950354609927
