group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neuroectoderm 2,zeb2,41.11135,1.9717134,0.0,0.0,0.9263034104272834,0.6110485756342541
Neuroectoderm 2,nhs,40.60708,1.9129194,0.0,0.0,0.9055272442179537,0.6597973850549831
Neuroectoderm 2,sox3,39.533485,2.150864,0.0,0.0,0.7651901215209722,0.30262360377521863
Neuroectoderm 2,cyyr1,35.657295,1.745195,1.8163601836741952e-278,4.4038661742171794e-275,0.8185025480203841,0.5149363581262447
Neuroectoderm 2,gse1,34.826996,1.5238429,9.495766985228921e-266,2.072071313846803e-262,0.898079184633477,0.6254221144687852
Neuroectoderm 2,col18a1,33.594677,1.9950151,2.0064684104147833e-247,3.9802861076055445e-244,0.9760878087024696,0.7243051346436921
Neuroectoderm 2,phldb1,32.268517,1.267214,1.934742566908414e-228,3.2475398117314234e-225,0.9263034104272834,0.73660057147805
Neuroectoderm 2,plekhg3,31.575943,1.3249367,7.900168273632086e-219,1.2313540849923267e-215,0.9494315954527637,0.7237856091436488
Neuroectoderm 2,tenm4,30.58419,1.4279798,1.9862381144741657e-205,2.708856368496298e-202,0.884359074872599,0.6581522209715127
Neuroectoderm 2,robo3,30.342493,1.5254004,3.1559663626907527e-202,3.825907888904162e-199,0.7593100744805958,0.491644298207637
Neuroectoderm 2,rcor1,29.415699,1.4148449,3.459177388584352e-190,3.7741354898149576e-187,0.7969423755390043,0.5153692960429475
Neuroectoderm 2,tcf12,28.836176,1.0710129,7.552683326982768e-183,7.165526212090913e-180,0.9274794198353586,0.76655987531388
Neuroectoderm 2,sox11,28.552887,1.3453993,2.5864484198315798e-179,2.300801705397138e-176,0.773030184241474,0.5169278725430774
Neuroectoderm 2,cdc25b,28.552223,1.0780771,2.635994804771938e-179,2.300801705397138e-176,0.93296746373971,0.7837042168153087
Neuroectoderm 2,meis3,28.193022,1.2669533,7.121060841640259e-175,5.976487254824311e-172,0.8769110152881223,0.6365053251363755
Neuroectoderm 2,cep131,28.079887,1.5736153,1.7247229738851008e-173,1.3441135718980995e-170,0.6664053312426499,0.39172222703264353
Neuroectoderm 2,rgma,28.042583,1.1840413,4.919468969547973e-173,3.7016459442933215e-170,0.857702861622893,0.6678500303056542
Neuroectoderm 2,srrm4,27.938925,2.1156726,8.986969433436114e-172,6.536822000233648e-169,0.5350842806742454,0.21049441510087452
Neuroectoderm 2,letm1,27.645948,1.352768,3.122112706474715e-168,2.197665205418863e-165,0.8145825166601333,0.5548532340462378
Neuroectoderm 2,alcam,26.056723,1.0818582,1.1288788712750016e-149,6.657639418943733e-147,0.875735005880047,0.683435795306953
Neuroectoderm 2,zmiz1,25.757391,1.0798775,2.6639881693185716e-146,1.4905355344282192e-143,0.8529988239905919,0.6431725690535978
Neuroectoderm 2,pcdh19,25.662714,1.262899,3.049773101208664e-145,1.6231487522310794e-142,0.8090944727557821,0.6178024071348168
Neuroectoderm 2,pdk1,25.587406,1.3256403,2.106803483733167e-144,1.0691292748498008e-141,0.6993335946687573,0.4215949432851329
Neuroectoderm 2,LOC116406756,25.227417,1.6691068,2.004428317989811e-140,9.719695628190149e-138,0.5480203841630733,0.2394146679366179
Neuroectoderm 2,zc4h2,24.792885,1.8114955,1.0697698421777638e-135,4.763968923706323e-133,0.5162681301450411,0.22608018010217334
Neuroectoderm 2,ccnd2,24.300997,1.2147409,1.913309084588216e-130,8.028907218230665e-128,0.7130537044296354,0.4635033336219586
