group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Endoderm 1,nectin2,13.522103,5.616755,1.1581662809595024e-41,2.5272346416817303e-37,1.0,0.3674321503131524
Ventral Endoderm 1,epcam,12.938079,3.8676507,2.7440632600237204e-38,1.99594014656592e-34,1.0,0.430062630480167
Ventral Endoderm 1,rreb1,12.886453,3.251535,5.365589185063309e-38,2.927063040181662e-34,1.0,0.8538622129436325
Ventral Endoderm 1,palm2,12.706566,4.7091565,5.436986337883311e-37,1.878919006324276e-33,0.9714285714285714,0.31524008350730687
Ventral Endoderm 1,celsr1,12.6985,4.0481253,6.027419936881872e-37,1.878919006324276e-33,0.9857142857142858,0.5824634655532359
Ventral Endoderm 1,marchf8,12.548057,5.6216536,4.0738475135248254e-36,1.1111928324078153e-32,0.9714285714285714,0.21085594989561587
Ventral Endoderm 1,fhod1,12.442787,5.795376,1.5306784717330677e-35,3.7112149924096963e-32,0.9428571428571428,0.13987473903966596
Ventral Endoderm 1,tmprss9,12.422621,6.6063747,1.9700089185835429e-35,4.298756461241149e-32,0.9428571428571428,0.12317327766179541
Ventral Endoderm 1,plec,12.325014,4.883163,6.643168372697329e-35,1.20800480883857e-31,0.9571428571428572,0.3277661795407098
Ventral Endoderm 1,LOC100491625,12.163279,2.7022276,4.876183320372558e-34,8.18486124875766e-31,1.0,0.7056367432150313
Ventral Endoderm 1,lima1,12.032195,5.064351,2.406746108937943e-33,3.7512576316524894e-30,0.9571428571428572,0.21920668058455114
Ventral Endoderm 1,phldb3,12.012029,5.7541165,3.0721440716721572e-33,4.4691503858638765e-30,0.9142857142857143,0.15866388308977036
Ventral Endoderm 1,slc5a8.1,11.546584,7.0220695,7.681328643767591e-31,8.82180380713961e-28,0.8714285714285714,0.029227557411273485
Ventral Endoderm 1,dcbld1,11.467128,3.1433468,1.9295851619317727e-30,2.1052738909256608e-27,0.9857142857142858,0.6576200417536534
Ventral Endoderm 1,tp53bp2,11.383234,3.45092,5.068436705258111e-30,5.2665884450208214e-27,0.9571428571428572,0.430062630480167
Ventral Endoderm 1,bicc1,11.378798,2.9464931,5.332979275227584e-30,5.289588216579142e-27,0.9857142857142858,0.8037578288100209
Ventral Endoderm 1,LOC100489507,11.233195,4.295502,2.8016095936572944e-29,2.4453569177278326e-26,0.9,0.22964509394572025
Ventral Endoderm 1,psd3,11.060165,3.7694767,1.9573564827153531e-28,1.5812765275209545e-25,0.9285714285714286,0.2567849686847599
Ventral Endoderm 1,axl,11.056939,6.8724656,2.0290427922912208e-28,1.5812765275209545e-25,0.8285714285714286,0.037578288100208766
Ventral Endoderm 1,arhgap27,10.996842,4.7850423,3.9574699194454455e-28,2.9777914176627264e-25,0.8714285714285714,0.15866388308977036
Ventral Endoderm 1,kirrel2,10.889959,2.398894,1.2869729833988353e-27,9.361012490248662e-25,1.0,0.7891440501043842
Ventral Endoderm 1,ano5,10.8585,4.3065104,1.817098542381017e-27,1.2390908529155053e-24,0.8714285714285714,0.18580375782881003
Ventral Endoderm 1,slc22a23,10.574958,4.856301,3.8935410895294314e-26,2.427456003274906e-23,0.8428571428571429,0.267223382045929
Ventral Endoderm 1,st14,10.519701,3.105558,7.009566432722148e-26,4.133939165633243e-23,0.9285714285714286,0.40292275574112735
Ventral Endoderm 1,hpgd,10.512037,5.4112353,7.603268946099775e-26,4.3660771492853474e-23,0.8142857142857143,0.0709812108559499
Ventral Endoderm 1,rassf7,10.482191,5.526376,1.0429881366693434e-25,5.835652341092755e-23,0.8,0.05845511482254697
Ventral Endoderm 1,tjp2,10.432984,4.340209,1.7529391967277552e-25,9.562721552949087e-23,0.8428571428571429,0.18580375782881003
Ventral Endoderm 1,cdh1,10.367645,4.8764424,3.4799549050097565e-25,1.8080022852909023e-22,0.8142857142857143,0.10020876826722339
Ventral Endoderm 1,plpp3,10.358368,3.1414094,3.8344743574821304e-25,1.9458619756887807e-22,0.9428571428571428,0.5323590814196242
Ventral Endoderm 1,LOC105945479,10.293836,3.751445,7.51232579878039e-25,3.725601392163339e-22,0.9428571428571428,0.5302713987473904
Ventral Endoderm 1,spint2,10.272056,2.3839486,9.417659545057643e-25,4.566727754060063e-22,0.9571428571428572,0.6492693110647182
Ventral Endoderm 1,tjp3,10.207522,6.1424875,1.8349075849085827e-24,8.70424313267178e-22,0.7714285714285715,0.054279749478079335
Ventral Endoderm 1,kiaa1671,10.147022,3.1448693,3.41627854005207e-24,1.5860981706909836e-21,0.9,0.5678496868475992
Ventral Endoderm 1,chmp5,10.061516,4.1452665,8.172993472105146e-24,3.715476886558466e-21,0.8285714285714286,0.162839248434238
Ventral Endoderm 1,arhgef38,10.035299,4.385391,1.0663532652324601e-23,4.748754000130104e-21,0.8142857142857143,0.14613778705636743
Ventral Endoderm 1,plekha4,9.975606,2.3839538,1.9490726975078614e-23,8.506143066463808e-21,0.9285714285714286,0.6116910229645094
Ventral Endoderm 1,epas1,9.932853,3.8198898,2.995589415969108e-23,1.2570530124204212e-20,0.8857142857142857,0.42588726513569936
Ventral Endoderm 1,prc1,9.906636,3.684825,3.8953922813876204e-23,1.5740991661510973e-20,0.8285714285714286,0.23382045929018788
Ventral Endoderm 1,ralgapa2,9.769504,3.3016286,1.521956475696958e-22,5.771735751948485e-20,0.9,0.31106471816283926
Ventral Endoderm 1,nav2,9.740464,3.2327957,2.026272222994463e-22,7.369214362993696e-20,0.8857142857142857,0.5073068893528184
Ventral Endoderm 1,depdc1b,9.570662,3.0812898,1.0622414056128613e-21,3.7385757599803626e-19,0.8428571428571429,0.302713987473904
Ventral Endoderm 1,smtn,9.552108,2.810491,1.270837642959685e-21,4.401737810638617e-19,0.9285714285714286,0.5198329853862212
Ventral Endoderm 1,efna4,9.501692,4.831756,2.0650828577997473e-21,7.040964537507545e-19,0.7428571428571429,0.09812108559498957
Ventral Endoderm 1,usp43,9.499675,3.4789824,2.1054680479176514e-21,7.068218195940165e-19,0.8142857142857143,0.23382045929018788
Ventral Endoderm 1,itpka,9.423445,3.4496014,4.3652521605667794e-21,1.4432449605413288e-18,0.8285714285714286,0.325678496868476
Ventral Endoderm 1,slc12a3l,9.382305,7.226317,6.454581930302068e-21,2.102170631360021e-18,0.7142857142857143,0.04175365344467641
Ventral Endoderm 1,LOC101733480,9.342779,6.2730203,9.383844003937708e-21,3.0112479413224222e-18,0.7142857142857143,0.04801670146137787
