group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Endoderm 1,nectin2,13.522103,5.616755,1.1581662809595024e-41,2.5272346416817303e-37,1.0,0.3674321503131524
Ventral Endoderm 1,epcam,12.938079,3.8676507,2.7440632600237204e-38,1.99594014656592e-34,1.0,0.430062630480167
Ventral Endoderm 1,rreb1,12.886453,3.251535,5.365589185063309e-38,2.927063040181662e-34,1.0,0.8538622129436325
Ventral Endoderm 1,palm2,12.706566,4.7091565,5.436986337883311e-37,1.878919006324276e-33,0.9714285714285714,0.31524008350730687
Ventral Endoderm 1,celsr1,12.6985,4.0481253,6.027419936881872e-37,1.878919006324276e-33,0.9857142857142858,0.5824634655532359
Ventral Endoderm 1,marchf8,12.548057,5.6216536,4.0738475135248254e-36,1.1111928324078153e-32,0.9714285714285714,0.21085594989561587
Ventral Endoderm 1,fhod1,12.442787,5.795376,1.5306784717330677e-35,3.7112149924096963e-32,0.9428571428571428,0.13987473903966596
Ventral Endoderm 1,tmprss9,12.422621,6.6063747,1.9700089185835429e-35,4.298756461241149e-32,0.9428571428571428,0.12317327766179541
Ventral Endoderm 1,plec,12.325014,4.883163,6.643168372697329e-35,1.20800480883857e-31,0.9571428571428572,0.3277661795407098
Ventral Endoderm 1,LOC100491625,12.163279,2.7022276,4.876183320372558e-34,8.18486124875766e-31,1.0,0.7056367432150313
Ventral Endoderm 1,lima1,12.032195,5.064351,2.406746108937943e-33,3.7512576316524894e-30,0.9571428571428572,0.21920668058455114
Ventral Endoderm 1,phldb3,12.012029,5.7541165,3.0721440716721572e-33,4.4691503858638765e-30,0.9142857142857143,0.15866388308977036
Ventral Endoderm 1,slc5a8.1,11.546584,7.0220695,7.681328643767591e-31,8.82180380713961e-28,0.8714285714285714,0.029227557411273485
Ventral Endoderm 1,dcbld1,11.467128,3.1433468,1.9295851619317727e-30,2.1052738909256608e-27,0.9857142857142858,0.6576200417536534
Ventral Endoderm 1,tp53bp2,11.383234,3.45092,5.068436705258111e-30,5.2665884450208214e-27,0.9571428571428572,0.430062630480167
Ventral Endoderm 1,bicc1,11.378798,2.9464931,5.332979275227584e-30,5.289588216579142e-27,0.9857142857142858,0.8037578288100209
Ventral Endoderm 1,LOC100489507,11.233195,4.295502,2.8016095936572944e-29,2.4453569177278326e-26,0.9,0.22964509394572025
Ventral Endoderm 1,psd3,11.060165,3.7694767,1.9573564827153531e-28,1.5812765275209545e-25,0.9285714285714286,0.2567849686847599
Ventral Endoderm 1,axl,11.056939,6.8724656,2.0290427922912208e-28,1.5812765275209545e-25,0.8285714285714286,0.037578288100208766
Ventral Endoderm 1,arhgap27,10.996842,4.7850423,3.9574699194454455e-28,2.9777914176627264e-25,0.8714285714285714,0.15866388308977036
Ventral Endoderm 1,kirrel2,10.889959,2.398894,1.2869729833988353e-27,9.361012490248662e-25,1.0,0.7891440501043842
Ventral Endoderm 1,ano5,10.8585,4.3065104,1.817098542381017e-27,1.2390908529155053e-24,0.8714285714285714,0.18580375782881003
Ventral Endoderm 1,slc22a23,10.574958,4.856301,3.8935410895294314e-26,2.427456003274906e-23,0.8428571428571429,0.267223382045929
Ventral Endoderm 1,st14,10.519701,3.105558,7.009566432722148e-26,4.133939165633243e-23,0.9285714285714286,0.40292275574112735
Ventral Endoderm 1,hpgd,10.512037,5.4112353,7.603268946099775e-26,4.3660771492853474e-23,0.8142857142857143,0.0709812108559499
Ventral Endoderm 2,fn1,13.37166,5.617595,8.854198645307211e-41,9.660373431962433e-37,0.9979123173277662,0.35714285714285715
Ventral Endoderm 2,fgfr1,12.767066,3.2827966,2.504169739948484e-37,1.0928697579083175e-33,1.0,0.8
Ventral Endoderm 2,aldh1a2,12.346794,3.9907606,5.069138693219991e-35,1.0055788674977584e-31,0.9895615866388309,0.7142857142857143
Ventral Endoderm 2,spns2,11.947495,6.4960585,6.691118913389117e-33,9.125431613066495e-30,0.8997912317327766,0.07142857142857142
Ventral Endoderm 2,pdgfra,11.836983,4.1001964,2.513328755498777e-32,3.226079221984636e-29,0.9498956158663883,0.3
Ventral Endoderm 2,gfpt1,11.626444,2.371451,3.0243722119468276e-31,3.6663792242717626e-28,1.0,0.9
Ventral Endoderm 2,plekhn1,11.270302,2.492179,1.8393883261358318e-29,1.7450996810699997e-26,0.9895615866388309,0.8142857142857143
Ventral Endoderm 2,adamts1,11.239245,3.832026,2.616100898300271e-29,2.3785807375754252e-26,0.954070981210856,0.34285714285714286
Ventral Endoderm 2,lama5,11.204155,5.31951,3.890478537086365e-29,3.265158929144676e-26,0.860125260960334,0.12857142857142856
Ventral Endoderm 2,sptbn2,10.872617,2.658007,1.556715343281178e-27,1.0957769517980188e-24,0.9665970772442589,0.6285714285714286
Ventral Endoderm 2,rbfox2,10.791143,2.778731,3.790442244932153e-27,2.506401218989834e-24,0.9832985386221295,0.6571428571428571
Ventral Endoderm 2,fgfr2,10.76533,2.3525772,5.0181395916949625e-27,3.2206124714816403e-24,0.9749478079331941,0.8428571428571429
Ventral Endoderm 2,ugdhl,10.544707,6.662931,5.373976854980946e-26,3.257376359792756e-23,0.7954070981210856,0.04285714285714286
Ventral Endoderm 2,fam171a1,10.420885,3.4487805,1.990925063906193e-25,1.059609166329196e-22,0.9102296450939458,0.35714285714285715
Ventral Endoderm 2,myo10,9.966733,2.9452436,2.1312395057543416e-23,9.118779853934409e-21,0.9665970772442589,0.7142857142857143
Ventral Endoderm 2,fgd1,9.909863,3.1377392,3.7716197582849095e-23,1.552839900859151e-20,0.8830897703549061,0.32857142857142857
Ventral Endoderm 2,zeb2,9.896553,3.6193185,4.3086889255076387e-23,1.7094527462454943e-20,0.8288100208768268,0.2714285714285714
Ventral Endoderm 2,vcan,9.875176,5.2294893,5.333885278949406e-23,2.078405547713482e-20,0.7703549060542797,0.1
Ventral Endoderm 2,prtg,9.768697,2.9265468,1.5341215966867336e-22,5.771735751948485e-20,0.9269311064718163,0.5142857142857142
Ventral Endoderm 2,itga5,9.752967,2.878304,1.7915383169996076e-22,6.625958917838718e-20,0.9290187891440501,0.5
Ventral Endoderm 2,bmp7.1,9.604944,2.697989,7.61990453004895e-22,2.725802241806527e-19,0.8935281837160751,0.5428571428571428
Ventral Endoderm 2,fat1,9.336729,1.6217442,9.935641948460253e-21,3.142110767497843e-18,0.9665970772442589,0.8571428571428571
