,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_1.0,leiden_0.1,leiden_0.3,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
01_01_02__s1,0,1630.0,1006,01_01_02__s1,all-well,xenopus,1006,1630,4438,A1,A1,A2,1,1,2,1006,1006,6.914730892718563,1630.0,7.396948602621014,0.0,0.0,0.0,10.0,2.3978952727983707,0.6134969325153374,0.040117416829745595,False,False,1630.0,1,0,0,3,9,28,Inner Epidermis
01_01_11__s1,0,2810.0,1349,01_01_11__s1,all-well,xenopus,1349,2810,7791,A1,A1,A11,1,1,11,1349,1349,7.2078598714324755,2810.0,7.941295570906532,0.0,0.0,0.0,12.0,2.5649493574615367,0.42704626334519574,0.10142630744849446,False,False,2810.0,3,1,1,0,2,38,Outer Epidermis
01_01_63__s1,0,2458.0,1183,01_01_63__s1,all-well,xenopus,1183,2458,6707,A1,A1,F3,1,1,63,1183,1183,7.076653815443951,2458.0,7.807510042216193,0.0,0.0,0.0,10.0,2.3978952727983707,0.40683482506102525,0.02979842243645925,False,False,2458.0,2,2,2,5,3,49,Dorsal Inner Endoderm
01_02_13__s1,0,2810.0,1271,01_02_13__s1,all-well,xenopus,1271,2810,7548,A1,A2,B1,1,2,13,1271,1271,7.148345743900068,2810.0,7.941295570906532,0.0,0.0,0.0,10.0,2.3978952727983707,0.3558718861209964,0.054220234768026836,False,False,2810.0,12,3,4,11,13,16,Unidentified Cluster
01_02_17__s1,0,2594.0,1183,01_02_17__s1,all-well,xenopus,1183,2594,7074,A1,A2,B5,1,2,17,1183,1183,7.076653815443951,2594.0,7.861341795599989,0.0,0.0,0.0,9.0,2.302585092994046,0.3469545104086353,0.04179104477611941,False,False,2594.0,2,2,2,5,3,42,Dorsal Inner Endoderm
01_02_18__s1,0,2652.0,1115,01_02_18__s1,all-well,xenopus,1115,2652,7347,A1,A2,B6,1,2,18,1115,1115,7.017506142941256,2652.0,7.88344635413774,0.0,0.0,0.0,6.0,1.9459101490553132,0.22624434389140274,0.1323251417769376,False,False,2652.0,2,2,2,5,3,42,Dorsal Inner Endoderm
01_02_38__s1,0,3012.0,1411,01_02_38__s1,all-well,xenopus,1411,3012,8390,A1,A2,D2,1,2,38,1411,1411,7.252762418053187,3012.0,8.0106915391303,0.0,0.0,0.0,12.0,2.5649493574615367,0.398406374501992,0.06227544910179641,False,False,3012.0,0,0,0,2,1,55,Neural Plate Border
01_03_07__s1,0,3152.0,1531,01_03_07__s1,all-well,xenopus,1531,3152,8513,A1,A3,A7,1,3,7,1531,1531,7.3343293503005365,3152.0,8.056109659545061,0.0,0.0,0.0,18.0,2.9444389791664403,0.5710659898477157,0.1155172413793103,False,False,3152.0,9,0,3,9,10,30,Neural Plate Border
01_03_24__s1,0,2202.0,1112,01_03_24__s1,all-well,xenopus,1112,2202,5950,A1,A3,B12,1,3,24,1112,1112,7.014814351275545,2202.0,7.697575346802343,0.0,0.0,0.0,7.0,2.0794415416798357,0.31789282470481384,0.03616721465476749,False,False,2202.0,4,2,2,8,8,71,Ventral Inner Endoderm
01_03_49__s1,0,3092.0,1372,01_03_49__s1,all-well,xenopus,1372,3092,8488,A1,A3,E1,1,3,49,1372,1372,7.224753405767971,3092.0,8.03689677268507,1.0,0.6931471805599453,0.03234152652005175,10.0,2.3978952727983707,0.3234152652005175,0.0444104134762634,False,False,3092.0,4,2,2,8,8,53,Ventral Inner Endoderm
01_03_76__s1,0,3562.0,1632,01_03_76__s1,all-well,xenopus,1632,3562,9412,A1,A3,G4,1,3,76,1632,1632,7.398174092970465,3562.0,8.178358165605836,1.0,0.6931471805599453,0.028074115665356544,12.0,2.5649493574615367,0.3368893879842785,0.14545454545454545,False,False,3562.0,9,0,3,9,10,31,Dorsal Inner Mesoderm
01_04_03__s1,0,2700.0,1264,01_04_03__s1,all-well,xenopus,1264,2700,7433,A1,A4,A3,1,4,3,1264,1264,7.142827401161621,2700.0,7.901377353792616,0.0,0.0,0.0,15.0,2.772588722239781,0.5555555555555556,0.06352087114337568,False,False,2700.0,4,2,2,4,4,76,Ventral Inner Mesoderm
01_04_19__s1,0,3434.0,1693,01_04_19__s1,all-well,xenopus,1693,3434,9217,A1,A4,B7,1,4,19,1693,1693,7.434847875211999,3434.0,8.14177220465645,0.0,0.0,0.0,13.0,2.6390573296152584,0.37856726849155503,0.05868680999418941,False,False,3434.0,1,0,0,3,9,74,Inner Epidermis
01_04_26__s1,0,1708.0,1056,01_04_26__s1,all-well,xenopus,1056,1708,4572,A1,A4,C2,1,4,26,1056,1056,6.963189985870238,1708.0,7.443663683115591,0.0,0.0,0.0,1.0,0.6931471805599453,0.0585480093676815,0.09520182787509518,False,False,1708.0,9,0,3,9,10,67,Inner Neuroectoderm
01_04_46__s1,0,3273.0,1509,01_04_46__s1,all-well,xenopus,1509,3273,9161,A1,A4,D10,1,4,46,1509,1509,7.31986492980897,3273.0,8.09376775793108,0.0,0.0,0.0,15.0,2.772588722239781,0.458295142071494,0.02197363164202957,False,False,3273.0,5,0,0,1,1,7,Inner Neuroectoderm
01_04_60__s1,0,2292.0,1267,01_04_60__s1,all-well,xenopus,1267,2292,6115,A1,A4,E12,1,4,60,1267,1267,7.145196134997171,2292.0,7.737616282857904,0.0,0.0,0.0,7.0,2.0794415416798357,0.30541012216404884,0.1827956989247312,False,False,2292.0,0,0,0,2,0,55,Neural Plate Border
01_05_01__s1,0,1739.0,1018,01_05_01__s1,all-well,xenopus,1018,1739,4619,A1,A5,A1,1,5,1,1018,1018,6.926577033222725,1739.0,7.461640392208575,0.0,0.0,0.0,6.0,1.9459101490553132,0.3450258769407705,0.10586319218241043,False,False,1739.0,7,0,0,1,6,4,Dorsal Inner Mesoderm
01_05_26__s1,0,2118.0,1102,01_05_26__s1,all-well,xenopus,1102,2118,5565,A1,A5,C2,1,5,26,1102,1102,7.005789019253503,2118.0,7.6586995582682995,0.0,0.0,0.0,7.0,2.0794415416798357,0.3305004721435316,0.06479217603911981,False,False,2118.0,2,2,2,5,3,72,Ventral Inner Endoderm
01_05_44__s1,0,2645.0,1235,01_05_44__s1,all-well,xenopus,1235,2645,7177,A1,A5,D8,1,5,44,1235,1235,7.119635638017636,2645.0,7.880804344674901,2.0,1.0986122886681098,0.07561436672967864,14.0,2.70805020110221,0.5293005671077505,0.04909284951974387,False,False,2645.0,2,2,2,5,3,84,Dorsal Inner Endoderm
