group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Dorsal Endoderm 1,slc5a8.1,23.889505,7.00948,3.937288130184685e-126,8.591556428876001e-122,0.9173553719008265,0.043079809496319815
Dorsal Endoderm 1,kirrel2,21.995743,3.768924,3.163087510428782e-107,3.4510866282533225e-103,0.987603305785124,0.42921056429499205
Dorsal Endoderm 1,nectin2,21.812464,3.645488,1.7669909669600365e-105,1.2852503296678318e-101,1.0,0.5438014143455044
Dorsal Endoderm 1,slc9a3,21.651701,6.1333065,5.857746778783029e-104,3.195547311495612e-100,0.8842975206611571,0.26324144898253715
Dorsal Endoderm 1,lima1,21.616545,3.9974835,1.2553141796729022e-103,5.47844214292848e-100,0.9256198347107438,0.3521431664020782
Dorsal Endoderm 1,palm2,21.599333,3.3801804,1.822293518045949e-103,6.627377809546775e-100,0.9834710743801653,0.4495598210419974
Dorsal Endoderm 1,dcbld1,20.680937,2.4489336,5.143180413334754e-95,1.6032762828482523e-91,0.9958677685950413,0.8014143455044018
Dorsal Endoderm 1,slc12a3l,20.52356,8.51972,1.32635603019875e-93,3.6178018668708655e-90,0.78099173553719,0.0371626497330062
Dorsal Endoderm 1,chp1,20.340313,4.5868535,5.656892277304491e-92,1.3715449598117922e-88,0.8347107438016529,0.22658392264396016
Dorsal Endoderm 1,ssh2,20.152056,4.149123,2.5817019529117507e-90,5.633531831448731e-87,0.9297520661157025,0.5329773416077356
Dorsal Endoderm 1,phldb3,19.835245,3.920184,1.4779389280917996e-87,2.9318277590810147e-84,0.9545454545454546,0.3490402655505845
Dorsal Endoderm 1,ca14,19.767958,3.9496248,5.620503232796472e-87,1.0220416753570984e-83,0.8553719008264463,0.30704286332804154
Dorsal Endoderm 1,atp1a1,19.576538,3.854827,2.451204824950601e-85,4.114441575788236e-82,0.8760330578512396,0.42112858998412467
Dorsal Endoderm 1,nrp2,19.477034,4.949402,1.7195710473219363e-84,2.680197130257998e-81,0.8347107438016529,0.24462404387357484
Dorsal Endoderm 1,abcb5,19.177181,4.024381,5.740949566854976e-82,8.351550699889496e-79,0.8471074380165289,0.37790445951796797
Dorsal Endoderm 1,spata13,19.083458,2.9347627,3.4654830879061374e-81,4.72626915382499e-78,0.9338842975206612,0.4499206234665897
Dorsal Endoderm 1,spint2,19.029362,2.52812,9.743255213276576e-81,1.2506327765229892e-77,0.9545454545454546,0.5761293115889738
Dorsal Endoderm 1,marchf8,19.020027,3.3599448,1.1642417442494806e-80,1.4113843945148843e-77,0.9669421487603306,0.4359936498773272
Dorsal Endoderm 1,LOC100489507,18.865484,3.3893116,2.1925171601748392e-79,2.518048260640798e-76,0.8512396694214877,0.2877038533698946
Dorsal Endoderm 1,axl,18.436832,3.5620716,6.652629841621593e-76,7.25835178870124e-73,0.8264462809917356,0.23971713089911964
Dorsal Endoderm 1,tmprss9,18.192837,4.1817403,5.881544389016568e-74,6.1114847672728824e-71,0.8099173553719008,0.21583201039110983
Dorsal Endoderm 1,alpl,18.174692,2.7716122,8.1885452224254e-74,8.121920240842939e-71,0.9421487603305785,0.4618271034781354
Dorsal Endoderm 1,ano5,18.08051,3.3235688,4.5387534791294546e-73,4.306093029047123e-70,0.8347107438016529,0.2521287343050945
Dorsal Endoderm 1,tmcc1,17.876465,3.9496458,1.7988674977309464e-71,1.6355453194994575e-68,0.7727272727272727,0.19360658103622455
Dorsal Endoderm 1,LOC101733480,17.734102,5.3882947,2.287238796532439e-70,1.996393511165374e-67,0.7066115702479339,0.06306826381873286
Dorsal Endoderm 2,pkdcc.2,35.931404,6.9974413,9.87977465400482e-283,2.155865627250392e-278,0.9655172413793104,0.20702607158638975
Dorsal Endoderm 2,gfpt1,34.176174,3.6061509,5.464113203952533e-256,5.961620711172412e-252,0.9961685823754789,0.7467226395640005
Dorsal Endoderm 2,efnb2,33.581234,3.4411454,3.152591655464728e-247,2.2930900837965276e-243,0.9789272030651341,0.740315215790249
Dorsal Endoderm 2,gata6,33.21878,5.428043,5.766507678819363e-242,3.145774101487933e-238,0.9367816091954023,0.1648991014877007
Dorsal Endoderm 2,pcdh1,32.92397,3.886942,9.978878315807502e-238,4.35498207458471e-234,0.9655172413793104,0.43386360288702314
Dorsal Endoderm 2,frzb,32.778507,5.9784684,1.1920974731083612e-235,4.335459826782924e-232,0.9042145593869731,0.10612755928708205
Dorsal Endoderm 2,gpd1l,32.37446,4.2712803,6.281608282765891e-230,1.7133871792279313e-226,0.9712643678160919,0.28590366769774633
Dorsal Endoderm 2,plekhn1,31.730328,2.9510953,5.932304981924232e-221,1.2944882701056868e-217,0.9961685823754789,0.742966563558698
Dorsal Endoderm 2,prag1,31.34614,3.636753,1.0981737529066121e-215,2.1784772238341079e-212,0.9578544061302682,0.3801001620268081
Dorsal Endoderm 2,gata2,31.206427,4.578457,8.716816731386508e-214,1.585080482463208e-210,0.8888888888888888,0.1590072175578141
Dorsal Endoderm 2,darmin,31.080902,5.5875177,4.3639673341707465e-212,7.325087015303066e-209,0.8582375478927203,0.09905729857121814
