group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Epidermis1,epas1,57.363472,4.9357057,0.0,0.0,1.0,0.7302688638334779
Epidermis1,rabgap1l,57.23611,6.962242,0.0,0.0,0.992626728110599,0.17519514310494363
Epidermis1,phldb3,55.740524,6.8644443,0.0,0.0,0.9695852534562212,0.12185602775368604
Epidermis1,nectin2,54.709946,4.720289,0.0,0.0,0.9806451612903225,0.3304423243712056
Epidermis1,grhl3,54.627705,5.8208857,0.0,0.0,0.9709677419354839,0.21075455333911536
Epidermis1,hpgd,54.500286,5.1707473,0.0,0.0,0.9663594470046083,0.2246313963573287
Epidermis1,plpp3,54.034466,5.1629677,0.0,0.0,0.9658986175115207,0.22376409366869038
Epidermis1,gramd2b,53.68106,4.92321,0.0,0.0,0.9594470046082949,0.21552471812662619
Epidermis1,dcbld1,52.73028,3.5366156,0.0,0.0,0.9792626728110599,0.5871639202081527
Epidermis1,astl2d.1,52.339195,6.3548923,0.0,0.0,0.9235023041474655,0.10277536860364267
Epidermis1,kirrel2,52.322544,5.834723,0.0,0.0,0.928110599078341,0.12055507372072853
Epidermis1,golim4,52.21445,4.081546,0.0,0.0,0.9599078341013825,0.40763226366001737
Epidermis1,kifc3,52.179527,5.5966682,0.0,0.0,0.9276497695852535,0.11751951431049436
Epidermis1,LOC100494753,52.016975,4.440238,0.0,0.0,0.9658986175115207,0.3538594969644406
Epidermis1,krt7,51.929317,4.4546065,0.0,0.0,0.9543778801843318,0.27450130095403297
Epidermis1,krt70,51.81252,3.9053843,0.0,0.0,0.9705069124423963,0.3785776235906331
Epidermis1,tjp3,51.603092,5.7642384,0.0,0.0,0.9133640552995391,0.09670424978317432
Epidermis1,atp1b2,51.183052,7.1976075,0.0,0.0,0.8917050691244239,0.03816131830008673
Epidermis1,gfod1,50.753532,3.8509414,0.0,0.0,0.9654377880184332,0.4084995663486557
Epidermis1,plec,49.959454,2.9833817,0.0,0.0,0.9806451612903225,0.722896790980052
Epidermis1,krt8.1,49.727898,3.6294484,0.0,0.0,0.9548387096774194,0.4228100607111882
Epidermis1,prss27,49.60307,4.7041593,0.0,0.0,0.9064516129032258,0.1782307025151778
Epidermis1,ocln,49.283268,3.403931,0.0,0.0,0.9631336405529954,0.41283607979184733
Epidermis1,arhgap6,49.22027,3.9920814,0.0,0.0,0.9327188940092166,0.3686036426712923
Epidermis1,grhl1,49.07841,4.5959473,0.0,0.0,0.9165898617511521,0.26366001734605377
Epidermis1,upk3b,48.820503,5.95981,0.0,0.0,0.864516129032258,0.058109280138768434
Epidermis1,ahnak,48.40639,3.186756,0.0,0.0,0.9668202764976959,0.6847354726799653
Epidermis1,rassf7,47.98621,5.59219,0.0,0.0,0.8562211981566821,0.06721595836947095
Epidermis1,slit2,47.20692,5.495915,0.0,0.0,0.8580645161290322,0.1691240242844753
Epidermis1,epcam,47.16637,2.3618102,0.0,0.0,0.9834101382488479,0.7168256721595837
Epidermis1,efna4,46.780098,3.1038206,0.0,0.0,0.9373271889400921,0.45316565481352994
Epidermis1,slc22a23,46.459484,3.027901,0.0,0.0,0.9405529953917051,0.5468343451864701
Epidermis1,marchf8,45.52293,4.5918775,0.0,0.0,0.8557603686635945,0.20945359930615784
Epidermis1,usp54,45.460117,4.204015,0.0,0.0,0.8576036866359447,0.20511708586296618
Epidermis1,psd3,45.343914,4.1374063,0.0,0.0,0.8576036866359447,0.21595836947094535
Epidermis1,atp12a-like,45.161884,2.8601034,0.0,0.0,0.9755760368663594,0.6565481352992194
Epidermis1,usp43,45.0256,4.583363,0.0,0.0,0.8341013824884793,0.14527320034692107
Epidermis1,gadd45a,44.99968,4.3181252,0.0,0.0,0.8400921658986175,0.1569817866435386
Epidermis1,upk2,44.978436,6.1514144,0.0,0.0,0.7953917050691244,0.0372940156114484
Epidermis1,b4galt1l,44.47673,2.6749022,0.0,0.0,0.9539170506912442,0.5802254986990459
Epidermis1,rdh10,44.02629,3.058441,0.0,0.0,0.932258064516129,0.5403295750216826
Epidermis1,palm2,43.60514,4.332741,0.0,0.0,0.8216589861751152,0.15437987857762359
Epidermis1,LOC100495222,43.25693,1.9435333,0.0,0.0,0.9907834101382489,0.8235039028620988
Epidermis1,prc1,43.06266,2.9386346,0.0,0.0,0.8972350230414746,0.39418907198612313
Epidermis1,lmo7,42.814335,3.8725336,0.0,0.0,0.8617511520737328,0.4202081526452732
Epidermis1,ncoa2,42.260326,5.5954766,0.0,0.0,0.7534562211981567,0.05247181266261925
Epidermis1,LOC595077,42.078857,5.677577,0.0,0.0,0.7516129032258064,0.054206418039895926
Epidermis1,st14,42.040543,2.7190878,0.0,0.0,0.9027649769585253,0.46227233304423243
Epidermis1,arhgap45,42.01983,4.3583436,0.0,0.0,0.787557603686636,0.13660017346053774
Epidermis1,adap1l,41.96286,4.470802,0.0,0.0,0.780184331797235,0.11925411968777103
Epidermis1,xbp1,41.879505,2.8042758,0.0,0.0,0.9059907834101383,0.44882914137033825
Epidermis1,mreg,41.75152,5.320779,0.0,0.0,0.752073732718894,0.0598438855160451
Epidermis1,pla2g7,41.42807,6.1179056,0.0,0.0,0.7345622119815668,0.033824804856895055
Epidermis1,LOC101734097,41.38418,2.8369377,0.0,0.0,0.9004608294930876,0.4418907198612316
Epidermis1,rreb1,40.082355,1.8591878,0.0,0.0,0.9889400921658986,0.8954900260190807
Epidermis1,dnmbp,40.00968,2.9893527,0.0,0.0,0.8400921658986175,0.32523850823937556
Epidermis1,upk3a,39.960686,5.7415385,0.0,0.0,0.7110599078341013,0.03816131830008673
Epidermis1,kitlg,39.392086,4.6847425,0.0,0.0,0.7290322580645161,0.08456201214223764
Epidermis1,sptlc3,39.068558,1.8319377,0.0,0.0,0.9857142857142858,0.8824804856895057
Epidermis1,itpr3,38.873558,1.5177946,0.0,0.0,0.9953917050691244,0.9431916738941891
Epidermis1,spata13,38.79157,3.4012005,0.0,0.0,0.784331797235023,0.21856027753686036
Epidermis1,ppl,38.708923,6.1397986,0.0,0.0,0.6852534562211982,0.02818733738074588
Epidermis1,dsg2,38.08854,3.1832116,0.0,0.0,0.7903225806451613,0.24848222029488293
Epidermis1,clint1,37.887207,3.7009585,0.0,0.0,0.740552995391705,0.16608846487424112
Epidermis1,krt18.1,37.62134,4.0577374,9.6275091709417e-310,2.9178038558210977e-307,0.7175115207373272,0.12055507372072853
Epidermis1,rab11fip4l,37.191097,2.3247027,9.505728489126237e-303,2.7656600181496484e-300,0.8986175115207373,0.5017346053772767
