group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Epidermis 2,col18a1,56.57322,5.686881,0.0,0.0,0.9930615784908933,0.41705069124423966
Epidermis 2,plekhg3,45.92794,2.9645011,0.0,0.0,0.9436253252385083,0.49539170506912444
Epidermis 2,notch1,43.163174,2.3588033,0.0,0.0,0.9683434518647008,0.6599078341013825
Epidermis 2,rgcc,42.134575,5.513817,0.0,0.0,0.7584562012142237,0.06728110599078341
Epidermis 2,smad6,41.666767,4.102423,0.0,0.0,0.7905464006938422,0.13732718894009216
Epidermis 2,nhs,41.096,3.0652022,0.0,0.0,0.8738074588031223,0.4294930875576037
Epidermis 2,gse1,40.10192,2.229939,0.0,0.0,0.9310494362532524,0.6073732718894009
Epidermis 2,fat1,37.427246,1.6214619,1.408877955850233e-306,4.2113871061106756e-304,0.9692107545533392,0.8419354838709677
Epidermis 2,ephb3,37.34402,2.7165036,3.1704557959196924e-305,9.348988638211299e-303,0.8573287077189939,0.42119815668202765
Epidermis 2,sall1,36.3854,2.10845,7.245696022070888e-290,2.0270299089437033e-287,0.9150043365134432,0.6009216589861751
Epidermis 2,adam33,35.870213,3.3510292,8.903526395095886e-282,2.4285481183423417e-279,0.7471812662619254,0.22350230414746544
Epidermis 2,lfng,35.013573,3.1524112,1.3983429903616226e-268,3.507269240538042e-266,0.7523850823937555,0.2447004608294931
Epidermis 2,letm1,34.89416,2.1557572,9.115697875673348e-267,2.2603823107394108e-264,0.8902862098872506,0.552073732718894
Epidermis 2,ptgs2,34.873714,3.7049274,1.861334704073694e-266,4.563616244673267e-264,0.6921075455333912,0.13778801843317973
Epidermis 2,trim71,34.58261,2.5259442,4.6128770747466267e-262,1.082339684387593e-259,0.8022549869904597,0.38064516129032255
Epidermis 2,cyyr1,34.27484,3.35429,1.860641147739059e-257,4.101116210587273e-255,0.7025151777970512,0.18341013824884791
Epidermis 2,sall4,33.50932,1.730715,3.525893276067541e-246,7.3274778263876e-244,0.9228100607111882,0.6672811059907834
Epidermis 2,fgfr1,32.621254,1.5799303,2.049445166836046e-233,4.1028388060118676e-231,0.940589765828274,0.7235023041474654
Epidermis 2,auts2,31.5489,2.5155308,1.856417190350916e-218,3.4041075219031376e-216,0.7393755420641804,0.28847926267281104
Epidermis 2,arhgef2,31.396938,1.1794796,2.2278176223583837e-216,3.9846892079903514e-214,0.9683434518647008,0.8751152073732719
Epidermis 2,robo3,31.386337,2.5048106,3.108401594755477e-216,5.514506601557663e-214,0.7354726799653079,0.32350230414746545
Epidermis 2,tle1,31.38539,1.5693316,3.2024653071145705e-216,5.635564150527988e-214,0.9457935819601041,0.743778801843318
Epidermis 2,znf608,31.241583,1.5916795,2.9048113040244257e-214,4.991014761032835e-212,0.9280138768430182,0.7101382488479263
Epidermis 2,cdon,31.0238,2.4461293,2.5749115074277725e-211,4.389620625279799e-209,0.730702515177797,0.32534562211981566
Epidermis 2,ccdc88c,30.85692,2.1709437,4.5237372201274607e-209,7.652129448093126e-207,0.7758022549869905,0.39631336405529954
Epidermis1,epas1,57.363472,4.9357057,0.0,0.0,1.0,0.7302688638334779
Epidermis1,rabgap1l,57.23611,6.962242,0.0,0.0,0.992626728110599,0.17519514310494363
Epidermis1,phldb3,55.740524,6.8644443,0.0,0.0,0.9695852534562212,0.12185602775368604
Epidermis1,nectin2,54.709946,4.720289,0.0,0.0,0.9806451612903225,0.3304423243712056
Epidermis1,grhl3,54.627705,5.8208857,0.0,0.0,0.9709677419354839,0.21075455333911536
Epidermis1,hpgd,54.500286,5.1707473,0.0,0.0,0.9663594470046083,0.2246313963573287
Epidermis1,plpp3,54.034466,5.1629677,0.0,0.0,0.9658986175115207,0.22376409366869038
Epidermis1,gramd2b,53.68106,4.92321,0.0,0.0,0.9594470046082949,0.21552471812662619
Epidermis1,dcbld1,52.73028,3.5366156,0.0,0.0,0.9792626728110599,0.5871639202081527
Epidermis1,astl2d.1,52.339195,6.3548923,0.0,0.0,0.9235023041474655,0.10277536860364267
Epidermis1,kirrel2,52.322544,5.834723,0.0,0.0,0.928110599078341,0.12055507372072853
Epidermis1,golim4,52.21445,4.081546,0.0,0.0,0.9599078341013825,0.40763226366001737
Epidermis1,kifc3,52.179527,5.5966682,0.0,0.0,0.9276497695852535,0.11751951431049436
Epidermis1,LOC100494753,52.016975,4.440238,0.0,0.0,0.9658986175115207,0.3538594969644406
Epidermis1,krt7,51.929317,4.4546065,0.0,0.0,0.9543778801843318,0.27450130095403297
Epidermis1,krt70,51.81252,3.9053843,0.0,0.0,0.9705069124423963,0.3785776235906331
Epidermis1,tjp3,51.603092,5.7642384,0.0,0.0,0.9133640552995391,0.09670424978317432
Epidermis1,atp1b2,51.183052,7.1976075,0.0,0.0,0.8917050691244239,0.03816131830008673
Epidermis1,gfod1,50.753532,3.8509414,0.0,0.0,0.9654377880184332,0.4084995663486557
Epidermis1,plec,49.959454,2.9833817,0.0,0.0,0.9806451612903225,0.722896790980052
Epidermis1,krt8.1,49.727898,3.6294484,0.0,0.0,0.9548387096774194,0.4228100607111882
Epidermis1,prss27,49.60307,4.7041593,0.0,0.0,0.9064516129032258,0.1782307025151778
Epidermis1,ocln,49.283268,3.403931,0.0,0.0,0.9631336405529954,0.41283607979184733
Epidermis1,arhgap6,49.22027,3.9920814,0.0,0.0,0.9327188940092166,0.3686036426712923
Epidermis1,grhl1,49.07841,4.5959473,0.0,0.0,0.9165898617511521,0.26366001734605377
