group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Mesoderm 1,nectin2,13.743963,4.540832,5.536036286966958e-43,1.20801847817906e-38,1.0,0.5219435736677116
Ventral Mesoderm 1,rreb1,13.392997,3.2414954,6.644452154030188e-41,7.249429522654637e-37,1.0,0.8401253918495298
Ventral Mesoderm 1,phldb3,13.334797,6.4226837,1.4525047895076132e-40,1.0565035670615208e-36,0.9705882352941176,0.11598746081504702
Ventral Mesoderm 1,marchf8,13.29776,5.453002,2.385075071176471e-40,1.3011180782035444e-36,0.9852941176470589,0.25705329153605017
Ventral Mesoderm 1,plec,13.255753,4.521322,4.17901451090072e-40,1.8238055128472923e-36,0.9852941176470589,0.4882445141065831
Ventral Mesoderm 1,kirrel2,13.087084,4.518655,3.903070166906635e-39,1.2166984873152813e-35,0.9852941176470589,0.365987460815047
Ventral Mesoderm 1,tjp3,12.66461,6.4333315,9.288132854735082e-37,2.5334543377896778e-33,0.9264705882352942,0.07210031347962383
Ventral Mesoderm 1,fhod1,12.506522,5.0222497,6.876956649804595e-36,1.667356345059845e-32,0.9411764705882353,0.219435736677116
Ventral Mesoderm 1,epcam,12.477342,3.509247,9.924461492246166e-36,2.1656167422230358e-32,0.9705882352941176,0.5101880877742947
Ventral Mesoderm 1,slc22a23,12.427158,4.7232575,1.8613445970984668e-35,3.692400041207786e-32,0.9558823529411765,0.3456112852664577
Ventral Mesoderm 1,epas1,12.255122,5.0122266,1.57711579076061e-34,2.647249513091328e-31,0.9558823529411765,0.48589341692789967
Ventral Mesoderm 1,ano5,12.1659775,5.1142325,4.717630967506149e-34,7.353101810139406e-31,0.9117647058823529,0.13871473354231975
Ventral Mesoderm 1,palm2,12.016388,3.358887,2.9143441433232226e-33,4.23959357009707e-30,0.9852941176470589,0.4835423197492163
Ventral Mesoderm 1,pla2g7,11.904958,7.231428,1.1152017117681186e-32,1.5209260345307573e-29,0.8676470588235294,0.029780564263322883
Ventral Mesoderm 1,psd3,11.8297615,4.2393436,2.739178764819473e-32,3.515977636889748e-29,0.9117647058823529,0.2170846394984326
Ventral Mesoderm 1,prss27,11.552548,6.0185847,7.1663673390399e-31,8.687627872510537e-28,0.8529411764705882,0.06426332288401254
Ventral Mesoderm 1,LOC100495222,11.514229,4.640928,1.1185570211411583e-30,1.2846333030695375e-27,0.8970588235294118,0.2280564263322884
Ventral Mesoderm 1,bicc1,11.30676,2.9434395,1.214941535762854e-29,1.2624399643752971e-26,0.9705882352941176,0.8299373040752351
Ventral Mesoderm 1,st14,11.290245,3.2767863,1.4662688718050082e-29,1.454338775075322e-26,0.9558823529411765,0.3847962382445141
Ventral Mesoderm 1,rabgap1l,11.267158,5.3506017,1.90624857093793e-29,1.808532611584199e-26,0.8676470588235294,0.19592476489028213
Ventral Mesoderm 1,ocln,11.153963,3.7484424,6.848644920661151e-29,6.226845033906123e-26,0.9117647058823529,0.2476489028213166
Ventral Mesoderm 1,rassf7,10.89631,5.782289,1.2002664071663865e-27,9.700375285473229e-25,0.8088235294117647,0.045454545454545456
Ventral Mesoderm 1,nav2,10.863923,3.0603092,1.712315547377625e-27,1.3344441985473983e-24,0.9411764705882353,0.6167711598746082
Ventral Mesoderm 1,tjp2,10.856067,3.642686,1.8661493549473278e-27,1.404180864631229e-24,0.9117647058823529,0.2664576802507837
Ventral Mesoderm 1,golim4,10.778146,3.8234038,4.365990334628446e-27,3.1756758363975775e-24,0.8676470588235294,0.3440438871473354
Ventral Mesoderm 2,zeb2,13.125564,5.1133523,2.3502793509507028e-39,8.547574286182547e-36,0.9741379310344828,0.22058823529411764
Ventral Mesoderm 2,aldh1a2,12.2621765,4.4698596,1.4456366367155489e-34,2.628769754147499e-31,0.9615987460815048,0.47058823529411764
Ventral Mesoderm 2,fn1,11.487453,5.80033,1.525425559439124e-30,1.6643155566260562e-27,0.8628526645768025,0.17647058823529413
Ventral Mesoderm 2,meis3,11.025217,4.6276298,2.8882165700177853e-28,2.5209509509743233e-25,0.8471786833855799,0.16176470588235295
Ventral Mesoderm 2,col18a1,10.942486,4.101364,7.219304878858293e-28,6.058940452367954e-25,0.877742946708464,0.39705882352941174
