region_annotation,cell_count,percent
Inner Neuroectoderm,2551,18.092198581560282
Inner Epidermis,2306,16.354609929078013
Outer Epidermis,2170,15.390070921985815
Dorsal Inner Mesoderm,1347,9.553191489361701
Ventral Inner Mesoderm,1276,9.049645390070921
Neural Plate Border,1203,8.53191489361702
Outer Neuroectoderm,860,6.099290780141844
Unidentified Cluster,842,5.971631205673759
Dorsal Inner Endoderm,522,3.702127659574468
Ventral Inner Endoderm,479,3.397163120567376
Dorsal Outer Endoderm,242,1.7163120567375887
Dorsal Outer Mesoderm,164,1.1631205673758864
Ventral Outer Endoderm,70,0.49645390070921985
Ventral Outer Mesoderm,68,0.48226950354609927
