leiden_0.8,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,0,21,16,0,0,0,1466,440,0,0,0,4,15
1,0,50,0,0,226,1192,327,0,0,0,0,7,0,0
10,1,1,214,148,0,0,0,24,99,18,0,1,64,47
11,1,0,0,0,0,0,0,0,0,580,1,0,0,0
12,0,0,0,0,0,0,0,0,0,221,0,0,0,0
13,0,0,0,0,0,0,0,0,0,22,0,0,0,0
14,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,0,16,0,0,1010,151,322,0,0,0,0,3,0,0
3,0,29,0,0,731,382,306,0,0,0,0,9,0,0
4,22,467,0,0,18,236,24,0,0,0,1,336,0,0
5,482,454,0,0,0,0,0,0,0,0,126,35,0,0
6,0,0,7,0,0,0,0,680,321,0,0,0,2,6
7,0,194,0,0,94,341,108,0,0,0,1,263,0,0
8,16,11,0,0,0,0,0,0,0,0,350,520,0,0
9,0,125,0,0,227,249,116,0,0,0,0,102,0,0
