group,cell_count,percent
Neural Plate Border 1,1227,20.467055879899917
Dorsal Mesoderm 2,846,14.111759799833195
Neuroectoderm 2,733,12.226855713094245
Neuroectoderm 1,636,10.60884070058382
Epidermis1,472,7.8732276897414515
Epidermis 2,378,6.305254378648874
Ventral Mesoderm 2,349,5.821517931609675
Unidentified Cluster,334,5.571309424520433
Dorsal Endoderm 2,197,3.2860717264386987
Dorsal Endoderm 1,191,3.1859883236030027
Ventral Endoderm 2,162,2.7022518765638033
Ventral Mesoderm 1,151,2.518765638031693
Cement Gland Primordium,107,1.7848206839032528
Ventral Endoderm 1,102,1.701417848206839
Dorsal Mesoderm 1,98,1.634695579649708
Ciliated Epidermal Progenitor,12,0.20016680567139283
