group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,gse1,39.13945,2.33743,0.0,0.0,0.9926650366748166,0.7036493288590604
Neural Plate Border 1,pax3,38.394142,3.7695603,0.0,0.0,0.8842705786471068,0.35801174496644295
Neural Plate Border 1,letm1,37.78002,2.2551138,0.0,0.0,0.9853300733496333,0.722734899328859
Neural Plate Border 1,ctnnd2,34.96726,2.5907316,7.079291127867136e-268,3.8619302925297197e-264,0.9266503667481663,0.46036073825503354
Neural Plate Border 1,col18a1,34.541805,2.8327293,1.8923089041360263e-261,8.258414519430446e-258,0.9967400162999185,0.7923657718120806
Neural Plate Border 1,tenm4,34.380928,2.3220325,4.8610940024800345e-259,1.7678988704686138e-255,0.9779951100244498,0.6919043624161074
Neural Plate Border 1,myt1,32.915203,2.1500618,1.3319786738293265e-237,4.1521580916613904e-234,0.9910350448247759,0.712248322147651
Neural Plate Border 1,ptgs2,32.44117,2.255896,7.215331327596292e-231,1.9680718112434837e-227,0.9568052159739201,0.5885067114093959
Neural Plate Border 1,mapk11,29.8443,1.7056729,1.040898042427016e-195,2.523715131533324e-192,0.9600651996740016,0.647231543624161
Neural Plate Border 1,pdgfa,29.310793,2.4212785,7.556377533758893e-189,1.6488771416415282e-185,0.7995110024449877,0.3351510067114094
Neural Plate Border 1,gldc,29.054193,1.9118892,1.3621044241548117e-185,2.702043694498377e-182,0.9242053789731052,0.555998322147651
Neural Plate Border 1,ptmap12,29.029446,1.3138638,2.797101779363756e-185,5.086296493958043e-182,0.9918500407497962,0.8498322147651006
Neural Plate Border 1,gli3,28.326593,1.6664889,1.6261207244000532e-176,2.729506179010274e-173,0.960880195599022,0.7594379194630873
Neural Plate Border 1,cxcl12,28.289139,1.9112,4.700884479049237e-176,7.327000015523815e-173,0.8842705786471068,0.44316275167785235
Neural Plate Border 1,rtn4,28.06192,1.465726,2.857806318486765e-173,4.157346111713313e-170,0.9714751426242869,0.7822986577181208
Neural Plate Border 1,cep131,27.977367,1.7056613,3.063687718791443e-172,4.178295606984255e-169,0.9323553382233088,0.6736577181208053
Neural Plate Border 1,lfng,27.815966,1.7236521,2.780981696776456e-170,3.569635388550532e-167,0.9356153219233904,0.5920721476510067
Neural Plate Border 1,map2k6,27.666567,1.1905143,1.763869930566355e-168,2.138300319716024e-165,0.9926650366748166,0.8739513422818792
Neural Plate Border 1,zmiz1,27.276447,1.5571694,8.072792807736408e-164,9.271390097769272e-161,0.941320293398533,0.6629614093959731
Neural Plate Border 1,nr6a1,27.116682,1.3756092,6.260480021096815e-162,6.83049672701768e-159,0.9885900570497147,0.8598993288590604
Neural Plate Border 1,lhx5,26.749804,2.007835,1.241315963817806e-157,1.289845506974683e-154,0.921760391198044,0.5427852348993288
Neural Plate Border 1,ssbp4,26.72588,2.2170103,2.3554775175805072e-157,2.3363124959601933e-154,0.7620211898940505,0.32802013422818793
Neural Plate Border 1,LOC100170590,26.66093,1.9017129,1.3367658837949942e-156,1.2682421021865465e-153,0.7938060309698451,0.3626258389261745
Neural Plate Border 1,robo3,26.499807,1.5863686,9.742220293301394e-155,8.503399560805188e-152,0.9168704156479217,0.6644295302013423
Neural Plate Border 1,cyyr1,26.49228,1.7444185,1.1896060640033215e-154,9.983997662544799e-152,0.9103504482477588,0.5759228187919463
Neural Plate Border 1,fign,26.476002,1.9085174,1.8317930114953345e-154,1.480427974216285e-151,0.9445802770986145,0.6910654362416108
Neural Plate Border 1,htra1,26.33292,2.5305028,8.05364119929639e-153,6.276375164637376e-150,0.6642216788916055,0.2156040268456376
Neural Plate Border 1,bsg,25.681847,1.2210405,1.864784112332738e-145,1.3563818038404224e-142,0.9657701711491442,0.8399748322147651
Neural Plate Border 1,pdk1,25.0062,1.5998404,5.234181313217296e-138,3.5692209511160816e-135,0.8818255908720456,0.5423657718120806
Neural Plate Border 1,kdm1a,24.540369,1.0148796,5.4805105235877894e-133,3.416863432434547e-130,0.9796251018744906,0.8821308724832215
Neural Plate Border 1,dhx32,24.168644,1.6259727,4.75529650782804e-129,2.804468245873396e-126,0.8027709861450693,0.4433724832214765
