group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Epidermis1,rabgap1l,23.70048,5.907179,3.564907456123968e-124,3.889492280004055e-120,0.961864406779661,0.1931216931216931
Epidermis1,nectin2,23.386736,3.9383156,5.831580849485513e-121,4.2416975238874456e-117,0.9957627118644068,0.48677248677248675
Epidermis1,epas1,23.34794,4.877417,1.4461701667823122e-120,7.889219802339209e-117,0.9788135593220338,0.6825396825396826
Epidermis1,astl2d.1,22.90263,5.659744,4.3742032179565755e-116,1.9089897683806087e-112,0.9449152542372882,0.2275132275132275
Epidermis1,upk2,22.842607,6.6353564,1.7308321426389321e-115,6.294748030754022e-112,0.9216101694915254,0.07142857142857142
Epidermis1,tjp3,22.68194,5.537143,6.754320198710784e-114,2.1055145865152574e-110,0.9300847457627118,0.13227513227513227
Epidermis1,gramd2b,22.603645,4.7553306,3.990273195970507e-113,1.0883968926159055e-109,0.940677966101695,0.28835978835978837
Epidermis1,upk3b,22.581577,6.419157,6.575985240289197e-113,1.5943841547594507e-109,0.9152542372881356,0.06084656084656084
Epidermis1,rassf7,22.546436,5.8320107,1.4554589216662788e-112,3.175956912967987e-109,0.9194915254237288,0.07936507936507936
Epidermis1,ocln,22.528866,2.7377598,2.164306609135535e-112,4.293394047086046e-109,0.9978813559322034,0.7486772486772487
Epidermis1,phldb3,22.50539,5.862264,3.6755973531639256e-112,6.683767486949168e-109,0.9173728813559322,0.14814814814814814
Epidermis1,atp1b2,22.376352,5.426995,6.689974008201832e-111,1.1229378679459397e-107,0.9216101694915254,0.13227513227513227
Epidermis1,hpgd,22.321531,4.7869296,2.2833640744872065e-110,3.558949104956095e-107,0.9364406779661016,0.21164021164021163
Epidermis1,adap1l,22.214842,4.231483,2.468506088112682e-109,3.5910180899137885e-106,0.9385593220338984,0.3888888888888889
Epidermis1,krt7,22.088755,4.2550607,4.0542177499800896e-108,5.529192845144721e-105,0.9555084745762712,0.3386243386243386
Epidermis1,plpp3,22.076666,4.165115,5.2975945834774845e-108,6.79993008270954e-105,0.961864406779661,0.37037037037037035
Epidermis1,golim4,21.99851,3.0406492,2.975867078435188e-107,3.591407929547817e-104,0.9703389830508474,0.6904761904761905
