group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neuroectoderm 1,nectin2,30.592762,4.392662,1.527723099744649e-205,3.333644575952799e-201,0.9889937106918238,0.5034106412005457
Neuroectoderm 1,spint2,27.8984,3.494224,2.790033376496298e-171,2.0293772769508573e-167,0.9748427672955975,0.5075034106412005
Neuroectoderm 1,plpp3,27.73083,4.7807016,2.9677766863935936e-169,1.6189963768448651e-165,0.9323899371069182,0.2933151432469304
Neuroectoderm 1,phldb3,27.520697,5.8876247,9.927245495771616e-167,4.3324484792646485e-163,0.8867924528301887,0.12687585266030013
Neuroectoderm 1,epcam,27.493694,2.3489275,2.088530484332031e-166,7.595637283101541e-163,0.9984276729559748,0.9045020463847203
Neuroectoderm 1,tjp3,27.384928,5.44213,4.146719778407578e-165,1.2926510326375965e-161,0.8867924528301887,0.1377899045020464
Neuroectoderm 1,ocln,27.30282,2.9564116,3.92682913376093e-164,1.0710917315974657e-160,0.9779874213836478,0.660300136425648
Neuroectoderm 1,rabgap1l,27.192614,5.269993,7.941856604768787e-163,1.9255472552517745e-159,0.8930817610062893,0.17598908594815826
Neuroectoderm 1,rassf7,27.086931,5.6687245,1.4036369608833244e-161,3.0628762123435023e-158,0.8742138364779874,0.0791268758526603
Neuroectoderm 1,dcbld1,27.07247,3.5221875,2.0775771236097935e-161,4.121346401299028e-158,0.9449685534591195,0.5320600272851296
Neuroectoderm 1,epas1,26.691479,4.724119,5.911075027575041e-157,9.976644598445143e-154,0.9276729559748428,0.5252387448840382
Neuroectoderm 1,atp1b2,26.527334,5.310527,4.690720860672476e-155,7.311158564338149e-152,0.8647798742138365,0.12824010914051842
Neuroectoderm 1,hpgd,25.854172,4.6750255,2.1840038662464132e-147,3.1771432243575325e-144,0.860062893081761,0.208731241473397
Neuroectoderm 1,LOC100494753,25.29992,4.6055713,3.200740093632122e-141,4.3652093489466584e-138,0.8789308176100629,0.34652114597544337
Neuroectoderm 1,kifc3,24.869581,5.8107853,1.5880298020599272e-136,2.038376371220569e-133,0.8034591194968553,0.061391541609822645
Neuroectoderm 1,palm2,24.781033,4.0072284,1.435787800945873e-135,1.7405736446911052e-132,0.8647798742138365,0.23192360163710776
Neuroectoderm 1,LOC100495222,24.693787,3.4286935,1.2471954252521673e-134,1.4323711249698706e-131,0.9182389937106918,0.5375170532060027
Neuroectoderm 1,gramd2b,24.390512,4.548604,2.156353359211612e-131,2.352689332567829e-128,0.8223270440251572,0.2305593451568895
Neuroectoderm 1,prss27,24.07045,5.041061,5.099436693135849e-128,5.298800384805589e-125,0.7940251572327044,0.10641200545702592
Neuroectoderm 1,arhgap45,23.853258,3.5143268,9.367949536199317e-126,9.291728492245695e-123,0.8726415094339622,0.39836289222373805
Neuroectoderm 1,upk2,23.464315,6.289354,9.442766387622555e-122,8.585441889346323e-119,0.7531446540880503,0.0504774897680764
Neuroectoderm 1,adap1l,23.400028,4.2177024,4.270708586327279e-121,3.727645282489902e-118,0.809748427672956,0.21691678035470668
Neuroectoderm 1,psd3,23.115467,2.2627409,3.2364911285458525e-118,2.716287419846117e-115,0.9339622641509434,0.7080491132332879
Neuroectoderm 1,astl2d.1,23.0971,5.2086706,4.951501265131417e-118,4.001729966904913e-115,0.7814465408805031,0.15961800818553887
Neuroectoderm 1,upk3b,23.047615,5.6152687,1.5541588209062614e-117,1.2111892725355546e-114,0.7484276729559748,0.06684856753069578
Neuroectoderm 1,depdc1b,22.77395,2.4486268,8.310680264245275e-115,6.253357036072281e-112,0.9119496855345912,0.5757162346521146
Neuroectoderm 1,LOC100489839,22.762094,3.9720147,1.089185364544064e-114,7.9223712799053395e-112,0.7971698113207547,0.24965893587994542
Neuroectoderm 1,spint1,22.744205,3.0431333,1.637581030266974e-114,1.1526985697243756e-111,0.8537735849056604,0.2987721691678035
Neuroectoderm 1,kiaa1671,22.69486,2.4393513,5.0354493100226236e-114,3.433704356062615e-111,0.940251572327044,0.7748976807639836
Neuroectoderm 1,LOC100488554,22.64853,4.4393477,1.4424500534842666e-113,9.53809170214551e-111,0.7672955974842768,0.12414733969986358
Neuroectoderm 1,itpr3,22.505152,2.5816617,3.695435921110625e-112,2.3717090363104393e-109,0.9323899371069182,0.7939972714870396
Neuroectoderm 1,golim4,22.491924,2.4356477,4.979269079244456e-112,3.1043608736626646e-109,0.9040880503144654,0.654843110504775
Neuroectoderm 1,unc80,22.468485,4.96653,8.442204664633434e-112,5.117148555193505e-109,0.7484276729559748,0.08594815825375171
Neuroectoderm 1,LOC595077,22.405226,5.2109265,3.500119421303794e-111,2.064219078169462e-108,0.7374213836477987,0.08731241473396999
Neuroectoderm 1,gadd45a,22.384323,3.958561,5.59490666198181e-111,3.2128015334501334e-108,0.789308176100629,0.1582537517053206
Neuroectoderm 1,arhgap6,22.366777,2.5108974,8.291430296237091e-111,4.6391615511330655e-108,0.910377358490566,0.660300136425648
Neuroectoderm 1,slc2a11.3,22.13718,6.1193624,1.3864033581972781e-108,7.378709190054343e-106,0.7122641509433962,0.047748976807639835
Neuroectoderm 1,st14,22.133617,2.4644694,1.5004441350908772e-108,7.795521779004293e-106,0.8930817610062893,0.5102319236016372
Neuroectoderm 1,LOC100498107,21.771198,6.7096834,4.351073827774523e-105,2.2080181859504155e-102,0.6933962264150944,0.02455661664392906
Neuroectoderm 1,wdfy3,21.646257,3.0079954,6.592207008046744e-104,3.1966344249464e-101,0.8443396226415094,0.39836289222373805
Neuroectoderm 1,rhpn2,21.587317,4.323,2.363480652556116e-103,1.1211632895527611e-100,0.7342767295597484,0.12824010914051842
Neuroectoderm 1,slc22a23,21.234217,2.6317034,4.61313010722224e-100,2.0543492259121734e-97,0.8443396226415094,0.451568894952251
Neuroectoderm 1,usp43,20.992764,4.440236,7.637234279739172e-98,3.333041784363769e-95,0.7075471698113207,0.10368349249658936
Neuroectoderm 1,ncoa2,20.975698,3.9845486,1.093481400003395e-97,4.6785995351909966e-95,0.7264150943396226,0.1664392905866303
Neuroectoderm 1,grhl3,20.662214,3.8747885,7.580689100507406e-95,3.1811195550417713e-92,0.779874213836478,0.3015006821282401
Neuroectoderm 1,myo5c,20.659336,5.4509044,8.046322991999409e-95,3.312807811479606e-92,0.6761006289308176,0.0572987721691678
Neuroectoderm 1,rbbp8,20.577162,3.7165735,4.3968960692864417e-94,1.7767531319981377e-91,0.7342767295597484,0.20600272851296045
Neuroectoderm 1,atp12a-like,20.5749,3.379468,4.606852787695326e-94,1.8277479032781766e-91,0.7783018867924528,0.22373806275579808
Neuroectoderm 1,rreb1,20.572021,2.408051,4.888596687983e-94,1.904894077294233e-91,0.9371069182389937,0.6971350613915416
Neuroectoderm 1,cdh3,20.361683,0.9523682,3.657975968961603e-92,1.3762188554950196e-89,1.0,0.984993178717599
