group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Mesoderm 1,nectin2,16.628784,4.5671687,4.312567513395243e-62,9.41045357097976e-58,0.9867549668874173,0.46418338108882523
Ventral Mesoderm 1,epcam,15.229203,2.6588821,2.2633186313474136e-52,1.2346968963657979e-48,0.9867549668874173,0.7965616045845272
Ventral Mesoderm 1,phldb3,14.492333,5.70376,1.354609310922627e-47,5.911785954728528e-44,0.847682119205298,0.11461318051575932
Ventral Mesoderm 1,plekha4,13.9617605,2.6432297,2.6676163785521885e-44,9.701676166064549e-41,0.9602649006622517,0.5873925501432665
Ventral Mesoderm 1,ocln,13.638158,3.0604265,2.3748312729441678e-42,6.477649150864336e-39,0.9205298013245033,0.5214899713467048
Ventral Mesoderm 1,spint2,13.549842,2.269631,7.940126452841193e-42,1.9251277703049741e-38,0.9668874172185431,0.7020057306590258
Ventral Mesoderm 1,lrwd1,13.520178,3.163623,1.1888767868211858e-41,2.5942480365225096e-38,0.9072847682119205,0.42406876790830944
Ventral Mesoderm 1,marchf8,13.455458,4.637613,2.8596357943589323e-41,5.200009389058855e-38,0.8410596026490066,0.20630372492836677
Ventral Mesoderm 1,psd3,13.064775,3.1607301,5.2339127163917536e-39,8.785323798798804e-36,0.8874172185430463,0.4699140401146132
Ventral Mesoderm 1,rreb1,12.944773,1.9374069,2.5150734742949004e-38,3.920101305899216e-35,0.9933774834437086,0.9283667621776505
Ventral Mesoderm 1,tjp3,12.747578,5.1043324,3.2158499328761044e-37,4.385816336580592e-34,0.7615894039735099,0.11461318051575932
Ventral Mesoderm 1,st14,12.343411,2.1265635,5.286757959561061e-35,5.015754149373126e-32,0.9403973509933775,0.6189111747851003
Ventral Mesoderm 1,tbc1d14,12.316107,3.5282197,7.418988102369797e-35,6.745405807575472e-32,0.8013245033112583,0.22636103151862463
Ventral Mesoderm 1,rhpn2,12.199813,5.050227,3.115400143494237e-34,2.7192458612475096e-31,0.7284768211920529,0.08022922636103152
Ventral Mesoderm 1,plec,12.027562,2.8978672,2.545680890231031e-33,2.0573815816937528e-30,0.8543046357615894,0.501432664756447
Ventral Mesoderm 1,usp43,11.969246,3.5600808,5.149452531617843e-33,4.013078703301177e-30,0.7682119205298014,0.2177650429799427
Ventral Mesoderm 1,krt8.1,11.894075,2.9804015,1.2705179094356728e-32,9.559990104067523e-30,0.8675496688741722,0.5358166189111748
Ventral Mesoderm 1,rarg,11.842164,1.9177245,2.3627526191901864e-32,1.718587496778302e-29,0.9867549668874173,0.7535816618911175
Ventral Mesoderm 1,cdh3,11.831715,1.0852376,2.676178802874397e-32,1.8837708921781362e-29,1.0,0.9885386819484241
Ventral Mesoderm 1,rassf7,11.743399,4.826778,7.635542331749854e-32,5.048944521851927e-29,0.7019867549668874,0.07736389684813753
Ventral Mesoderm 1,trpm4,11.711038,3.5615683,1.119010944376189e-31,7.181746416833181e-29,0.7682119205298014,0.20057306590257878
Ventral Mesoderm 1,plpp3,11.653059,2.5786939,2.213663721494653e-31,1.3801244590495663e-28,0.8874172185430463,0.5358166189111748
Ventral Mesoderm 1,dnmbp,11.618676,3.630009,3.3122740543989026e-31,2.0076981150288458e-28,0.7417218543046358,0.19197707736389685
Ventral Mesoderm 1,atp1b2,11.561035,4.6395507,6.492163630926974e-31,3.8287973673096618e-28,0.7086092715231788,0.1174785100286533
Ventral Mesoderm 1,chmp5,11.512832,2.6990118,1.1368331350136178e-30,6.528114694508462e-28,0.8079470198675497,0.3954154727793696
Ventral Mesoderm 1,kirrel2,11.510472,2.7587023,1.1683720212504302e-30,6.537191250180933e-28,0.8675496688741722,0.3753581661891118
Ventral Mesoderm 1,metrnl,11.48755,1.9272712,1.5237191416988609e-30,8.312268847752712e-28,0.9602649006622517,0.6217765042979942
Ventral Mesoderm 1,ano5,11.483842,3.8062487,1.590519338124083e-30,8.465054262733078e-28,0.7284768211920529,0.16045845272206305
Ventral Mesoderm 1,pard6b,11.447437,3.9860287,2.422012892788448e-30,1.2583510317508746e-27,0.7086092715231788,0.10315186246418338
Ventral Mesoderm 1,ovol2,11.426201,3.6462038,3.0935071158598788e-30,1.5698469482599633e-27,0.7483443708609272,0.22063037249283668
Ventral Mesoderm 1,gadd45a,11.216533,2.672772,3.382733000292952e-29,1.640324817764278e-26,0.8278145695364238,0.4040114613180516
Ventral Mesoderm 1,LOC100488554,11.158554,4.8538785,6.504061249718246e-29,3.085328707176127e-26,0.6688741721854304,0.0659025787965616
Ventral Mesoderm 1,lima1,11.1167555,4.106227,1.039848843094893e-28,4.701213508057782e-26,0.7284768211920529,0.18624641833810887
Ventral Mesoderm 1,stk17a,11.045294,2.3397574,2.3101164426626547e-28,9.694048249104189e-26,0.8410596026490066,0.4154727793696275
Ventral Mesoderm 1,axl,11.02372,5.804271,2.9366663836733658e-28,1.2090754180780473e-25,0.6423841059602649,0.04297994269340974
Ventral Mesoderm 1,dcbld1,11.0176525,2.1514041,3.1414529688126874e-28,1.2694378746752157e-25,0.9403973509933775,0.6361031518624641
Ventral Mesoderm 1,palm2,11.004843,2.5222745,3.621456335603359e-28,1.4367963399854708e-25,0.8211920529801324,0.47277936962750716
Ventral Mesoderm 1,spata13,10.956977,2.2854102,6.15201836950179e-28,2.3145378076016994e-25,0.8874172185430463,0.47564469914040114
Ventral Mesoderm 1,LOC100495222,10.910122,3.9615965,1.0311786651505921e-27,3.750224942041845e-25,0.7483443708609272,0.2836676217765043
Ventral Mesoderm 1,cxadr,10.738882,2.4060044,6.684871716695668e-27,2.3154061226986695e-24,0.8278145695364238,0.3638968481375358
Ventral Mesoderm 1,tp53bp2,10.623936,2.0159588,2.30626849421381e-26,7.400747766505816e-24,0.8543046357615894,0.5558739255014327
Ventral Mesoderm 1,rabgap1l,10.494495,4.398615,9.156593085276625e-26,2.775083579358628e-23,0.6688741721854304,0.16045845272206305
Ventral Mesoderm 1,hal.1,10.415617,3.1363463,2.104286453174474e-25,5.984492897024627e-23,0.7682119205298014,0.32951289398280803
Ventral Mesoderm 1,epas1,10.352244,4.1479,4.0878660226618423e-25,1.1150165560063009e-22,0.7483443708609272,0.3839541547277937
Ventral Mesoderm 1,spint1,10.234264,2.8252892,1.3924879225130017e-24,3.660901079175447e-22,0.7218543046357616,0.23209169054441262
Ventral Mesoderm 1,ncoa2,10.1756115,3.947627,2.5479364680040864e-24,6.618871627180616e-22,0.6357615894039735,0.11174785100286533
Ventral Mesoderm 1,prss27,10.109543,4.7531633,5.011750287116675e-24,1.2570276208640571e-21,0.6158940397350994,0.08595988538681948
Ventral Mesoderm 1,arhgap45,10.08325,3.310059,6.552208388564371e-24,1.6064689803018332e-21,0.695364238410596,0.2349570200573066
Ventral Mesoderm 1,tmem72,10.064036,4.2414284,7.966359134806596e-24,1.9314880297846085e-21,0.6357615894039735,0.10888252148997135
Ventral Mesoderm 1,itpr3,10.041451,3.0501785,1.0018872288307419e-23,2.4024374967379804e-21,0.8145695364238411,0.6074498567335244
Ventral Mesoderm 1,unc80,9.852684,3.0687456,6.673782134222185e-23,1.4860061219475744e-20,0.7019867549668874,0.2148997134670487
Ventral Mesoderm 1,myo5c,9.832121,4.4493766,8.187565983759051e-23,1.8046553265818812e-20,0.609271523178808,0.08882521489971347
Ventral Mesoderm 1,LOC105945479,9.821335,2.488288,9.112901516274916e-23,1.9885262398663493e-20,0.8874172185430463,0.66189111747851
Ventral Mesoderm 1,kiaa1671,9.79066,1.9141672,1.234874666316606e-22,2.641784322911241e-20,0.8741721854304636,0.7707736389684814
Ventral Mesoderm 1,esrp1,9.779873,3.1589978,1.3738281686855392e-22,2.910514996979335e-20,0.7086092715231788,0.2722063037249284
Ventral Mesoderm 1,depdc1b,9.717849,1.7482598,2.530703730319581e-22,5.259284390409864e-20,0.8543046357615894,0.6446991404011462
Ventral Mesoderm 1,grhl3,9.647061,4.721247,5.058460362273068e-22,1.0126666382124827e-19,0.6291390728476821,0.166189111747851
Ventral Mesoderm 1,lmo7,9.613689,3.6120949,6.99948456767856e-22,1.3885068431937623e-19,0.7615894039735099,0.5128939828080229
Ventral Mesoderm 1,hpgd,9.556722,4.3347955,1.2154534660844122e-21,2.347115936586545e-19,0.5960264900662252,0.10888252148997135
Ventral Mesoderm 1,gramd2b,9.542564,5.040247,1.3934309263694369e-21,2.667197916167323e-19,0.5827814569536424,0.08882521489971347
Ventral Mesoderm 1,kifc3,9.465372,4.8189325,2.925183573358465e-21,5.363901744055047e-19,0.5695364238410596,0.06303724928366762
Ventral Mesoderm 1,marveld2,9.458631,3.9750056,3.1200367798599255e-21,5.673526881110287e-19,0.5827814569536424,0.06303724928366762
Ventral Mesoderm 1,adap1l,9.452562,4.910387,3.3063508983440145e-21,5.962634954773945e-19,0.5827814569536424,0.09742120343839542
Ventral Mesoderm 1,LOC100216037,9.435371,5.5258994,3.896121670724412e-21,6.968628768596507e-19,0.5496688741721855,0.025787965616045846
Ventral Mesoderm 1,slc22a23,9.340987,2.843015,9.544006739231588e-21,1.6795142827159071e-18,0.7019867549668874,0.3008595988538682
Ventral Mesoderm 1,tjp2,9.336268,2.7669327,9.978957561271676e-21,1.742006663556074e-18,0.6887417218543046,0.2607449856733524
