group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Mesoderm 1,nectin2,16.628784,4.5671687,4.312567513395243e-62,9.41045357097976e-58,0.9867549668874173,0.46418338108882523
Ventral Mesoderm 1,epcam,15.229203,2.6588821,2.2633186313474136e-52,1.2346968963657979e-48,0.9867549668874173,0.7965616045845272
Ventral Mesoderm 1,phldb3,14.492333,5.70376,1.354609310922627e-47,5.911785954728528e-44,0.847682119205298,0.11461318051575932
Ventral Mesoderm 1,plekha4,13.9617605,2.6432297,2.6676163785521885e-44,9.701676166064549e-41,0.9602649006622517,0.5873925501432665
Ventral Mesoderm 1,ocln,13.638158,3.0604265,2.3748312729441678e-42,6.477649150864336e-39,0.9205298013245033,0.5214899713467048
Ventral Mesoderm 1,spint2,13.549842,2.269631,7.940126452841193e-42,1.9251277703049741e-38,0.9668874172185431,0.7020057306590258
Ventral Mesoderm 1,lrwd1,13.520178,3.163623,1.1888767868211858e-41,2.5942480365225096e-38,0.9072847682119205,0.42406876790830944
Ventral Mesoderm 1,marchf8,13.455458,4.637613,2.8596357943589323e-41,5.200009389058855e-38,0.8410596026490066,0.20630372492836677
Ventral Mesoderm 1,psd3,13.064775,3.1607301,5.2339127163917536e-39,8.785323798798804e-36,0.8874172185430463,0.4699140401146132
Ventral Mesoderm 1,rreb1,12.944773,1.9374069,2.5150734742949004e-38,3.920101305899216e-35,0.9933774834437086,0.9283667621776505
Ventral Mesoderm 1,tjp3,12.747578,5.1043324,3.2158499328761044e-37,4.385816336580592e-34,0.7615894039735099,0.11461318051575932
Ventral Mesoderm 1,st14,12.343411,2.1265635,5.286757959561061e-35,5.015754149373126e-32,0.9403973509933775,0.6189111747851003
Ventral Mesoderm 1,tbc1d14,12.316107,3.5282197,7.418988102369797e-35,6.745405807575472e-32,0.8013245033112583,0.22636103151862463
Ventral Mesoderm 1,rhpn2,12.199813,5.050227,3.115400143494237e-34,2.7192458612475096e-31,0.7284768211920529,0.08022922636103152
Ventral Mesoderm 1,plec,12.027562,2.8978672,2.545680890231031e-33,2.0573815816937528e-30,0.8543046357615894,0.501432664756447
Ventral Mesoderm 1,usp43,11.969246,3.5600808,5.149452531617843e-33,4.013078703301177e-30,0.7682119205298014,0.2177650429799427
Ventral Mesoderm 1,krt8.1,11.894075,2.9804015,1.2705179094356728e-32,9.559990104067523e-30,0.8675496688741722,0.5358166189111748
Ventral Mesoderm 1,rarg,11.842164,1.9177245,2.3627526191901864e-32,1.718587496778302e-29,0.9867549668874173,0.7535816618911175
Ventral Mesoderm 1,cdh3,11.831715,1.0852376,2.676178802874397e-32,1.8837708921781362e-29,1.0,0.9885386819484241
Ventral Mesoderm 1,rassf7,11.743399,4.826778,7.635542331749854e-32,5.048944521851927e-29,0.7019867549668874,0.07736389684813753
Ventral Mesoderm 1,trpm4,11.711038,3.5615683,1.119010944376189e-31,7.181746416833181e-29,0.7682119205298014,0.20057306590257878
Ventral Mesoderm 1,plpp3,11.653059,2.5786939,2.213663721494653e-31,1.3801244590495663e-28,0.8874172185430463,0.5358166189111748
Ventral Mesoderm 1,dnmbp,11.618676,3.630009,3.3122740543989026e-31,2.0076981150288458e-28,0.7417218543046358,0.19197707736389685
Ventral Mesoderm 1,atp1b2,11.561035,4.6395507,6.492163630926974e-31,3.8287973673096618e-28,0.7086092715231788,0.1174785100286533
Ventral Mesoderm 1,chmp5,11.512832,2.6990118,1.1368331350136178e-30,6.528114694508462e-28,0.8079470198675497,0.3954154727793696
Ventral Mesoderm 2,zeb2,16.428555,4.5643616,1.1947173925568123e-60,1.30349641114911e-56,0.9598853868194842,0.3576158940397351
Ventral Mesoderm 2,meis3,15.362352,3.792987,2.927558164368325e-53,2.1294082234893736e-49,0.9742120343839542,0.4900662251655629
Ventral Mesoderm 2,rbfox2,13.733216,1.7618679,6.42181518350863e-43,2.0018632731334545e-39,0.994269340974212,0.9602649006622517
Ventral Mesoderm 2,lama5,13.464896,3.484711,2.516723854643719e-41,4.992493748380055e-38,0.8911174785100286,0.39072847682119205
Ventral Mesoderm 2,fat1,12.838927,1.4575216,9.923977596938472e-38,1.4436741009519626e-34,0.9914040114613181,0.9271523178807947
Ventral Mesoderm 2,cyp27c1,12.740835,4.134776,3.5061978308169833e-37,4.5005142862504346e-34,0.8022922636103151,0.2185430463576159
Ventral Mesoderm 2,hmcn2,12.57027,3.8190968,3.076712797154555e-36,3.729830552594975e-33,0.8510028653295129,0.4105960264900662
Ventral Mesoderm 2,gli2,12.5513935,3.5661333,3.9057684233395054e-36,4.485672250825861e-33,0.8080229226361032,0.24503311258278146
Ventral Mesoderm 2,col13a1,12.517685,4.2174273,5.975287616044739e-36,6.519337553485613e-33,0.8108882521489972,0.2847682119205298
Ventral Mesoderm 2,fn1,12.389592,3.995119,2.9755343274458016e-35,3.0918635504378496e-32,0.8739255014326648,0.5761589403973509
Ventral Mesoderm 2,fgfr1,12.346445,1.9359121,5.091186255557888e-35,5.015754149373126e-32,0.9770773638968482,0.9072847682119205
Ventral Mesoderm 2,kpna2,12.171835,2.9034178,4.39101396990966e-34,3.6852429168230265e-31,0.8252148997134671,0.271523178807947
Ventral Mesoderm 2,adamts1,11.796321,3.258243,4.07752420797967e-32,2.780489241947637e-29,0.8223495702005731,0.31125827814569534
Ventral Mesoderm 2,vegt,11.407998,2.4462306,3.8140725155046275e-30,1.891519917291511e-27,0.9369627507163324,0.5496688741721855
Ventral Mesoderm 2,lama1,11.154846,4.0008836,6.780985412726202e-29,3.148252823214861e-26,0.7335243553008596,0.2119205298013245
Ventral Mesoderm 2,ubtd2,11.115407,2.6373677,1.05567784196339e-28,4.701213508057782e-26,0.8166189111747851,0.39072847682119205
Ventral Mesoderm 2,ttn,11.112037,3.8072605,1.0963039053405224e-28,4.784489503687107e-26,0.8510028653295129,0.423841059602649
Ventral Mesoderm 2,lamb1,11.060125,3.6176195,1.9582393783126445e-28,8.378576759639258e-26,0.7449856733524355,0.17880794701986755
Ventral Mesoderm 2,agrn,10.977202,2.4376462,4.919241950554632e-28,1.9168353321973682e-25,0.8882521489971347,0.6754966887417219
Ventral Mesoderm 2,dll1,10.961022,2.6059585,5.88312173477846e-28,2.252203497800014e-25,0.8710601719197708,0.3509933774834437
Ventral Mesoderm 2,axin2,10.931358,1.5812593,8.16173666352733e-28,3.0185975548276246e-25,0.9627507163323782,0.7483443708609272
Ventral Mesoderm 2,fgd1,10.857536,2.2778203,1.836361535292267e-27,6.569056567477468e-25,0.8424068767908309,0.4900662251655629
Ventral Mesoderm 2,slc7a6,10.798883,2.2396653,3.484137799845863e-27,1.226247918232848e-24,0.8424068767908309,0.5099337748344371
Ventral Mesoderm 2,rbm20,10.732478,2.8111215,7.164883093550019e-27,2.4428892810055464e-24,0.8710601719197708,0.45695364238410596
Ventral Mesoderm 2,p4ha2,10.648207,4.0920467,1.7775717217569133e-26,5.967445006224247e-24,0.6934097421203438,0.17880794701986755
