,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_1.0,leiden_0.05,leiden_0.15,leiden_0.2,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
18,07_01_19__s1,MO_st11.25,xenopus,3530,15564,33424,A7,A1,B7,7,1,19,3530,3530,8.169336395928386,15564.0,9.652781,2.0,1.0986123,0.012850167,88.0,4.4886365,0.56540734,0.19298245614035084,False,False,15564.0,1,0,1,1,2,6,59,Dorsal Inner Mesoderm
26,07_01_27__s1,MO_st11.25,xenopus,1401,2758,5813,A7,A1,C3,7,1,27,1401,1401,7.2456550675945355,2758.0,7.9226236,0.0,0.0,0.0,33.0,3.5263605,1.1965191,0.03364352183249821,False,False,2758.0,7,1,1,1,1,17,4,Ventral Inner Endoderm
34,07_01_35__s1,MO_st11.25,xenopus,2518,9136,19001,A7,A1,C11,7,1,35,2518,2518,7.831617276352611,9136.0,9.120088,1.0,0.6931472,0.010945709,50.0,3.9318256,0.5472855,0.07889125799573561,False,False,9136.0,12,1,3,3,10,13,14,Outer Epidermis
60,07_01_61__s1,MO_st11.25,xenopus,2618,8176,17165,A7,A1,F1,7,1,61,2618,2618,7.870547844507712,8176.0,9.009081,2.0,1.0986123,0.02446184,51.0,3.9512436,0.6237769,0.12133891213389121,False,False,8176.0,0,0,0,0,0,1,24,Neural Plate Border
87,07_01_88__s1,MO_st11.25,xenopus,2753,9066,19578,A7,A1,H4,7,1,88,2753,2753,7.9208096792886,9066.0,9.112397,5.0,1.7917595,0.055151112,45.0,3.8286414,0.49636,0.11318242343541943,False,False,9066.0,0,0,0,0,0,1,74,Neural Plate Border
96,07_02_01__s1,MO_st11.25,xenopus,2253,7089,15305,A7,A2,A1,7,2,1,2253,2253,7.720461694599722,7089.0,8.866441,1.0,0.6931472,0.014106362,42.0,3.7612002,0.5924672,0.02935153583617747,False,False,7089.0,6,1,1,1,1,10,19,Ventral Inner Endoderm
102,07_02_07__s1,MO_st11.25,xenopus,2125,5841,12620,A7,A2,A7,7,2,7,2125,2125,7.661997558901893,5841.0,8.672829,6.0,1.9459101,0.10272213,13.0,2.6390574,0.22256462,0.021861336664584632,False,False,5841.0,2,0,0,0,4,2,11,Neural Plate Border
132,07_02_37__s1,MO_st11.25,xenopus,2339,7518,16061,A7,A2,D1,7,2,37,2339,2339,7.757906208351747,7518.0,8.925188,0.0,0.0,0.0,48.0,3.8918202,0.63846767,0.04225352112676056,False,False,7518.0,7,1,1,1,1,9,40,Dorsal Inner Endoderm
137,07_02_42__s1,MO_st11.25,xenopus,2710,8961,19115,A7,A2,D6,7,2,42,2710,2710,7.905072849498666,8961.0,9.100749,0.0,0.0,0.0,51.0,3.9512436,0.5691329,0.034782608695652174,False,False,8961.0,0,0,0,0,8,5,20,Neural Plate Border
199,07_03_08__s1,MO_st11.25,xenopus,1377,2918,6092,A7,A3,A8,7,3,8,1377,1377,7.228388451573604,2918.0,7.9789963,0.0,0.0,0.0,16.0,2.8332133,0.5483208,0.01779359430604982,False,False,2918.0,11,2,2,2,5,7,66,Outer Neuroectoderm
203,07_03_12__s1,MO_st11.25,xenopus,1644,2978,6423,A7,A3,A12,7,3,12,1644,1644,7.405495663199472,2978.0,7.999343,1.0,0.6931472,0.033579584,36.0,3.6109178,1.208865,0.015544041450777204,False,False,2978.0,8,0,0,0,4,2,10,Inner Neuroectoderm
209,07_03_18__s1,MO_st11.25,xenopus,1560,2729,5792,A7,A3,B6,7,3,18,1560,1560,7.353081920515432,2729.0,7.912057,16.0,2.8332133,0.58629537,20.0,3.0445225,0.7328692,0.04793388429752066,False,False,2729.0,8,0,0,0,4,2,10,Inner Epidermis
237,07_03_46__s1,MO_st11.25,xenopus,1742,3962,8510,A7,A3,D10,7,3,46,1742,1742,7.463363045520021,3962.0,8.284757,1.0,0.6931472,0.025239779,16.0,2.8332133,0.40383646,0.035950110051357294,False,False,3962.0,9,0,0,0,8,5,16,Neural Plate Border
279,07_03_88__s1,MO_st11.25,xenopus,1406,2849,6241,A7,A3,H4,7,3,88,1406,1406,7.249215057114389,2849.0,7.9550743,1.0,0.6931472,0.035100035,11.0,2.4849067,0.38610038,0.06744868035190614,False,False,2849.0,10,1,4,4,9,12,70,Unidentified Cluster
283,07_03_92__s1,MO_st11.25,xenopus,1015,1698,3581,A7,A3,H8,7,3,92,1015,1015,6.923628628138427,1698.0,7.437795,0.0,0.0,0.0,10.0,2.3978953,0.58892816,0.07889125799573561,False,False,1698.0,1,0,1,1,2,4,72,Dorsal Inner Mesoderm
284,07_03_93__s1,MO_st11.25,xenopus,1727,3909,8337,A7,A3,H9,7,3,93,1727,1727,7.454719949364001,3909.0,8.271293,1.0,0.6931472,0.025581991,8.0,2.1972246,0.20465593,0.04225352112676056,False,False,3909.0,4,2,2,2,3,0,5,Cement Gland Primordium
286,07_03_95__s1,MO_st11.25,xenopus,2059,5022,10798,A7,A3,H11,7,3,95,2059,2059,7.630461261783627,5022.0,8.521783,1.0,0.6931472,0.019912384,32.0,3.4965076,0.6371963,0.04225352112676056,False,False,5022.0,6,1,1,1,1,10,27,Ventral Inner Mesoderm
299,07_04_12__s1,MO_st11.25,xenopus,2124,5984,12662,A7,A4,A12,7,4,12,2124,2124,7.661527081358517,5984.0,8.697012,1.0,0.6931472,0.01671123,30.0,3.4339871,0.50133693,0.12571428571428572,False,False,5984.0,10,1,4,4,9,12,2,Unidentified Cluster
309,07_04_22__s1,MO_st11.25,xenopus,2133,5726,12132,A7,A4,B10,7,4,22,2133,2133,7.665753431861699,5726.0,8.652947,2.0,1.0986123,0.034928396,40.0,3.713572,0.6985679,0.06958250497017893,False,False,5726.0,5,2,2,2,3,11,8,Outer Neuroectoderm
369,07_04_82__s1,MO_st11.25,xenopus,2327,7357,16025,A7,A4,G10,7,4,82,2327,2327,7.752764808851328,7357.0,8.903543,2.0,1.0986123,0.027184995,38.0,3.6635616,0.5165149,0.054290718038528904,False,False,7357.0,7,1,1,1,1,9,46,Dorsal Inner Endoderm
372,07_04_85__s1,MO_st11.25,xenopus,2510,7379,16023,A7,A4,H1,7,4,85,2510,2510,7.828436359157585,7379.0,8.906528,2.0,1.0986123,0.027103944,37.0,3.637586,0.50142294,0.06145251396648045,False,False,7379.0,0,0,0,0,0,1,34,Inner Epidermis
379,07_04_92__s1,MO_st11.25,xenopus,2412,8194,17535,A7,A4,H8,7,4,92,2412,2412,7.7886260656250315,8194.0,9.011279,0.0,0.0,0.0,39.0,3.6888795,0.47595805,0.034782608695652174,False,False,8194.0,3,1,1,1,6,10,21,Ventral Inner Mesoderm
385,07_05_02__s1,MO_st11.25,xenopus,2008,4994,10468,A7,A5,A2,7,5,2,2008,2008,7.605392364814935,4994.0,8.516192,1.0,0.6931472,0.02002403,20.0,3.0445225,0.40048057,0.026385224274406333,False,False,4994.0,2,0,0,0,2,8,68,Neural Plate Border
397,07_05_14__s1,MO_st11.25,xenopus,2572,7984,16999,A7,A5,B2,7,5,14,2572,2572,7.8528278122817445,7984.0,8.98532,1.0,0.6931472,0.01252505,45.0,3.8286414,0.56362724,0.03144654088050315,False,False,7984.0,9,0,0,0,8,5,16,Inner Neuroectoderm
433,07_05_50__s1,MO_st11.25,xenopus,2344,6580,14271,A7,A5,E2,7,5,50,2344,2344,7.76004068088038,6580.0,8.791942,4.0,1.609438,0.06079027,26.0,3.295837,0.3951368,0.06338694418164618,False,False,6580.0,0,0,0,0,0,3,56,Neural Plate Border
