leiden_1.2,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,93,0,0,0,2,2,0,0,0,321,98,0,0,0,4,26
1,0,9,0,4,0,0,242,127,152,0,0,0,0,5,0,0
10,0,0,3,49,0,0,0,0,0,0,0,0,6,226,0,0
11,0,0,0,0,1,2,0,0,0,21,197,0,0,0,0,29
12,0,0,0,1,0,0,0,0,0,0,0,237,0,0,0,0
13,0,0,0,0,84,3,0,0,0,12,20,0,0,0,50,21
14,2,0,0,0,89,2,0,0,0,10,27,0,0,0,43,23
15,0,0,0,0,10,84,0,0,0,1,47,0,0,0,4,30
16,0,0,1,140,0,0,0,0,0,0,0,0,0,2,0,0
17,0,0,53,43,0,0,0,0,0,0,0,0,11,19,0,0
18,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0
19,2,0,0,0,2,2,0,0,0,15,20,0,0,0,1,2
2,0,0,0,4,0,0,108,174,225,0,0,0,0,0,0,0
3,0,1,0,6,0,0,28,105,330,0,0,0,0,8,0,0
4,0,0,0,373,0,0,0,0,1,0,0,0,1,16,0,0
5,0,2,0,0,0,0,0,243,143,0,0,0,0,0,0,0
6,0,0,1,208,0,0,0,41,66,0,0,0,0,56,0,0
7,10,0,0,0,3,3,0,0,0,92,227,0,0,0,0,20
8,0,0,0,2,0,0,0,43,310,0,0,0,0,0,0,0
9,0,0,139,16,0,0,0,0,0,0,0,0,144,17,0,0
