group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Epidermis 2,col18a1,34.455265,4.8298545,3.755378356360717e-260,1.1706587302021029e-256,0.9857397504456328,0.66189111747851
Epidermis 2,bsg,31.467022,3.4215555,2.4559062819851733e-217,1.5311523136913846e-214,0.9741532976827094,0.5902578796561605
Epidermis 2,gse1,30.322552,2.9482884,5.782503100781954e-202,2.684680854514107e-199,0.9491978609625669,0.5601719197707736
Epidermis 2,fat1,29.805698,2.2081108,3.2957163701344538e-195,1.3829966713981522e-192,0.9919786096256684,0.8796561604584527
Epidermis 2,tox3,29.700026,3.7261896,7.67260435049223e-194,3.1004425839276097e-191,0.9135472370766489,0.38825214899713467
Epidermis 2,smad6,28.654533,4.275848,1.4075602761733143e-180,4.7991207478715454e-178,0.8520499108734403,0.16905444126074498
Epidermis 2,ptgs2,28.601055,3.978199,6.518836533735956e-180,2.1884235692715738e-177,0.8983957219251337,0.3022922636103152
Epidermis 2,kdm1a,28.57239,2.357295,1.4807779841476823e-179,4.895766120013118e-177,0.9625668449197861,0.7234957020057307
Epidermis 2,plekhg3,28.511343,3.6867464,8.474633782984766e-179,2.719485055566332e-176,0.8894830659536542,0.3008595988538682
Epidermis 2,phldb1,28.406542,3.1866179,1.6788719358698702e-177,5.309371668495136e-175,0.910873440285205,0.42120343839541546
Epidermis 2,ptmap12,28.262846,2.3885772,9.896211382401363e-176,2.9992392857691684e-173,0.9732620320855615,0.664756446991404
Epidermis 2,prkx,27.516117,2.986147,1.1262272653439043e-166,2.925643471079683e-164,0.9162210338680927,0.5601719197707736
Epidermis 2,capn8.1,27.433424,4.1791873,1.0956039981288694e-165,2.779904051531402e-163,0.8351158645276292,0.22063037249283668
Epidermis 2,notch1,26.372244,2.514353,2.852920124240354e-153,6.484746878234246e-151,0.9153297682709447,0.5630372492836676
Epidermis 2,lfng,26.196627,3.2130213,2.9032545976933698e-151,6.53112562641928e-149,0.8787878787878788,0.3653295128939828
Epidermis 2,nhs,26.18695,3.6127803,3.742194841796955e-151,8.332493228862382e-149,0.8377896613190731,0.29512893982808025
Epidermis 2,pdgfa,25.981474,2.854851,8.020627876603716e-149,1.732852682132373e-146,0.8983957219251337,0.5214899713467048
Epidermis 2,has1,25.384954,2.1792307,3.697431296586705e-142,7.683966506935094e-140,0.9420677361853832,0.6389684813753582
Epidermis 2,gldc,24.895163,3.5977628,8.394241075234506e-137,1.620979951351258e-134,0.8012477718360071,0.22206303724928367
Epidermis 2,prmt1,24.686384,1.6288344,1.4977164176870513e-134,2.8173853405473402e-132,0.9875222816399287,0.8853868194842407
Epidermis 2,LOC100488102,24.605341,3.9096148,1.107406103068293e-133,2.0478566589028152e-131,0.7789661319073083,0.19484240687679083
Epidermis 2,rfx2,24.227047,2.215462,1.1544650582756952e-129,2.0315791965027377e-127,0.9099821746880571,0.6418338108882522
Epidermis 2,auts2,23.76326,2.8476844,8.014072608135693e-125,1.3556207626521626e-122,0.8288770053475936,0.32951289398280803
Epidermis 2,olfm4,23.34818,5.636809,1.438069919243477e-120,2.37728209907666e-118,0.6764705882352942,0.04871060171919771
Epidermis 2,trim36,23.341621,2.1392236,1.676475941131973e-120,2.7300284710030433e-118,0.9037433155080213,0.6002865329512894
Epidermis1,rabgap1l,35.6395,6.498017,3.426911541539801e-278,7.477863674794e-274,0.995702005730659,0.24420677361853832
Epidermis1,upk3b,35.28854,6.8094225,8.802486314958777e-273,9.603952693935773e-269,0.9871060171919771,0.08912655971479501
Epidermis1,epas1,35.14535,5.0902023,1.368989362978083e-270,9.957572296514915e-267,0.994269340974212,0.7103386809269162
Epidermis1,astl2d.1,34.756416,6.012093,1.1088287582359294e-264,6.048938083366554e-261,0.9856733524355301,0.28431372549019607
Epidermis1,hpgd,34.61212,5.3390584,1.660180966234761e-262,7.245361772841744e-259,0.9785100286532952,0.26916221033868093
Epidermis1,upk2,34.54952,6.683924,1.4493379102850514e-261,5.271000423388351e-258,0.9713467048710601,0.08377896613190731
Epidermis1,krt7,34.356792,4.680403,1.1150651366594813e-258,3.041479543380818e-255,0.9899713467048711,0.49554367201426025
Epidermis1,krt70,33.96836,3.8751323,6.534756230282467e-253,1.5843879522332634e-249,0.997134670487106,0.6648841354723708
Epidermis1,LOC100495222,33.901814,3.289488,6.264458836857012e-252,1.3669675627905685e-248,0.995702005730659,0.7290552584670231
Epidermis1,elovl3,33.628044,5.6976204,6.530028100960621e-248,1.2953794835551065e-244,0.9555873925501432,0.14616755793226383
Epidermis1,LOC101734097,33.35565,4.666632,6.032196497894474e-244,1.0969046648379609e-240,0.9627507163323782,0.39215686274509803
Epidermis1,tjp3,33.32419,5.622902,1.7236692659961416e-243,2.8932451579462925e-240,0.9455587392550143,0.13903743315508021
Epidermis1,grhl3,33.222,3.7138216,5.181122772332834e-242,8.075520001076769e-239,0.995702005730659,0.7254901960784313
Epidermis1,xbp1,33.177925,2.943186,2.241381982638835e-241,3.260613082877468e-238,0.997134670487106,0.7620320855614974
Epidermis1,kifc3,33.05872,5.3955197,1.1657028279825927e-239,1.5898000880880098e-236,0.9469914040114613,0.14349376114081996
Epidermis1,gramd2b,32.89255,4.40924,2.808668484543696e-237,3.605173823601647e-234,0.9598853868194842,0.3235294117647059
Epidermis1,phldb3,32.753307,5.5116115,2.7243837797311483e-235,3.302709914306299e-232,0.9340974212034384,0.18627450980392157
Epidermis1,gfod1,32.58613,4.180151,6.4484303519458845e-233,7.405852563674271e-230,0.9699140401146131,0.3948306595365419
Epidermis1,adap1l,32.570396,4.782422,1.077070718978578e-232,1.1751380079415775e-229,0.9455587392550143,0.24866310160427807
Epidermis1,ag1,32.339237,6.6134305,1.965689927748303e-229,2.042539043495034e-226,0.9140401146131805,0.0766488413547237
Epidermis1,prss27,32.267136,4.7316155,2.022914321857999e-228,2.0064551553301545e-225,0.9455587392550143,0.19964349376114082
Epidermis1,grhl1,32.210907,3.2528489,1.2417372686393862e-227,1.1780847364773933e-224,0.997134670487106,0.7005347593582888
Epidermis1,krt8.1,32.046295,2.9501083,2.4722503870389805e-225,2.2477906539823995e-222,0.994269340974212,0.7807486631016043
Epidermis1,LOC595077,31.92613,6.0955906,1.1587874314379812e-223,1.0114360216563273e-220,0.9068767908309455,0.08199643493761141
