group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Endoderm 1,epcam,9.246241,2.4612446,2.3252782177631504e-20,2.536994799490485e-16,1.0,0.8881118881118881
Ventral Endoderm 1,nectin2,8.899914,4.0175977,5.589019204086832e-19,3.3448641126278153e-15,1.0,0.6293706293706294
Ventral Endoderm 1,celsr1,8.79533,3.619472,1.4262852389516062e-18,5.1871616998604996e-15,0.9743589743589743,0.6853146853146853
Ventral Endoderm 1,tbc1d14,8.572446,5.214097,1.013097495944689e-17,2.7633500573761324e-14,0.9230769230769231,0.1958041958041958
Ventral Endoderm 1,plec,8.467862,3.8291056,2.4993756178095275e-17,5.45388753562217e-14,0.9487179487179487,0.5314685314685315
Ventral Endoderm 1,psd3,8.346133,4.390922,7.053404525182833e-17,1.087369831594246e-13,0.9230769230769231,0.3916083916083916
Ventral Endoderm 1,tjp2,8.339275,4.649204,7.474702109854586e-17,1.087369831594246e-13,0.9230769230769231,0.2937062937062937
Ventral Endoderm 1,palm2,8.239835,3.906996,1.724479928305986e-16,2.1207177148842013e-13,0.9230769230769231,0.43356643356643354
Ventral Endoderm 1,dst,7.7786374,5.759187,7.330972590227912e-15,5.924783440420862e-12,0.8461538461538461,0.1048951048951049
Ventral Endoderm 1,ano5,7.751206,4.230915,9.102403299242869e-15,7.093697942599237e-12,0.8717948717948718,0.2727272727272727
Ventral Endoderm 1,tat,7.6106176,3.2726288,2.7278907291367662e-14,1.8601657375154182e-11,0.9230769230769231,0.3706293706293706
Ventral Endoderm 1,axl,7.5214643,5.6489806,5.4166146404370647e-14,3.581695396029612e-11,0.8205128205128205,0.09090909090909091
Ventral Endoderm 1,spint2,7.384305,2.7433562,1.5325166825558708e-13,9.029947624707163e-11,0.9487179487179487,0.5804195804195804
Ventral Endoderm 1,fhod1,7.380876,4.224172,1.5725127617381065e-13,9.029947624707163e-11,0.8461538461538461,0.2867132867132867
Ventral Endoderm 1,cdh3,7.3723035,1.1938804,1.6770446622165118e-13,9.383279890827308e-11,0.9743589743589743,0.993006993006993
Ventral Endoderm 1,arhgap27,7.3191547,4.140591,2.495381596632379e-13,1.3280907761003695e-10,0.8461538461538461,0.13986013986013987
Ventral Endoderm 1,LOC100489507,7.3191547,3.8787966,2.495381596632379e-13,1.3280907761003695e-10,0.8461538461538461,0.3076923076923077
Ventral Endoderm 1,slc5a8.1,7.236859,4.0218816,4.591950260467237e-13,2.3302545728757113e-10,0.8461538461538461,0.09090909090909091
Ventral Endoderm 1,nxpe3l.2,7.23343,6.8164916,4.709450949438424e-13,2.3355665719930875e-10,0.7692307692307693,0.02097902097902098
Ventral Endoderm 1,prc1,7.2042837,2.6265678,5.834975506815896e-13,2.7679347942223846e-10,0.9230769230769231,0.5874125874125874
Ventral Endoderm 1,trib2,7.101414,2.5247293,1.234865120914035e-12,5.28352780460101e-10,0.9230769230769231,0.5174825174825175
Ventral Endoderm 1,spint1,7.089413,3.9324076,1.3468208741295867e-12,5.442403387848465e-10,0.8205128205128205,0.17482517482517482
Ventral Endoderm 1,kiaa1671,6.9865437,3.5304055,2.8174088664039386e-12,1.042011506335599e-09,0.8717948717948718,0.5104895104895105
Ventral Endoderm 1,slc12a3l,6.952254,6.2971816,3.5949585312019557e-12,1.3074265018226313e-09,0.7948717948717948,0.24475524475524477
Ventral Endoderm 1,plekha4,6.9008193,2.6536727,5.1703527829365565e-12,1.8197140012332032e-09,0.8974358974358975,0.6223776223776224
Ventral Endoderm 2,fn1,9.290817,4.8875713,1.531083365267529e-20,2.536994799490485e-16,1.0,0.7948717948717948
Ventral Endoderm 2,fgfr1,8.8896265,2.4761233,6.131458893043976e-19,3.3448641126278153e-15,1.0,0.9743589743589743
Ventral Endoderm 2,lama5,8.834763,4.8667936,1.003107150681841e-18,4.37776022700569e-15,0.972027972027972,0.23076923076923078
Ventral Endoderm 2,pdgfra,8.714748,5.199506,2.9140424215866337e-18,9.083902811634563e-15,0.951048951048951,0.23076923076923078
Ventral Endoderm 2,aldh1a2,8.519297,4.347765,1.6052475855788895e-17,3.8920119516574384e-14,0.986013986013986,0.6153846153846154
Ventral Endoderm 2,ugdhl,8.454146,4.7765923,2.811364670533715e-17,5.576980770519655e-14,0.951048951048951,0.28205128205128205
Ventral Endoderm 2,myo10,8.4232855,3.6328297,3.6607076788371105e-17,6.656691854992048e-14,0.986013986013986,0.7435897435897436
Ventral Endoderm 2,gata6,8.388996,3.5064802,4.90312293805126e-17,8.230080433170504e-14,1.0,0.5897435897435898
Ventral Endoderm 2,itga5,8.313559,3.1670692,9.287439678860614e-17,1.266632632702609e-13,0.993006993006993,0.6410256410256411
Ventral Endoderm 2,hunk,8.238121,3.052093,1.7493661549844473e-16,2.1207177148842013e-13,0.965034965034965,0.48717948717948717
Ventral Endoderm 2,nhs,8.214118,5.161841,2.1372954684538942e-16,2.3318962208566213e-13,0.916083916083916,0.28205128205128205
Ventral Endoderm 2,meis3,8.214118,4.1709657,2.1372954684538942e-16,2.3318962208566213e-13,0.958041958041958,0.4358974358974359
Ventral Endoderm 2,cdon,8.131823,3.1841402,4.2288409104272727e-16,4.394168452687311e-13,0.972027972027972,0.5897435897435898
Ventral Endoderm 2,tdrd7,7.9826617,4.6448445,1.4321085741468142e-15,1.4204564180208015e-12,0.9230769230769231,0.3333333333333333
Ventral Endoderm 2,hmcn2,7.972375,4.0865693,1.5565376957145012e-15,1.4767482199211362e-12,0.9370629370629371,0.38461538461538464
Ventral Endoderm 2,p4ha2,7.9569445,4.805682,1.7633976673081398e-15,1.6032958540971214e-12,0.916083916083916,0.2564102564102564
Ventral Endoderm 2,gli2,7.888365,3.9849374,3.0617136315764687e-15,2.6723861261852047e-12,0.8881118881118881,0.28205128205128205
Ventral Endoderm 2,fam171a1,7.790639,2.3478837,6.6671127122775226e-15,5.595502557484916e-12,0.993006993006993,0.7692307692307693
Ventral Endoderm 2,fgfrl1,7.727203,4.7368426,1.0993531498784226e-14,8.272063821895537e-12,0.8811188811188811,0.23076923076923078
Ventral Endoderm 2,spns2,7.6809115,4.992288,1.5796029655741888e-14,1.1489505437264791e-11,0.8811188811188811,0.20512820512820512
Ventral Endoderm 2,rbfox2,7.6174755,1.7680137,2.58684728474815e-14,1.8208901484028836e-11,1.0,0.9487179487179487
Ventral Endoderm 2,rgs12,7.4837456,2.3835056,7.223379133415915e-14,4.635922237360843e-11,0.972027972027972,0.6153846153846154
Ventral Endoderm 2,gli3,7.4494557,3.200406,9.372611490816341e-14,5.83065246702907e-11,0.9370629370629371,0.4358974358974359
Ventral Endoderm 2,grasp,7.446027,3.1042488,9.619334073280167e-14,5.83065246702907e-11,0.958041958041958,0.4358974358974359
Ventral Endoderm 2,pappa,7.250575,4.6606836,4.1500619318539086e-13,2.1561547955948605e-10,0.8111888111888111,0.1282051282051282
