group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Ventral Mesoderm 1,epcam,13.919906,3.301921,4.795340436753773e-44,1.0463912367040409e-39,1.0,0.8033707865168539
Ventral Mesoderm 1,nectin2,13.621864,4.2394924,2.968910117307471e-42,3.2392293834883164e-38,1.0,0.5870786516853933
Ventral Mesoderm 1,phldb3,13.0577135,5.858258,5.7426614841087716e-39,3.132765406118438e-35,0.9390243902439024,0.16292134831460675
Ventral Mesoderm 1,psd3,12.748544,4.6064067,3.1762296757552246e-37,9.901215393522107e-34,0.9390243902439024,0.35674157303370785
Ventral Mesoderm 1,tbc1d14,12.704031,4.661738,5.6160720107100404e-37,1.3362832806423685e-33,0.9390243902439024,0.28370786516853935
Ventral Mesoderm 1,tjp3,12.680807,6.028954,7.554998440582305e-37,1.4987056451995135e-33,0.9146341463414634,0.13764044943820225
Ventral Mesoderm 1,plec,12.284547,3.502535,1.0965766851718049e-34,1.840646142087227e-31,0.9512195121951219,0.6123595505617978
Ventral Mesoderm 1,palm2,12.234228,3.423272,2.04035092564597e-34,3.1801783963229084e-31,0.9512195121951219,0.5084269662921348
Ventral Mesoderm 1,slc22a23,12.209069,4.0075493,2.7805332209247405e-34,4.044934360919918e-31,0.9390243902439024,0.3707865168539326
Ventral Mesoderm 1,ocln,12.145203,3.810393,6.083165137906265e-34,8.186625494436468e-31,0.9512195121951219,0.4438202247191011
Ventral Mesoderm 1,LOC100495222,12.141332,4.804992,6.377921882838549e-34,8.186625494436468e-31,0.926829268292683,0.32303370786516855
Ventral Mesoderm 1,rabgap1l,11.998117,5.0612087,3.6347110060594955e-33,3.965651443161213e-30,0.9024390243902439,0.32303370786516855
Ventral Mesoderm 1,epas1,11.778457,4.8685093,5.040767632292983e-32,4.230561173240968e-29,0.9390243902439024,0.5056179775280899
Ventral Mesoderm 1,tjp2,11.759103,4.1414824,6.340422306413476e-32,5.124235375861055e-29,0.9146341463414634,0.28651685393258425
Ventral Mesoderm 1,golim4,11.645885,2.9352188,2.4080611126457845e-31,1.811941432380816e-28,0.9512195121951219,0.6629213483146067
Ventral Mesoderm 1,cdh1,11.594115,4.7030787,4.414010992588057e-31,3.107036576427871e-28,0.8658536585365854,0.17696629213483145
Ventral Mesoderm 1,pard6b,11.440256,5.321209,2.631066219136416e-30,1.6773572332835474e-27,0.8414634146341463,0.0702247191011236
Ventral Mesoderm 1,rarg,11.361876,2.2128074,6.473976072343996e-30,3.7175955756478504e-27,0.9878048780487805,0.8174157303370787
Ventral Mesoderm 1,itpr3,11.309137,3.93954,1.182462382784391e-29,6.61602862942005e-27,0.926829268292683,0.6573033707865169
Ventral Mesoderm 1,rreb1,11.265593,1.7500983,1.9404261773630366e-29,1.0585509904059705e-26,0.9878048780487805,0.9831460674157303
Ventral Mesoderm 1,crtc3,11.23366,3.0052602,2.786922327869537e-29,1.4832544418644187e-26,0.9512195121951219,0.5870786516853933
Ventral Mesoderm 1,atp1b2,11.139795,5.09646,8.030352065688816e-29,3.982507100577174e-26,0.8292682926829268,0.11235955056179775
Ventral Mesoderm 1,marchf8,11.064801,4.849267,1.8587451560843995e-28,8.817321315416888e-26,0.8658536585365854,0.19382022471910113
Ventral Mesoderm 1,lmo7,11.042061,4.340109,2.3947618299407913e-28,1.111831870024213e-25,0.9024390243902439,0.45224719101123595
Ventral Mesoderm 1,usp43,11.027546,3.37694,2.8143992101099704e-28,1.279437607579368e-25,0.8902439024390244,0.2640449438202247
Ventral Mesoderm 2,zeb2,13.198994,4.381503,8.89153703659618e-40,6.467407655852174e-36,0.9831460674157303,0.45121951219512196
Ventral Mesoderm 2,rbfox2,12.995783,2.3503022,1.2927785233747172e-38,5.641944031711941e-35,1.0,0.9390243902439024
Ventral Mesoderm 2,cdon,12.89321,3.7197437,4.915431516887801e-38,1.7876605188334781e-34,0.9747191011235955,0.4878048780487805
Ventral Mesoderm 2,plod2,12.718062,5.3066907,4.693557422566616e-37,1.2802264564728268e-33,0.949438202247191,0.32926829268292684
Ventral Mesoderm 2,fn1,12.697257,5.714017,6.123840706852887e-37,1.3362832806423685e-33,0.952247191011236,0.4268292682926829
Ventral Mesoderm 2,ttn,12.451954,5.814563,1.364636142740895e-35,2.4814771058957553e-32,0.9410112359550562,0.3902439024390244
Ventral Mesoderm 2,gli3,12.111334,3.1966257,9.198549258428659e-34,1.1151196853787319e-30,0.9719101123595506,0.5487804878048781
Ventral Mesoderm 2,fgfr1,12.065854,2.227695,1.5999418089000427e-33,1.837491063789886e-30,1.0,0.9146341463414634
Ventral Mesoderm 2,myo10,11.9923115,3.609627,3.898732283986658e-33,4.051154150898708e-30,0.9606741573033708,0.47560975609756095
Ventral Mesoderm 2,gli2,11.917801,4.077056,9.559890237447878e-33,9.48210749415228e-30,0.9157303370786517,0.24390243902439024
Ventral Mesoderm 2,col13a1,11.883449,4.8651266,1.4428945579168656e-32,1.3689305281871273e-29,0.9129213483146067,0.2804878048780488
Ventral Mesoderm 2,dll1,11.787649,3.7974072,4.5198068101745637e-32,3.967792366680828e-29,0.9578651685393258,0.32926829268292684
Ventral Mesoderm 2,fat1,11.787166,2.0697103,4.545841582284071e-32,3.967792366680828e-29,0.9971910112359551,0.9146341463414634
Ventral Mesoderm 2,itga5,11.693302,4.0044894,1.3791865955382847e-31,1.074829667901461e-28,0.9578651685393258,0.2926829268292683
Ventral Mesoderm 2,rbm20,11.625565,3.395195,3.0556531910737617e-31,2.2225802760806853e-28,0.9887640449438202,0.5975609756097561
Ventral Mesoderm 2,trim71,11.556376,2.5220168,6.854024902035347e-31,4.673802418353541e-28,0.9859550561797753,0.6829268292682927
Ventral Mesoderm 2,ror2,11.528798,3.2362454,9.445311493363712e-31,6.245640669596654e-28,0.9719101123595506,0.5121951219512195
Ventral Mesoderm 2,meis3,11.438321,3.3635695,2.690413050040061e-30,1.6773572332835474e-27,0.9803370786516854,0.5487804878048781
Ventral Mesoderm 2,vegt,11.398646,2.6507301,4.246687941692707e-30,2.5740827104354598e-27,0.9859550561797753,0.6219512195121951
Ventral Mesoderm 2,robo1,11.363327,4.244504,6.367276210010866e-30,3.7175955756478504e-27,0.8735955056179775,0.24390243902439024
Ventral Mesoderm 2,LOC105948415,11.159633,5.2292356,6.425649198715816e-29,3.3384307420280434e-26,0.8398876404494382,0.18292682926829268
Ventral Mesoderm 2,fam171a1,11.140763,3.1968288,7.943569726531918e-29,3.982507100577174e-26,0.9297752808988764,0.4146341463414634
Ventral Mesoderm 2,col18a1,11.120926,3.2718027,9.923662187277535e-29,4.812094057524069e-26,0.949438202247191,0.6585365853658537
Ventral Mesoderm 2,lama5,10.922554,3.9696033,8.993076869808683e-28,3.7738063533864476e-25,0.851123595505618,0.3048780487804878
Ventral Mesoderm 2,aldh1a2,10.855785,3.85928,1.8719158168902484e-27,7.706995290634361e-25,0.9466292134831461,0.524390243902439
