,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.3,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
5,01_01_06__s1,Control_st11.25,xenopus,1984,4422,9269,A1,A1,A6,1,1,6,1984,1984,7.59337419312129,4422.0,8.394573,3.0,1.3862944,0.0678426,33.0,3.5263605,0.74626863,0.035924232527759635,False,False,4422.0,0,0,0,3,7,9,12,Inner Epidermis
86,01_01_87__s1,Control_st11.25,xenopus,2657,8964,19133,A1,A1,H3,1,1,87,2657,2657,7.885329239273191,8964.0,9.101084,1.0,0.6931472,0.011155734,37.0,3.637586,0.41276217,0.06297229219143576,False,False,8964.0,3,0,0,0,5,0,41,Neural Plate Border
88,01_01_89__s1,Control_st11.25,xenopus,1966,7211,15109,A1,A1,H5,1,1,89,1966,1966,7.584264818389059,7211.0,8.883502,3.0,1.3862944,0.041603107,23.0,3.1780539,0.31895715,0.09072164948453607,False,False,7211.0,17,2,2,6,17,18,20,Ventral Outer Mesoderm
99,01_02_04__s1,Control_st11.25,xenopus,2198,5170,10881,A1,A2,A4,1,2,4,2198,2198,7.695757990554761,5170.0,8.550821,0.0,0.0,0.0,72.0,4.2904596,1.3926499,0.02087912087912088,False,False,5170.0,7,0,0,3,7,9,13,Inner Epidermis
106,01_02_11__s1,Control_st11.25,xenopus,2383,7492,16027,A1,A2,A11,1,2,11,2383,2383,7.776535028185241,7492.0,8.921724,1.0,0.6931472,0.013347571,44.0,3.8066626,0.58729315,0.03386581469648563,False,False,7492.0,4,1,1,1,0,7,8,Ventral Inner Mesoderm
112,01_02_17__s1,Control_st11.25,xenopus,2167,6127,12773,A1,A2,B5,1,2,17,2167,2167,7.681560362559537,6127.0,8.720624,0.0,0.0,0.0,36.0,3.6109178,0.5875633,0.053364269141531334,False,False,6127.0,8,2,2,2,14,17,27,Outer Neuroectoderm
151,01_02_56__s1,Control_st11.25,xenopus,2540,8242,17370,A1,A2,E8,1,2,56,2540,2540,7.840312983320164,8242.0,9.017119,0.0,0.0,0.0,54.0,4.0073333,0.65518075,0.03189493433395872,False,False,8242.0,3,0,0,0,5,4,11,Inner Neuroectoderm
155,01_02_60__s1,Control_st11.25,xenopus,1875,5485,11708,A1,A2,E12,1,2,60,1875,1875,7.53689712956617,5485.0,8.609955,0.0,0.0,0.0,35.0,3.583519,0.6381039,0.053364269141531334,False,False,5485.0,15,1,1,1,4,5,32,Dorsal Inner Mesoderm
164,01_02_69__s1,Control_st11.25,xenopus,2382,6782,14596,A1,A2,F9,1,2,69,2382,2382,7.776115477098742,6782.0,8.822175,0.0,0.0,0.0,35.0,3.583519,0.516072,0.05190839694656489,False,False,6782.0,2,0,0,0,2,0,22,Inner Epidermis
177,01_02_82__s1,Control_st11.25,xenopus,2250,6559,14053,A1,A2,G10,1,2,82,2250,2250,7.719129840906732,6559.0,8.788746,0.0,0.0,0.0,40.0,3.713572,0.6098491,0.04516129032258065,False,False,6559.0,6,0,0,0,8,11,2,Neural Plate Border
200,01_03_09__s1,Control_st11.25,xenopus,1723,3876,8299,A1,A3,A9,1,3,9,1723,1723,7.452402451223638,3876.0,8.262817,0.0,0.0,0.0,22.0,3.1354942,0.5675955,0.020141535111594992,False,False,3876.0,6,0,0,4,6,6,31,Inner Neuroectoderm
229,01_03_38__s1,Control_st11.25,xenopus,2460,6946,14733,A1,A3,D2,1,3,38,2460,2460,7.8083230503910555,6946.0,8.8460655,0.0,0.0,0.0,27.0,3.3322046,0.3887129,0.13934426229508196,False,False,6946.0,14,1,4,7,16,14,38,Unidentified Cluster
232,01_03_41__s1,Control_st11.25,xenopus,1509,3107,6366,A1,A3,D5,1,3,41,1509,1509,7.31986492980897,3107.0,8.041735,0.0,0.0,0.0,27.0,3.3322046,0.86900544,0.07867298578199053,False,False,3107.0,0,0,0,3,3,2,6,Neural Plate Border
247,01_03_56__s1,Control_st11.25,xenopus,1269,2449,5075,A1,A3,E8,1,3,56,1269,1269,7.146772179452637,2449.0,7.8038435,1.0,0.6931472,0.040832993,22.0,3.1354942,0.8983258,0.09615384615384613,False,False,2449.0,9,1,1,1,9,10,28,Dorsal Inner Mesoderm
313,01_04_26__s1,Control_st11.25,xenopus,1744,3657,7750,A1,A4,C2,1,4,26,1744,1744,7.4645098346365275,3657.0,8.204672,0.0,0.0,0.0,34.0,3.5553482,0.9297238,0.023176936122102886,False,False,3657.0,7,0,0,3,7,9,37,Inner Epidermis
314,01_04_27__s1,Control_st11.25,xenopus,2552,7844,16364,A1,A4,C3,1,4,27,2552,2552,7.845024417241484,7844.0,8.967631,0.0,0.0,0.0,42.0,3.7612002,0.5354411,0.0832517140058766,False,False,7844.0,6,0,0,0,8,11,2,Neural Plate Border
319,01_04_32__s1,Control_st11.25,xenopus,1983,5463,11742,A1,A4,C8,1,4,32,1983,1983,7.592870287844818,5463.0,8.605936,1.0,0.6931472,0.01830496,20.0,3.0445225,0.3660992,0.04516129032258065,False,False,5463.0,5,1,1,1,4,3,59,Dorsal Inner Mesoderm
320,01_04_33__s1,Control_st11.25,xenopus,1623,3699,7786,A1,A4,C9,1,4,33,1623,1623,7.392647520721623,3699.0,8.216088,1.0,0.6931472,0.027034333,27.0,3.3322046,0.729927,0.054858934169279006,False,False,3699.0,5,1,1,1,4,3,59,Dorsal Inner Mesoderm
332,01_04_45__s1,Control_st11.25,xenopus,2020,6157,12853,A1,A4,D9,1,4,45,2020,2020,7.611347717403621,6157.0,8.725508,2.0,1.0986123,0.032483354,31.0,3.465736,0.503492,0.03918918918918919,False,False,6157.0,5,1,1,1,4,3,45,Ventral Inner Mesoderm
338,01_04_51__s1,Control_st11.25,xenopus,3121,12959,27249,A1,A4,E3,1,4,51,3121,3121,8.046229101075378,12959.0,9.469623,2.0,1.0986123,0.01543329,61.0,4.1271343,0.47071534,0.06842105263157894,False,False,12959.0,5,1,1,1,4,3,40,Dorsal Inner Mesoderm
361,01_04_74__s1,Control_st11.25,xenopus,2315,7029,14936,A1,A4,G2,1,4,74,2315,2315,7.7475968386928855,7029.0,8.857942,0.0,0.0,0.0,37.0,3.637586,0.5263907,0.07233273056057865,False,False,7029.0,6,0,0,0,8,11,23,Neural Plate Border
371,01_04_84__s1,Control_st11.25,xenopus,2756,9663,21054,A1,A4,G12,1,4,84,2756,2756,7.921898411023797,9663.0,9.176163,4.0,1.609438,0.041395012,51.0,3.9512436,0.52778643,0.06473594548551959,False,False,9663.0,6,0,0,4,6,6,35,Inner Neuroectoderm
377,01_04_90__s1,Control_st11.25,xenopus,1301,2128,4449,A1,A4,H6,1,4,90,1301,1301,7.171656822768514,2128.0,7.663408,0.0,0.0,0.0,28.0,3.3672957,1.3157895,0.02731591448931116,False,False,2128.0,9,1,1,1,9,10,17,Dorsal Inner Mesoderm
381,01_04_94__s1,Control_st11.25,xenopus,1978,5217,11196,A1,A4,H10,1,4,94,1978,1978,7.590346945602565,5217.0,8.55987,0.0,0.0,0.0,23.0,3.1780539,0.4408664,0.05797101449275363,False,False,5217.0,16,2,2,2,15,16,24,Outer Epidermis
384,01_05_01__s1,Control_st11.25,xenopus,2141,6095,13060,A1,A5,A1,1,5,1,2141,2141,7.669495251007694,6095.0,8.715388,1.0,0.6931472,0.016406892,23.0,3.1780539,0.3773585,0.05797101449275363,False,False,6095.0,10,0,0,3,10,12,64,Inner Neuroectoderm
387,01_05_04__s1,Control_st11.25,xenopus,2642,8696,18347,A1,A5,A4,1,5,4,2642,2642,7.879669914604289,8696.0,9.070733,0.0,0.0,0.0,34.0,3.5553482,0.39098436,0.023176936122102886,False,False,8696.0,1,2,2,2,1,1,7,Outer Epidermis
392,01_05_09__s1,Control_st11.25,xenopus,1630,3393,7168,A1,A5,A9,1,5,9,1630,1630,7.396948602621014,3393.0,8.129765,0.0,0.0,0.0,15.0,2.7725887,0.44208664,0.0403280929596719,False,False,3393.0,10,0,0,3,10,12,79,Inner Neuroectoderm
418,01_05_35__s1,Control_st11.25,xenopus,2020,5434,11069,A1,A5,C11,1,5,35,2020,2020,7.611347717403621,5434.0,8.600615,0.0,0.0,0.0,26.0,3.295837,0.4784689,0.054858934169279006,False,False,5434.0,1,2,2,2,1,1,0,Outer Epidermis
438,01_05_55__s1,Control_st11.25,xenopus,2605,9207,19297,A1,A5,E7,1,5,55,2605,2605,7.8655717576847906,9207.0,9.127828,0.0,0.0,0.0,46.0,3.8501475,0.49961987,0.06297229219143576,False,False,9207.0,15,1,1,1,0,5,19,Dorsal Inner Mesoderm
443,01_05_60__s1,Control_st11.25,xenopus,1979,5663,11817,A1,A5,E12,1,5,60,1979,1979,7.590852123688581,5663.0,8.641886,1.0,0.6931472,0.017658485,33.0,3.5263605,0.58273,0.03918918918918919,False,False,5663.0,5,1,1,1,4,3,45,Ventral Inner Mesoderm
454,01_05_71__s1,Control_st11.25,xenopus,2446,7337,15127,A1,A5,F11,1,5,71,2446,2446,7.802618063442671,7337.0,8.900822,1.0,0.6931472,0.013629549,34.0,3.5553482,0.46340466,0.0403280929596719,False,False,7337.0,16,2,2,2,15,16,24,Outer Neuroectoderm
466,01_05_83__s1,Control_st11.25,xenopus,2037,5684,12123,A1,A5,G11,1,5,83,2037,2037,7.61972421378267,5684.0,8.645586,0.0,0.0,0.0,29.0,3.4011974,0.5102041,0.034883720930232565,False,False,5684.0,10,0,0,3,10,12,34,Inner Neuroectoderm
469,01_05_86__s1,Control_st11.25,xenopus,2134,6714,14271,A1,A5,H2,1,5,86,2134,2134,7.666221925662725,6714.0,8.812099,0.0,0.0,0.0,30.0,3.4339871,0.44682753,0.04149377593360996,False,False,6714.0,1,2,2,2,1,1,54,Outer Epidermis
485,01_06_06__s1,Control_st11.25,xenopus,1723,4021,8894,A1,A6,A6,1,6,6,1723,1723,7.452402451223638,4021.0,8.299535,0.0,0.0,0.0,27.0,3.3322046,0.67147475,0.038076152304609215,False,False,4021.0,0,0,0,3,3,2,6,Neural Plate Border
498,01_06_19__s1,Control_st11.25,xenopus,3324,15251,32473,A1,A6,B7,1,6,19,3324,3324,8.109224953089955,15251.0,9.632466,0.0,0.0,0.0,56.0,4.0430512,0.36718905,0.04910714285714286,False,False,15251.0,1,2,2,2,1,1,1,Outer Epidermis
503,01_06_24__s1,Control_st11.25,xenopus,1983,5308,11134,A1,A6,B12,1,6,24,1983,1983,7.592870287844818,5308.0,8.577159,0.0,0.0,0.0,23.0,3.1780539,0.4333082,0.13054830287206268,False,False,5308.0,0,0,0,3,3,2,6,Neural Plate Border
