region_annotation,cell_count,percent
Inner Neuroectoderm,1205,18.49294045426642
Inner Epidermis,1122,17.21915285451197
Dorsal Inner Mesoderm,955,14.656230816451812
Outer Epidermis,698,10.712093308778392
Neural Plate Border,571,8.76304481276857
Outer Neuroectoderm,450,6.906077348066298
Unidentified Cluster,450,6.906077348066298
Ventral Inner Mesoderm,356,5.463474524248005
Ventral Inner Endoderm,143,2.194597912829957
Dorsal Inner Endoderm,128,1.9643953345610805
Cement Gland Primordium,101,1.5500306936771024
Ciliated Epidermal Progenitor,91,1.3965623081645182
Ventral Outer Mesoderm,82,1.258440761203192
Dorsal Outer Endoderm,64,0.9821976672805403
Dorsal Outer Mesoderm,61,0.9361571516267649
Ventral Outer Endoderm,39,0.5985267034990792
