leiden_1.2,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,0,78,0,5,0,0,421,60,43,0,0,0,0,2,0,0
1,83,0,0,0,4,3,0,0,0,379,50,0,0,0,2,12
10,0,0,4,264,0,0,0,0,0,0,0,0,4,9,1,0
11,0,0,0,9,0,0,20,158,94,0,0,0,0,0,0,0
12,0,0,0,7,0,0,17,164,89,0,0,0,0,1,0,0
13,0,0,0,0,0,0,5,0,0,0,0,249,0,0,0,0
14,0,0,3,61,0,0,4,1,0,0,0,172,5,1,0,0
15,0,0,0,0,0,0,3,162,77,0,0,0,0,0,0,0
16,1,0,0,0,0,13,0,0,0,96,70,0,0,0,7,49
17,9,0,0,0,1,2,0,0,0,23,196,0,0,0,1,4
18,0,0,23,15,56,42,0,0,0,1,19,0,20,0,26,11
19,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
2,0,6,0,2,0,0,399,45,68,0,0,0,0,0,0,0
3,0,0,98,155,0,0,0,0,0,0,0,0,112,63,0,0
4,0,0,0,3,0,0,44,246,117,0,0,0,0,16,0,0
5,0,0,0,349,0,0,0,0,0,0,0,0,1,8,0,0
6,0,0,0,1,0,0,0,290,64,0,0,0,0,0,0,0
7,0,0,0,83,0,0,0,0,0,0,0,0,1,256,0,0
8,8,0,0,0,3,1,0,0,0,199,111,0,0,0,2,6
9,0,7,0,1,0,0,209,79,19,0,4,0,0,0,0,0
