leiden_10.0,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsal Inner Endoderm,Dorsal Inner Mesoderm,Dorsal Outer Endoderm,Dorsal Outer Mesoderm,Inner Epidermis,Inner Neuroectoderm,Neural Plate Border,Outer Epidermis,Outer Neuroectoderm,Unidentified Cluster,Ventral Inner Endoderm,Ventral Inner Mesoderm,Ventral Outer Endoderm,Ventral Outer Mesoderm
0,11.643835616438356,0.0,0.0,0.0,0.0,0.684931506849315,0.0,0.0,0.0,79.45205479452055,5.47945205479452,0.0,0.0,0.0,0.0,2.73972602739726
1,16.083916083916083,0.0,0.0,0.0,1.3986013986013985,1.3986013986013985,0.0,0.0,0.0,74.12587412587412,4.195804195804196,0.0,0.0,0.0,0.0,2.797202797202797
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.90825688073394,0.9174311926605505,0.0,0.0,0.0,0.0,9.174311926605505,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,98.13084112149532,0.9345794392523363,0.9345794392523363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,2.803738317757009,0.0,0.0,0.0,0.0,93.45794392523365,2.803738317757009,0.9345794392523363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,34.285714285714285,58.0952380952381,7.6190476190476195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,82.6923076923077,4.807692307692308,8.653846153846153,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,1.9417475728155338,53.398058252427184,44.66019417475729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,97.05882352941177,0.0,0.0,0.0,2.941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.05882352941177,2.941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,95.04950495049505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9900990099009901,3.9603960396039604,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,3.731343283582089,64.92537313432835,31.343283582089555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,49.0,4.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,25.0,10.0
21,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99999999999999,10.0,0.0,0.0,0.0,1.0,1.0
22,0.0,6.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,8.080808080808081,0.0,0.0,18.181818181818183,45.45454545454545,28.28282828282828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.0309278350515463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.51546391752577,26.804123711340207,0.0,0.0,0.0,3.0927835051546393,18.556701030927837
25,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,67.36842105263158,27.368421052631582,4.2105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,37.234042553191486,61.702127659574465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0638297872340425,0.0,0.0,0.0
