group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate 1,nectin2,28.512617,3.7703073,8.171948891883114e-179,1.7832009676978142e-174,0.9913606911447084,0.5290102389078498
Neural Plate 1,lmo7,27.558311,4.477758,3.518485606796187e-167,3.83884372129498e-163,0.9654427645788337,0.5460750853242321
Neural Plate 1,spint2,27.540827,4.2033963,5.699338971001093e-167,4.145509189540494e-163,0.9654427645788337,0.30489192263936293
Neural Plate 1,epas1,27.348722,4.2127175,1.1183711048216411e-164,6.100993969578258e-161,0.9697624190064795,0.48236632536973834
Neural Plate 1,ocln,26.89109,3.0362017,2.7917889246472546e-159,1.2183925224945548e-155,0.9762419006479481,0.5551763367463026
Neural Plate 1,epcam,26.842342,2.9916995,1.0362683132908074e-158,3.768735144053118e-155,0.9848812095032398,0.6291240045506257
Neural Plate 1,itpr3,26.639494,2.9791887,2.3687616534415223e-156,7.384106862821065e-153,0.9935205183585313,0.89419795221843
Neural Plate 1,kiaa1671,26.020058,2.7655852,2.936806406727693e-149,8.010506575150624e-146,0.9848812095032398,0.7929465301478953
Neural Plate 1,dcbld1,25.610731,3.5785978,1.158509570633541e-144,2.8088708156438333e-141,0.9460043196544277,0.35381114903299204
Neural Plate 1,LOC100494753,25.0985,4.841476,5.1644888868811665e-139,1.1269431200063394e-135,0.8855291576673866,0.19226393629124006
Neural Plate 1,kalrn,24.832752,4.816661,3.9717722088130624e-136,7.878912851682712e-133,0.8639308855291576,0.13879408418657566
Neural Plate 1,tjp3,24.251175,4.000973,6.426099238653083e-130,1.1685325957220741e-126,0.8747300215982722,0.21046643913538113
Neural Plate 1,calcrl,23.907415,4.70098,2.564489874460216e-126,4.3045948885074136e-123,0.8466522678185745,0.20819112627986347
Neural Plate 1,arhgap45,23.64263,3.3422759,1.4054467551804173e-123,2.1905895460565632e-120,0.9244060475161987,0.46188850967007966
Neural Plate 1,osbpl1a,23.439486,4.3985944,1.6921854570388672e-121,2.4616785905363417e-118,0.8358531317494601,0.19112627986348124
Neural Plate 1,myo5c,23.347397,4.0690975,1.4646875329523312e-120,1.9975591660345515e-117,0.8552915766738661,0.2707622298065984
Neural Plate 1,astl2d.1,23.301537,4.670698,4.2769789351004585e-120,5.489879843695712e-117,0.8488120950323974,0.2605233219567691
Neural Plate 1,phldb3,23.138622,5.3855896,1.8926584450710971e-118,2.294427773883134e-115,0.7948164146868251,0.08304891922639362
Neural Plate 1,slc22a23,22.803679,2.861752,4.215643818988545e-115,4.599478188707452e-112,0.9092872570194385,0.44141069397042093
Neural Plate 1,sema3f,22.103191,3.4725215,2.94495030232994e-108,3.0600838355781727e-105,0.8552915766738661,0.2832764505119454
Neural Plate 1,adap1l,21.96954,3.7037215,5.633569117028839e-107,5.587732350122105e-104,0.8272138228941684,0.23321956769055746
Neural Plate 1,arhgap6,21.967318,2.0690827,5.916060129815528e-107,5.612797743161072e-104,0.9935205183585313,0.919226393629124
Neural Plate 1,cgn,21.01042,3.1856656,5.266733470699785e-98,4.7885579610058334e-95,0.8207343412526998,0.29579067121729236
Neural Plate 1,kifc3,20.982933,4.1048465,9.391718168388984e-98,8.19746728609664e-95,0.7602591792656588,0.15130830489192265
Neural Plate 1,wdfy3,20.831799,2.452697,2.2293484074291637e-96,1.8710235230196837e-93,0.8920086393088553,0.6393629124004551
Neural Plate 2,col18a1,23.025047,2.3388095,2.616405359541961e-117,3.0048727026613227e-114,0.981797497155859,0.838012958963283
Neural Plate 2,nhs,20.33305,2.0383847,6.559708259979884e-92,5.1121212121793226e-89,0.9533560864618885,0.7926565874730022
Neural Plate 2,gse1,19.97936,1.3052082,8.328284356445388e-89,5.8623062239353165e-86,0.9920364050056882,0.9568034557235421
Neural Plate 2,srrm4,18.649216,2.473449,1.281417379863693e-77,6.990452161501411e-75,0.8782707622298066,0.5572354211663066
Neural Plate 2,tox3,18.643734,2.0185173,1.4197577660171842e-77,7.556227856649018e-75,0.8964732650739476,0.591792656587473
Neural Plate 2,srgap1,16.962347,1.4226125,1.5598943887626003e-64,5.490073460836887e-62,0.931740614334471,0.7710583153347732
Neural Plate 2,notch1,16.946491,1.2603818,2.0428584090413762e-64,7.075748149792361e-62,0.9943117178612059,0.9092872570194385
Neural Plate 2,ssbp4,16.933304,2.2390244,2.556184199680772e-64,8.715389909567833e-62,0.8589306029579067,0.5982721382289417
