group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,myo5c,13.365664,5.2952304,9.597538842623792e-41,1.3246941505253785e-36,1.0,0.23782234957020057
Neural Plate Border 1,krt70,13.348158,4.5743623,1.21414614410465e-40,1.3246941505253785e-36,1.0,0.5816618911174785
Neural Plate Border 1,adap1l,13.267632,5.3525157,3.5667863527671776e-40,2.5943615001244192e-36,1.0,0.24785100286532952
Neural Plate Border 1,esrp1,13.18127,3.8046024,1.1248230889115551e-39,6.136191155784761e-36,1.0,0.669054441260745
Neural Plate Border 1,eppk1,13.094324,3.6691012,3.5481980073212623e-39,1.208248537486432e-35,1.0,0.7306590257879656
Neural Plate Border 1,epas1,13.091698,4.838357,3.673036330789033e-39,1.208248537486432e-35,0.9848484848484849,0.5200573065902578
Neural Plate Border 1,tjp3,13.087613,5.220136,3.875963412494855e-39,1.208248537486432e-35,0.9848484848484849,0.17335243553008595
Neural Plate Border 1,epcam,13.075359,3.3217173,4.5540707394885566e-39,1.2421797200797476e-35,1.0,0.6862464183381088
Neural Plate Border 1,itpr3,13.031887,3.6887376,8.059003508315007e-39,1.953950172832686e-35,1.0,0.9054441260744985
Neural Plate Border 1,kiaa1671,12.891257,3.2756288,5.041542311500617e-38,1.000104497993227e-34,1.0,0.7994269340974212
Neural Plate Border 1,trim29,12.818899,4.4710035,1.285113853265761e-37,2.336872449342681e-34,0.9848484848484849,0.3667621776504298
Neural Plate Border 1,LOC101734097,12.789723,4.707602,1.8713898836731805e-37,3.1411998962794206e-34,0.9696969696969697,0.32521489971346706
Neural Plate Border 1,krt7,12.756754,4.13853,2.858667286523348e-37,4.158598590615065e-34,0.9848484848484849,0.39111747851002865
Neural Plate Border 1,spint2,12.738956,4.0733094,3.5916635797380206e-37,4.89835568584146e-34,0.9848484848484849,0.3237822349570201
Neural Plate Border 1,sytl2,12.622835,4.1287117,1.5802831673590476e-36,2.0284328820553987e-33,0.9696969696969697,0.5229226361031518
Neural Plate Border 1,tmem45b,12.591325,5.293146,2.35685276497335e-36,2.8571602324713037e-33,0.9545454545454546,0.166189111747851
Neural Plate Border 1,slc22a4,12.580529,5.207887,2.702135447446968e-36,3.1033314525652786e-33,0.9545454545454546,0.16189111747851004
Neural Plate Border 1,nectin2,12.5749855,3.4777603,2.8985263847045955e-36,3.162437212031949e-33,1.0,0.5071633237822349
Neural Plate Border 1,acp3,12.538807,4.9017844,4.578352889516252e-36,4.757344685815912e-33,0.9545454545454546,0.18911174785100288
Neural Plate Border 1,krt8.1,12.469951,3.7618654,1.0889292801625159e-35,1.08006935556483e-32,0.9696969696969697,0.6518624641833811
Neural Plate Border 1,dsg2,12.337491,3.6521451,5.690177665701619e-35,5.398494210577176e-32,0.9696969696969697,0.3982808022922636
Neural Plate Border 1,grhl1,12.323778,3.9193063,6.7458511949017e-35,5.888048756958e-32,0.9696969696969697,0.5157593123209169
Neural Plate Border 1,gfod1,12.307147,5.601772,8.29019094769062e-35,6.957702179598346e-32,0.9393939393939394,0.14183381088825214
Neural Plate Border 1,golga4,12.296352,3.5686777,9.475784465495199e-35,7.658188623021138e-32,0.9848484848484849,0.4140401146131805
Neural Plate Border 1,ocln,12.197736,2.938299,3.1958592770337966e-34,2.4906016172912312e-31,0.9848484848484849,0.6117478510028653
Neural Plate Border 2,col18a1,12.998042,3.4742103,1.2551567920560712e-38,2.738877635945553e-35,0.995702005730659,0.8181818181818182
Neural Plate Border 2,gse1,12.769591,2.3398488,2.4242289941855578e-37,3.7785072058659326e-34,1.0,0.9242424242424242
Neural Plate Border 2,notch1,12.32582,2.3961341,6.577091579738544e-35,5.888048756958e-32,0.994269340974212,0.8333333333333334
Neural Plate Border 2,fat1,12.193651,1.7592676,3.360205381431322e-34,2.528380745800444e-31,0.998567335243553,0.9696969696969697
Neural Plate Border 2,ctnnd2,12.108165,3.288489,9.5609268062851e-34,6.7299672206434574e-31,0.9928366762177651,0.7575757575757576
Neural Plate Border 2,tox3,11.790727,3.4077964,4.357643211931037e-32,2.3192227445743212e-29,0.9484240687679083,0.45454545454545453
