,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_0.2,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.3,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
07_01_06__s1,0,5470.0,2210,07_01_06__s1,MO,xenopus,2210,5470,8829,A7,A1,A6,7,1,6,2210,2210,7.701200180857446,5470.0,8.607216694063826,0.0,0.0,0.0,24.0,3.2188758248682006,0.43875685557586835,0.05667276051188299,False,False,5470.0,3,5,2,2,1,6,5,8,Outer Neural Plate Border
07_01_24__s1,0,3255.0,1825,07_01_24__s1,MO,xenopus,1825,3255,5088,A7,A1,B12,7,1,24,1825,1825,7.509883061154913,3255.0,8.08825472712243,2.0,1.0986122886681098,0.06144393241167435,37.0,3.6375861597263857,1.1367127496159755,0.048863636363636366,False,False,3255.0,1,4,0,0,3,0,12,47,Inner Epidermis
07_01_43__s1,0,2284.0,1445,07_01_43__s1,MO,xenopus,1445,2284,3734,A7,A1,D7,7,1,43,1445,1445,7.27655640271871,2284.0,7.734121303328305,3.0,1.3862943611198906,0.13134851138353765,38.0,3.6635616461296463,1.6637478108581436,0.059116365899191045,False,False,2284.0,2,1,1,1,2,3,1,31,Pharyngeal Mesoderm
07_01_51__s1,0,6239.0,2450,07_01_51__s1,MO,xenopus,2450,6239,10168,A7,A1,E3,7,1,51,2450,2450,7.804251383528112,6239.0,8.738735461363474,0.0,0.0,0.0,35.0,3.58351893845611,0.5609873377143774,0.07792207792207792,False,False,6239.0,3,5,2,2,6,6,5,43,Outer Neural Plate
07_01_53__s1,0,5969.0,2346,07_01_53__s1,MO,xenopus,2346,5969,9595,A7,A1,E5,7,1,53,2346,2346,7.760893195851024,5969.0,8.694502206386648,0.0,0.0,0.0,31.0,3.4657359027997265,0.5193499748701624,0.07152682255845944,False,False,5969.0,4,2,3,3,5,2,2,16,Hindgut Primordium
07_01_68__s1,0,6301.0,2440,07_01_68__s1,MO,xenopus,2440,6301,10244,A7,A1,F8,7,1,68,2440,2440,7.80016307039296,6301.0,8.74862232231722,0.0,0.0,0.0,48.0,3.8918202981106265,0.7617838438343121,0.07152682255845944,False,False,6301.0,2,15,1,1,2,9,1,6,Pharyngeal Mesoderm
07_01_92__s1,0,4972.0,2144,07_01_92__s1,MO,xenopus,2144,4972,7989,A7,A1,H8,7,1,92,2144,2144,7.6708948313621175,4972.0,8.511778558714738,0.0,0.0,0.0,26.0,3.295836866004329,0.5229283990345938,0.09076558800315708,False,False,4972.0,1,3,0,0,0,4,3,44,Inner Neural Plate Border
07_02_07__s1,0,5109.0,1945,07_02_07__s1,MO,xenopus,1945,5109,8277,A7,A2,A7,7,2,7,1945,1945,7.57353126274595,5109.0,8.53895468319775,0.0,0.0,0.0,18.0,2.9444389791664403,0.35231943628890194,0.07792207792207792,False,False,5109.0,4,2,3,3,5,2,2,65,Foregut Primordium
07_02_18__s1,0,5988.0,2490,07_02_18__s1,MO,xenopus,2490,5988,9919,A7,A2,B6,7,2,18,2490,2490,7.820439515262181,5988.0,8.697679732264463,0.0,0.0,0.0,48.0,3.8918202981106265,0.8016032064128256,0.12536443148688042,False,False,5988.0,5,14,0,0,8,14,13,14,Inner Epidermis
07_02_19__s1,0,4241.0,1975,07_02_19__s1,MO,xenopus,1975,4241,6740,A7,A2,B7,7,2,19,1975,1975,7.588829878307813,4241.0,8.352790135124629,1.0,0.6931471805599453,0.02357934449422306,17.0,2.8903717578961645,0.400848856401792,0.03852080123266564,False,False,4241.0,2,8,1,1,2,10,10,12,Ventral Mesoderm
