region_annotation,cell_count,percent
Outer Epidermis,1146,13.328681088625261
Inner Epidermis,1123,13.061177017911142
Inner Neural Plate,879,10.223307745987439
Inner Neural Plate Border,698,8.11816701558502
Ventral Mesoderm,658,7.652942544777855
Outer Neural Plate,463,5.384973249592929
Hindgut Primordium,390,4.535938590369853
Pharyngeal Mesoderm,379,4.408001860897883
Foregut Primordium,377,4.384740637357525
Pre-placodal Region,372,4.326587578506629
Anterior Paraxial Mesoderm,359,4.175389625494301
Ciliated Epidermal Progenitor,298,3.465922307513375
Midgut Primordium,213,2.4773203070481506
Notochord,211,2.4540590835077927
Posterior Paraxial Mesoderm,208,2.419167248197255
L/R Organizer Mesoderm,163,1.8957897185391952
Lateral Mesoderm,124,1.4421958595022097
Pronephric Primordium,93,1.0816468946266573
Ventral Blood Island,92,1.0700162828564783
Dorsolateral Mesoderm,77,0.8955571063037916
Cement Gland Primordium,67,0.7792509886020005
Outer Neural Plate Border,66,0.7676203768318214
Hindbrain Primordium,40,0.46522447080716445
Ionocyte,37,0.43033263549662715
Pre-chordal Plate Mesoderm,30,0.34891835310537334
Eye Primordium,22,0.2558734589439404
Goblet Cells,13,0.15119795301232844
