leiden_0.3,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0.0,0.0,1.3728720483250962,0.0,0.8237232289950577,0.0,0.0,2.196595277320154,0.0,4.99725425590335,40.74684239428885,37.56177924217463,0.10982976386600769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.191103789126853,0.0,0.0,0.0
1,0.0,4.400606980273141,0.0,0.0,0.0,0.0,0.9863429438543246,0.0,0.0,0.0,0.0,0.0,0.0,0.15174506828528073,0.0,0.0,0.0,85.66009104704098,4.24886191198786,4.552352048558421,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0204081632653061,0.0,0.0,0.6279434850863422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511773940345369,0.0,5.180533751962323,0.0,0.0,0.0,28.17896389324961,0.23547880690737832,2.2762951334379906,0.0,6.671899529042387,6.750392464678178,46.546310832025114
3,0.0,0.0,0.8204193254329991,0.0,0.0,0.0,0.0,0.0,0.0,89.33454876937101,0.8204193254329991,1.1850501367365542,2.917046490428441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.922515952597994,0.0,0.0,0.0
4,32.580037664783426,0.0,2.1657250470809792,4.80225988700565,0.6591337099811676,0.0,0.0,0.0,0.0,2.4482109227871938,11.393596986817325,0.09416195856873823,0.0,0.0,8.662900188323917,0.0,0.847457627118644,0.0,0.0,0.0,1.7890772128060264,19.303201506591336,0.0,8.286252354048965,0.6591337099811676,0.4708097928436911,5.83804143126177
5,0.0,0.0,0.0,0.0,0.0,46.248462484624845,0.0,0.0,42.80442804428044,0.0,0.0,0.0,0.0,0.0,0.0,10.947109471094711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,2.0689655172413794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45977011494252873,0.0,0.0,1.839080459770115,0.0,0.0,0.0,3.9080459770114944,90.3448275862069,1.3793103448275863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.29940119760479045,0.0,0.0,12.574850299401197,0.0,0.0,0.0,0.0,45.808383233532936,0.0,37.12574850299401,0.0,0.0,4.191616766467066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,85.15901060070671,0.0,0.0,0.0,0.0,0.0,0.0,9.187279151943462,1.76678445229682,0.0,1.0600706713780919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8268551236749118,0.0,0.0,0.0
9,0.0,0.0,0.0,11.180124223602485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.472049689441,0.0,0.0,0.0,0.6211180124223602,0.0,0.6211180124223602,0.0,0.6211180124223602,0.6211180124223602,1.8633540372670807
