leiden_1.0,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,7,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,869,23,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,196,1,6,0,32,84,410
10,0,0,2,0,1,0,0,9,0,63,202,69,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0
11,2,0,23,18,7,0,0,0,0,26,132,5,0,0,19,0,1,0,0,0,1,67,0,89,1,1,13
12,0,0,4,0,0,0,0,0,0,261,8,76,2,0,0,0,0,0,0,0,0,0,0,49,0,0,0
13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,289,0,0,0,0,0,0,0,0
14,0,0,241,0,0,0,0,0,0,29,5,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0
15,3,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,57,0,0,0,138,2,18,0,8,0,10
16,0,0,2,0,11,0,0,17,0,8,180,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
17,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,1,0,1,0,1,1,3
2,0,0,0,0,0,374,0,0,344,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0
3,0,0,17,0,0,0,0,3,0,4,213,458,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
4,0,0,4,0,0,0,0,0,0,651,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,0,60,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,275,137,66,0,0,0,0,0,0,0
6,319,0,0,10,0,0,0,0,0,0,0,0,0,0,29,0,8,0,0,0,15,125,0,0,7,0,11
7,0,0,5,0,3,0,0,11,0,81,137,68,2,0,0,0,0,0,0,0,0,0,0,134,0,0,0
8,30,0,0,27,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,27,13,5,0,44,6,211
9,0,0,0,0,0,3,0,0,46,0,0,0,0,153,0,203,0,0,14,0,0,0,0,0,0,0,0
