group,cell_count,percent
Epidermis 1,1301,12.058578181481138
Epidermis 2,926,8.58281583093892
Neural Plate Border 2,876,8.119380850866623
Neural Plate 2,720,6.67346371304106
Ventral Mesoderm,697,6.460283622207804
Neural Plate 1,612,5.672444156084901
Anterior Paraxial Mesoderm,566,5.246083974418389
Posterior Paraxial Mesoderm,509,4.717768097135972
Eye Primordium,483,4.476781907498378
Cement Gland Primordium,450,4.170914820650663
Hindgut Primordium,431,3.99480952822319
Foregut Primordium,368,3.4108814533320975
Pharyngeal Mesoderm,314,2.910371674854018
Pre-placodal Region,287,2.6601167856149783
Notochord,277,2.567429789600519
Dorsolateral Mesoderm,268,2.4840114931875057
Lateral Mesoderm,258,2.3913244971730467
Neural Plate Border 1,255,2.3635183983687087
Hindbrain Primordium,228,2.113263509129669
Pronephric Primordium,219,2.0298452127166557
Ciliated Epidermal Progenitor,173,1.6034850310501436
Goblet Cells,140,1.2976179442024285
Midgut Primordium,133,1.232737046992307
Ventral Blood Island,91,0.8434516637315784
L/R Organizer Mesoderm,90,0.8341829641301325
Ionocyte,59,0.5468532764853091
Pre-chordal Plate Mesoderm,58,0.5375845768838632
