group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Anterior Paraxial Mesoderm,actc1,38.311584,5.3605886,0.0,0.0,0.9876325088339223,0.15709674263914702
Anterior Paraxial Mesoderm,ttn,38.188454,4.832837,0.0,0.0,1.0,0.9986305389807297
Anterior Paraxial Mesoderm,ryr1,38.098152,4.8494415,0.0,0.0,0.9946996466431095,0.6837523231928005
Anterior Paraxial Mesoderm,rbfox2,37.778984,2.083349,0.0,0.0,1.0,0.9937396067690502
Anterior Paraxial Mesoderm,LOC105948415,37.282635,4.9177356,3.137631019177179e-304,1.3693249293893046e-300,0.9929328621908127,0.6736770028367407
Anterior Paraxial Mesoderm,prkg1,36.855385,3.9075058,2.3977645360055235e-297,8.72026999002942e-294,0.9964664310954063,0.7549642961948547
Anterior Paraxial Mesoderm,mef2d,36.343014,4.610179,3.3879571760179398e-289,1.0561230505412494e-285,0.9823321554770318,0.4390100753203561
Anterior Paraxial Mesoderm,zcchc24,35.594265,4.0521073,1.718572143637193e-277,4.687620343288398e-274,0.9770318021201413,0.3226058886823829
Anterior Paraxial Mesoderm,cacna2d2,35.53998,3.825704,1.1866673295749077e-276,2.877140866517118e-273,0.9770318021201413,0.6737748214809742
Anterior Paraxial Mesoderm,unc45b,35.352535,4.968335,9.166023158659237e-274,2.0001179134510323e-270,0.9293286219081273,0.1939743715152108
Anterior Paraxial Mesoderm,meis1,34.987846,2.6888433,3.443445555454614e-268,6.830856860506831e-265,0.9946996466431095,0.8834001760735596
Anterior Paraxial Mesoderm,fxr1,34.42976,2.496373,9.046662018392198e-260,1.6450600991944678e-256,0.9946996466431095,0.753007923310183
Anterior Paraxial Mesoderm,efemp2,34.348442,4.5849004,1.4859357642829857e-258,2.494200331724541e-255,0.9257950530035336,0.20757116306367993
Anterior Paraxial Mesoderm,myos,34.11053,4.6765013,5.14878340148939e-255,8.025114471707141e-252,0.9098939929328622,0.18458378166878608
Anterior Paraxial Mesoderm,pygm,34.104473,3.4956882,6.331755482545167e-255,9.21101575897454e-252,0.9858657243816255,0.7446933385503277
Anterior Paraxial Mesoderm,flnc,34.073708,5.0130415,1.808690145257774e-254,2.466714228729368e-251,0.9151943462897526,0.3018683361048616
Anterior Paraxial Mesoderm,rbm24,33.809868,4.50915,1.412407358255713e-250,1.8129494684998772e-247,0.9257950530035336,0.28641299031595424
Anterior Paraxial Mesoderm,myl1,33.590874,5.0905557,2.2799698958689166e-247,2.7639568387642015e-244,0.8869257950530035,0.1723564511395872
Anterior Paraxial Mesoderm,col13a1,33.42487,2.744266,5.968044505007756e-245,6.854142060198645e-242,0.9982332155477032,0.8488701946591021
Anterior Paraxial Mesoderm,fbn3,33.321766,4.2459016,1.868794026567934e-243,2.0389477226869444e-240,0.980565371024735,0.7991783233884379
Anterior Paraxial Mesoderm,fgfr1,33.125793,1.8099447,1.264088174782513e-240,1.3135080029490103e-237,0.9982332155477032,0.9185170693534188
Anterior Paraxial Mesoderm,cdc42bpa,33.05345,2.0579574,1.3877669530296322e-239,1.3764755764572548e-236,0.9982332155477032,0.8291108285239167
Anterior Paraxial Mesoderm,eno1,32.831978,4.6490035,2.059815517120736e-236,1.9542275825691994e-233,0.892226148409894,0.23916658515112982
Anterior Paraxial Mesoderm,atp2a1,32.76473,5.398566,1.8732013137535965e-235,1.7031302444757176e-232,0.8886925795053003,0.2793700479311357
Anterior Paraxial Mesoderm,gapdh,32.575226,4.592817,9.20155378512728e-233,8.031484205810495e-230,0.8763250883392226,0.15064071211973
Cement Gland Primordium,gmds,29.955791,4.004364,3.6984928608184305e-197,7.081878330123509e-193,0.9733333333333334,0.6271399555082696
Cement Gland Primordium,ag1,29.937029,4.8603225,6.490883396841124e-197,7.081878330123509e-193,0.9266666666666666,0.2766224973401683
Cement Gland Primordium,LOC100489839,29.798723,3.7880676,4.058185713673661e-195,2.951789015269098e-191,0.9822222222222222,0.47673856272366766
Cement Gland Primordium,galnt7,29.204847,3.1356368,1.6829320423744924e-187,9.18081502416345e-184,0.98,0.6085694941483702
Cement Gland Primordium,epas1,29.113188,3.2954214,2.4444010959655027e-186,1.0667855263012647e-182,0.9977777777777778,0.7423348486313956
Cement Gland Primordium,myo5c,28.978718,3.2841768,1.2202900591765102e-184,4.4379915635484375e-181,0.9933333333333333,0.4924073894960828
Cement Gland Primordium,map7,27.68032,3.3166099,1.204938710856347e-168,3.756138229942335e-165,0.9444444444444444,0.3467453332043718
Cement Gland Primordium,mfsd6,27.665749,2.8604023,1.8043531784814848e-168,4.921598838455561e-165,0.98,0.5127188316084728
Cement Gland Primordium,ezr,27.567068,3.5667114,2.763072911064838e-167,6.6992237769273136e-164,0.8977777777777778,0.24692910339491247
Cement Gland Primordium,atf6,27.472881,2.386498,3.703267381207534e-166,8.08089975253296e-163,0.9777777777777777,0.6450333687977561
