group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,epas1,23.52844,4.176136,2.0871880646205475e-122,4.5544530758084965e-118,0.9921568627450981,0.5730593607305936
Neural Plate Border 1,itpr3,23.11933,3.1429791,2.9594569380324224e-118,3.2289154922402744e-114,1.0,0.9292237442922374
Neural Plate Border 1,eppk1,22.615675,3.1598268,3.038467541647454e-113,2.2100800075429693e-109,1.0,0.8013698630136986
Neural Plate Border 1,myo5c,22.479414,4.5757685,6.600504321307353e-112,3.600740119881194e-108,0.9607843137254902,0.2808219178082192
Neural Plate Border 1,krt70,22.032724,3.595831,1.3989862596374954e-107,6.105455834309958e-104,0.9686274509803922,0.6438356164383562
Neural Plate Border 1,esrp1,21.635704,3.533626,8.287342414510668e-104,3.0139683137839546e-100,0.9647058823529412,0.6232876712328768
Neural Plate Border 1,kiaa1671,21.312315,3.0309153,8.727086115889731e-101,2.720482087640426e-97,0.9921568627450981,0.632420091324201
Neural Plate Border 1,LOC101734097,21.285194,3.9745152,1.5570136625068458e-100,4.2469493911952355e-97,0.9450980392156862,0.2979452054794521
Neural Plate Border 1,cdh1,21.159063,3.1942928,2.2770537882634854e-99,5.520843412633057e-96,0.9725490196078431,0.5502283105022832
Neural Plate Border 1,kiaa1324l,21.029009,3.9197297,3.5600445775188365e-98,7.768373272603853e-95,0.9568627450980393,0.3755707762557078
Neural Plate Border 1,trim29,20.947428,3.8031416,1.9804601677931354e-97,3.928692847401274e-94,0.9333333333333333,0.408675799086758
Neural Plate Border 1,grhl1,20.939259,3.7865698,2.3509199049744026e-97,4.2749519372038695e-94,0.9372549019607843,0.3949771689497717
Neural Plate Border 1,capn13,20.897758,4.028404,5.611869977765797e-97,9.419739598832882e-94,0.9254901960784314,0.2545662100456621
Neural Plate Border 1,lmo7,20.498125,3.3691204,2.2375347448284284e-93,3.4875175476357954e-90,0.9803921568627451,0.5776255707762558
Neural Plate Border 1,iqgap1,20.341276,3.1808062,5.546763366452833e-92,8.06906156129115e-89,0.9411764705882353,0.408675799086758
Neural Plate Border 1,krt8.1,20.2207,3.101218,6.436327187918346e-91,8.777943472972889e-88,0.9686274509803922,0.66324200913242
Neural Plate Border 1,trpm4,20.156546,3.2825055,2.357817963029832e-90,3.0264673983102327e-87,0.9647058823529412,0.4121004566210046
Neural Plate Border 1,LOC100489839,20.056772,3.8734026,1.761526105291173e-89,2.135458952419927e-86,0.9098039215686274,0.3344748858447489
Neural Plate Border 1,dsg2,19.81573,3.1800547,2.178330366366308e-87,2.5017551012883793e-84,0.9254901960784314,0.3949771689497717
Neural Plate Border 1,golga4,19.785774,2.9862447,3.9478304253542796e-87,4.307280385582787e-84,0.9411764705882353,0.4988584474885845
Neural Plate Border 1,smap1,19.762247,3.5031226,6.293867645290786e-87,6.539927899423346e-84,0.9098039215686274,0.3264840182648402
Neural Plate Border 1,arhgef25,19.707132,2.8425243,1.872803822405668e-86,1.8575660094870037e-83,0.9647058823529412,0.5376712328767124
Neural Plate Border 1,plxna2,19.648642,2.3037193,5.9380133893594306e-86,5.633625659530963e-83,0.984313725490196,0.863013698630137
Neural Plate Border 1,tjp3,19.601915,3.911597,1.4891396724772934e-85,1.3539381997136257e-82,0.8901960784313725,0.19863013698630136
Neural Plate Border 1,sytl2,19.585358,3.1280224,2.0615002607131335e-85,1.7993598875608514e-82,0.9490196078431372,0.5856164383561644
Neural Plate Border 1,astl2d.1,19.436789,4.461166,3.770374824947598e-84,3.164359579045443e-81,0.8901960784313725,0.2465753424657534
Neural Plate Border 1,znf185,19.38418,3.5521643,1.0496504395637964e-83,8.483119348785778e-81,0.9098039215686274,0.317351598173516
Neural Plate Border 1,rrbp1,19.29127,3.2941,6.3592603465044064e-83,4.955907857895452e-80,0.9215686274509803,0.3515981735159817
Neural Plate Border 1,epcam,19.288982,2.6966348,6.64691931899263e-83,5.001462981370282e-80,0.9921568627450981,0.639269406392694
Neural Plate Border 1,mfsd6,19.262297,3.3177633,1.1133045464043325e-82,8.097806169029647e-80,0.9137254901960784,0.3424657534246575
Neural Plate Border 1,dop1b,19.206419,4.474739,3.2706192122281854e-82,2.3021994138719753e-79,0.8431372549019608,0.13812785388127855
Neural Plate Border 1,LOC100496572,19.151196,3.049407,9.45896013119232e-82,6.450124031960864e-79,0.9568627450980393,0.4452054794520548
Neural Plate Border 1,calr,19.138561,2.035209,1.2055407293699268e-81,7.971546744115508e-79,0.996078431372549,0.8470319634703196
Neural Plate Border 1,slc22a4,19.110678,3.9019656,2.0578246432013926e-81,1.3206997511558114e-78,0.8627450980392157,0.18493150684931506
Neural Plate Border 1,adap1l,19.073862,4.2040706,4.163935961755763e-81,2.596035617756357e-78,0.8862745098039215,0.228310502283105
Neural Plate Border 1,osbpl2,19.065474,3.7462099,4.8882543604372015e-81,2.9629610666416714e-78,0.8627450980392157,0.2191780821917808
Neural Plate Border 1,krt7,18.708319,3.118236,4.2352190182224e-78,2.497749032341378e-75,0.9254901960784314,0.4668949771689498
Neural Plate Border 1,ocln,18.654295,2.738373,1.1653112203849938e-77,6.691646352637092e-75,0.9450980392156862,0.4178082191780822
Neural Plate Border 1,gfpt1,18.633598,2.8664508,1.7158892267757387e-77,9.600620209608562e-75,0.9411764705882353,0.6415525114155252
Neural Plate Border 1,macf1,18.60027,1.5144498,3.197009856568327e-77,1.7440488020044366e-74,0.996078431372549,0.9463470319634704
Neural Plate Border 1,sec24d,18.588505,4.2028084,3.9811921161128425e-77,2.1188681259926426e-74,0.8313725490196079,0.13356164383561644
Neural Plate Border 1,camsap3,18.531212,3.812152,1.1565183991374232e-76,6.008663806566122e-74,0.8588235294117647,0.18835616438356165
Neural Plate Border 1,rreb1,18.526201,1.7513033,1.2693682764205864e-76,6.441601199947353e-74,0.9803921568627451,0.8573059360730594
Neural Plate Border 1,angpt4.2,18.401814,4.0179744,1.2704210747233069e-75,6.300422334440291e-73,0.8470588235294118,0.1598173515981735
Neural Plate Border 1,rbbp8,18.36467,2.5428216,2.5197364025581624e-75,1.2218481786715925e-72,0.9647058823529412,0.5159817351598174
Neural Plate Border 1,gna14,18.346916,2.6157942,3.493868661620465e-75,1.6573849579395689e-72,0.9333333333333333,0.4965753424657534
Neural Plate Border 1,upk3b,18.330578,3.6520987,4.71863252516747e-75,2.19075064535488e-72,0.8431372549019608,0.21575342465753425
Neural Plate Border 1,krt12.3,18.321756,3.2523391,5.549364710193462e-75,2.522764319606907e-72,0.9019607843137255,0.3881278538812785
Neural Plate Border 1,tanc2,18.305199,2.003622,7.521627341525436e-75,3.349580208559725e-72,0.9803921568627451,0.79337899543379
Neural Plate Border 1,sptlc3,18.281237,3.0471172,1.1674907083191682e-74,5.095162949246513e-72,0.9137254901960784,0.478310502283105
Neural Plate Border 1,jup,18.185493,2.954655,6.724664767940127e-74,2.8772335274749313e-71,0.8862745098039215,0.3321917808219178
Neural Plate Border 1,snd1,18.156195,1.2959325,1.1470638233299285e-73,4.813476863246609e-71,1.0,0.9840182648401826
Neural Plate Border 1,gbf1,18.142252,3.5606542,1.478466845570348e-73,6.087099063620861e-71,0.8392156862745098,0.23972602739726026
Neural Plate Border 1,atf6,18.118834,2.5497797,2.263414322372516e-73,9.146289616387161e-71,0.9294117647058824,0.5057077625570776
Neural Plate Border 1,ap3b1,18.106308,3.3566236,2.841807455346744e-73,1.1073407229128803e-70,0.8549019607843137,0.319634703196347
Neural Plate Border 1,pfkp,18.103912,3.8555079,2.9682032020160356e-73,1.1363010889682792e-70,0.8352941176470589,0.2328767123287671
Neural Plate Border 1,gnb3,18.057947,3.5970647,6.831706064859236e-73,2.5702527248498862e-70,0.8313725490196079,0.2009132420091324
Neural Plate Border 1,dcbld1,17.975492,3.027206,3.031588418135042e-72,1.1212252690190635e-69,0.9137254901960784,0.3538812785388128
Neural Plate Border 1,clint1,17.906654,3.1442144,1.0463985911184983e-71,3.8055772761327917e-69,0.8588235294117647,0.3641552511415525
Neural Plate Border 1,gfod1,17.825726,4.368909,4.462676491793639e-71,1.5706461891520807e-68,0.796078431372549,0.13470319634703196
Neural Plate Border 1,xbp1,17.81712,3.5319011,5.204787497337948e-71,1.8027566345938312e-68,0.8509803921568627,0.2625570776255708
Neural Plate Border 1,gad1.2,17.809278,4.0899215,5.9877411502976685e-71,2.0415390568850847e-68,0.8,0.13926940639269406
Neural Plate Border 1,atp8b1,17.784334,2.9981003,9.34662134632918e-71,3.137732683049985e-68,0.8901960784313725,0.2853881278538813
Neural Plate Border 1,pkp3,17.781284,3.5997343,9.869208088159746e-71,3.2267824654911035e-68,0.8274509803921568,0.2180365296803653
Neural Plate Border 1,rbbp8nl,17.781067,4.2316813,9.90763141872068e-71,3.2267824654911035e-68,0.796078431372549,0.0867579908675799
Neural Plate Border 1,spint2,17.758411,2.97141,1.4837521976779727e-70,4.761317162578094e-68,0.9058823529411765,0.341324200913242
Neural Plate Border 1,cep170b,17.625853,2.9784873,1.5599715874830759e-69,4.9333536247055354e-67,0.8588235294117647,0.3356164383561644
Neural Plate Border 1,tm9sf2,17.545141,3.0681727,6.479048117849284e-69,2.019704413994132e-66,0.8588235294117647,0.3219178082191781
Neural Plate Border 1,plcb4,17.526299,2.7372134,9.025694919234036e-69,2.7739392793324773e-66,0.8941176470588236,0.545662100456621
Neural Plate Border 1,akap9,17.519764,2.5189316,1.0124564422624674e-68,3.0684461148068475e-66,0.9137254901960784,0.5296803652968036
