group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,epas1,23.52844,4.176136,2.0871880646205475e-122,4.5544530758084965e-118,0.9921568627450981,0.5730593607305936
Neural Plate Border 1,itpr3,23.11933,3.1429791,2.9594569380324224e-118,3.2289154922402744e-114,1.0,0.9292237442922374
Neural Plate Border 1,eppk1,22.615675,3.1598268,3.038467541647454e-113,2.2100800075429693e-109,1.0,0.8013698630136986
Neural Plate Border 1,myo5c,22.479414,4.5757685,6.600504321307353e-112,3.600740119881194e-108,0.9607843137254902,0.2808219178082192
Neural Plate Border 1,krt70,22.032724,3.595831,1.3989862596374954e-107,6.105455834309958e-104,0.9686274509803922,0.6438356164383562
Neural Plate Border 1,esrp1,21.635704,3.533626,8.287342414510668e-104,3.0139683137839546e-100,0.9647058823529412,0.6232876712328768
Neural Plate Border 1,kiaa1671,21.312315,3.0309153,8.727086115889731e-101,2.720482087640426e-97,0.9921568627450981,0.632420091324201
Neural Plate Border 1,LOC101734097,21.285194,3.9745152,1.5570136625068458e-100,4.2469493911952355e-97,0.9450980392156862,0.2979452054794521
Neural Plate Border 1,cdh1,21.159063,3.1942928,2.2770537882634854e-99,5.520843412633057e-96,0.9725490196078431,0.5502283105022832
Neural Plate Border 1,kiaa1324l,21.029009,3.9197297,3.5600445775188365e-98,7.768373272603853e-95,0.9568627450980393,0.3755707762557078
Neural Plate Border 1,trim29,20.947428,3.8031416,1.9804601677931354e-97,3.928692847401274e-94,0.9333333333333333,0.408675799086758
Neural Plate Border 1,grhl1,20.939259,3.7865698,2.3509199049744026e-97,4.2749519372038695e-94,0.9372549019607843,0.3949771689497717
Neural Plate Border 1,capn13,20.897758,4.028404,5.611869977765797e-97,9.419739598832882e-94,0.9254901960784314,0.2545662100456621
Neural Plate Border 1,lmo7,20.498125,3.3691204,2.2375347448284284e-93,3.4875175476357954e-90,0.9803921568627451,0.5776255707762558
Neural Plate Border 1,iqgap1,20.341276,3.1808062,5.546763366452833e-92,8.06906156129115e-89,0.9411764705882353,0.408675799086758
Neural Plate Border 1,krt8.1,20.2207,3.101218,6.436327187918346e-91,8.777943472972889e-88,0.9686274509803922,0.66324200913242
Neural Plate Border 1,trpm4,20.156546,3.2825055,2.357817963029832e-90,3.0264673983102327e-87,0.9647058823529412,0.4121004566210046
Neural Plate Border 1,LOC100489839,20.056772,3.8734026,1.761526105291173e-89,2.135458952419927e-86,0.9098039215686274,0.3344748858447489
Neural Plate Border 1,dsg2,19.81573,3.1800547,2.178330366366308e-87,2.5017551012883793e-84,0.9254901960784314,0.3949771689497717
Neural Plate Border 1,golga4,19.785774,2.9862447,3.9478304253542796e-87,4.307280385582787e-84,0.9411764705882353,0.4988584474885845
Neural Plate Border 1,smap1,19.762247,3.5031226,6.293867645290786e-87,6.539927899423346e-84,0.9098039215686274,0.3264840182648402
Neural Plate Border 1,arhgef25,19.707132,2.8425243,1.872803822405668e-86,1.8575660094870037e-83,0.9647058823529412,0.5376712328767124
Neural Plate Border 1,plxna2,19.648642,2.3037193,5.9380133893594306e-86,5.633625659530963e-83,0.984313725490196,0.863013698630137
Neural Plate Border 1,tjp3,19.601915,3.911597,1.4891396724772934e-85,1.3539381997136257e-82,0.8901960784313725,0.19863013698630136
Neural Plate Border 1,sytl2,19.585358,3.1280224,2.0615002607131335e-85,1.7993598875608514e-82,0.9490196078431372,0.5856164383561644
Neural Plate Border 2,col18a1,18.108051,2.200034,2.7532672881763286e-73,1.0923462817326485e-70,0.9965753424657534,0.8823529411764706
Neural Plate Border 2,c3,17.838577,3.117463,3.5460686539711103e-71,1.2685043294803869e-68,0.9383561643835616,0.7137254901960784
Neural Plate Border 2,tox3,16.589897,2.0362496,8.246170384561622e-62,1.9993298217946577e-59,0.9429223744292238,0.6901960784313725
Neural Plate Border 2,rasal2,16.439259,1.3659346,1.0013751850115245e-60,2.229694684911885e-58,0.9771689497716894,0.9294117647058824
Neural Plate Border 2,chd7,16.312908,0.78586406,7.989609777584565e-60,1.7434127495667278e-57,1.0,1.0
Neural Plate Border 2,gse1,16.30877,1.466742,8.549774464588735e-60,1.84717454051278e-57,0.9885844748858448,0.9372549019607843
Neural Plate Border 2,fat1,15.791608,1.0288117,3.554019048852996e-56,6.924308005805467e-54,0.997716894977169,0.9803921568627451
Neural Plate Border 2,znf423,15.737474,1.7325721,8.371948200606828e-56,1.6024936989951017e-53,0.9851598173515982,0.8901960784313725
Neural Plate Border 2,tenm4,15.292528,1.4143357,8.57555935203967e-53,1.4176309137943762e-50,0.9874429223744292,0.9450980392156862
Neural Plate Border 2,rasgef1b,15.246563,1.8669893,1.7353020446580954e-52,2.8048908086284667e-50,0.9383561643835616,0.788235294117647
Neural Plate Border 2,ctnnd2,15.125333,1.7716029,1.1024175780790277e-51,1.6940742233283424e-49,0.9931506849315068,0.9450980392156862
Neural Plate Border 2,nr6a1,14.835927,0.79842085,8.580982676178878e-50,1.2158806686811643e-47,1.0,1.0
Neural Plate Border 2,cdh2,14.452086,1.393568,2.4320508805572555e-47,3.19697483521927e-45,0.9828767123287672,0.9803921568627451
Neural Plate Border 2,gli3,14.3861885,1.4497571,6.318304947800016e-47,8.206650730115724e-45,0.973744292237443,0.9294117647058824
Neural Plate Border 2,cdon,14.213984,1.8883451,7.503333901306602e-46,9.250296557085388e-44,0.8595890410958904,0.5764705882352941
Neural Plate Border 2,ptprs,13.682553,1.390488,1.2907946787458933e-42,1.4297680550717835e-40,0.9531963470319634,0.8549019607843137
Neural Plate Border 2,sh3pxd2a,13.44652,1.8759253,3.227083881149326e-41,3.3216130835169545e-39,0.8618721461187214,0.6980392156862745
Neural Plate Border 2,kdm1a,13.382256,1.255763,7.678152979953019e-41,7.75671185997939e-39,0.9463470319634704,0.8196078431372549
Neural Plate Border 2,dock7,13.082067,1.3354228,4.169476790404975e-39,3.87158098057136e-37,0.886986301369863,0.7764705882352941
Neural Plate Border 2,cyyr1,13.030111,1.7260997,8.24876545626079e-39,7.468726598384511e-37,0.8835616438356164,0.6313725490196078
Neural Plate Border 2,itga5,13.003316,1.567177,1.1715099320176247e-38,1.0476851732195324e-36,0.8915525114155252,0.7254901960784313
Neural Plate Border 2,pxdn,12.987086,1.7028903,1.4483599293908596e-38,1.2847423585056077e-36,0.8584474885844748,0.6313725490196078
Neural Plate Border 2,ptmap12,12.985997,1.1589218,1.4691146348460634e-38,1.2978765363148158e-36,0.9703196347031964,0.8666666666666667
Neural Plate Border 2,parp1,12.882086,1.1707028,5.677984949945211e-38,4.916639269553748e-36,0.9634703196347032,0.8509803921568627
Neural Plate Border 2,sh3pxd2b,12.567084,1.6495129,3.20322478231988e-36,2.6277281193609815e-34,0.83675799086758,0.5843137254901961
