,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_well,bc2_well,bc3_well,bc1_wind,bc2_wind,bc3_wind,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_0.2,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.3,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
01_01_03__s1,0,6892.0,2605,01_01_03__s1,Control,xenopus,2605,6892,10973,A1,A1,A3,1,1,3,2605,2605,7.8655717576847906,6892.0,8.838261682885651,3.0,1.3862943611198906,0.04352872896111434,30.0,3.4339872044851463,0.4352872896111433,0.06523115896136794,False,False,6892.0,2,8,0,0,0,9,9,20,Inner Neural Plate Border
01_01_07__s1,0,2916.0,1546,01_01_07__s1,Control,xenopus,1546,2916,4483,A1,A1,A7,1,1,7,1546,1546,7.344072850573066,2916.0,7.978310969867722,0.0,0.0,0.0,15.0,2.772588722239781,0.51440329218107,0.18181818181818188,False,False,2916.0,2,3,0,0,0,5,3,6,Inner Neural Plate
01_01_14__s1,0,6987.0,2412,01_01_14__s1,Control,xenopus,2412,6987,11182,A1,A1,B2,1,1,14,2412,2412,7.7886260656250315,6987.0,8.851949671253948,1.0,0.6931471805599453,0.01431229426077,20.0,3.044522437723423,0.2862458852154,0.1037344398340249,False,False,6987.0,4,1,0,0,4,1,0,91,Inner Epidermis
01_01_25__s1,0,1878.0,1287,01_01_25__s1,Control,xenopus,1287,1878,2817,A1,A1,C1,1,1,25,1287,1287,7.160845906664299,1878.0,7.538494999413465,0.0,0.0,0.0,26.0,3.295836866004329,1.384451544195953,0.0693717277486911,False,False,1878.0,1,13,1,1,2,4,12,68,Dorsolateral Mesoderm
01_01_29__s1,0,3908.0,1932,01_01_29__s1,Control,xenopus,1932,3908,6126,A1,A1,C5,1,1,29,1932,1932,7.566828479208331,3908.0,8.271036865792954,4.0,1.6094379124341003,0.1023541453428864,14.0,2.70805020110221,0.35823950870010235,0.05,False,False,3908.0,4,1,0,0,4,1,0,17,Inner Epidermis
01_01_49__s1,0,9681.0,2571,01_01_49__s1,Control,xenopus,2571,9681,15325,A1,A1,E1,1,1,49,2571,2571,7.85243908535751,9681.0,9.178023770499639,0.0,0.0,0.0,9.0,2.302585092994046,0.09296560272699102,0.057703747769185,False,False,9681.0,5,5,3,3,5,6,5,35,Hindgut Primordium
01_01_53__s1,0,11212.0,2614,01_01_53__s1,Control,xenopus,2614,11212,17958,A1,A1,E5,1,1,53,2614,2614,7.869019376499023,11212.0,9.324829098460881,0.0,0.0,0.0,15.0,2.772588722239781,0.1337852301105958,0.0891238670694864,False,False,11212.0,5,18,3,3,5,14,17,88,Hindgut Primordium
01_01_54__s1,0,8490.0,2984,01_01_54__s1,Control,xenopus,2984,8490,13361,A1,A1,E6,1,1,54,2984,2984,8.001355025826703,8490.0,9.046762057999363,2.0,1.0986122886681098,0.023557126030624265,41.0,3.7376696182833684,0.48292108362779745,0.08724832214765099,False,False,8490.0,4,1,0,0,4,1,0,64,Pre-placodal Region
01_01_69__s1,0,8351.0,2775,01_01_69__s1,Control,xenopus,2775,8351,13363,A1,A1,F9,1,1,69,2775,2775,7.9287663216266955,8351.0,9.03025631012242,0.0,0.0,0.0,45.0,3.828641396489095,0.5388576218416956,0.06390977443609022,False,False,8351.0,2,8,0,0,0,9,9,59,Inner Neural Plate Border
01_01_77__s1,0,8362.0,2414,01_01_77__s1,Control,xenopus,2414,8362,13522,A1,A1,G5,1,1,77,2414,2414,7.789454566086673,8362.0,9.031572493381526,1.0,0.6931471805599453,0.01195886151638364,48.0,3.8918202981106265,0.5740253527864148,0.05427251732101618,False,False,8362.0,1,6,1,1,2,7,10,41,Posterior Paraxial Mesoderm
01_01_84__s1,0,5101.0,1972,01_01_84__s1,Control,xenopus,1972,5101,8161,A1,A1,G12,1,1,84,1972,1972,7.587310506022615,5101.0,8.537387898701757,0.0,0.0,0.0,17.0,2.8903717578961645,0.33326798666928054,0.0479825517993457,False,False,5101.0,3,0,2,2,1,0,2,3,Outer Epidermis
