leiden_0.3,Anterior Paraxial Mesoderm,Cement Gland Primordium,Ciliated Epidermal Progenitor,Dorsolateral Mesoderm,Eye Primordium,Foregut Primordium,Goblet Cells,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Notochord,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,0,479,0,0,226,0,111,697,850,3,0,0,0,0,0,0,0,0,0,0,116,0,0,1
1,0,431,9,0,0,0,136,0,0,0,0,0,0,10,0,0,0,1294,123,227,0,0,0,0,0,0,0
2,544,0,0,263,0,0,0,0,0,1,1,0,1,0,185,0,0,0,0,0,19,504,7,0,15,10,83
3,22,0,0,4,0,2,0,0,0,0,0,0,0,0,66,0,0,0,0,0,295,3,51,0,204,80,586
4,0,0,0,1,1,0,0,2,0,808,9,26,50,0,7,0,0,0,0,0,0,0,0,156,0,1,26
5,0,0,0,0,0,366,0,0,431,0,0,0,1,1,0,133,0,0,0,0,0,0,0,0,0,0,0
6,0,15,5,0,3,0,4,0,0,5,2,0,0,3,0,0,0,0,477,28,0,1,0,4,0,0,1
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,277,1,0,0,0,1,0,11,0,0,0
9,0,4,159,0,0,0,0,0,0,0,0,0,1,76,0,0,0,6,12,0,0,0,0,0,0,0,0
