group,cell_count,percent
Neural Plate 2,980,9.574052364204768
Epidermis 1,952,9.300508010941774
Ventral Mesoderm,854,8.343102774521297
Posterior Paraxial Mesoderm,709,6.92653380226651
Eye Primordium,555,5.422039859320047
Epidermis 2,472,4.611176240719031
Goblet Cell,450,4.396248534583822
Anterior Paraxial Mesoderm,382,3.7319265338022665
Neural Crest,371,3.624462680734662
Notochord,358,3.4974599452911295
Neural Plate Border 1,344,3.360687768659633
Lateral Mesoderm,335,3.2727627979679563
Neural Plate 1,335,3.2727627979679563
Early Neuron,278,2.7159046502540054
Cement Gland Primordium,231,2.2567409144196953
Pharyngeal Mesoderm,231,2.2567409144196953
Neural Plate Border 2,219,2.1395076201641268
Anterior Neural Ridge,214,2.090660414224306
Posterior Pre-placodal Region,202,1.9734271199687379
Hindbrain Primordium,201,1.9636576787807738
L/R Organizer Mesoderm,190,1.8561938257131692
Notoplate,187,1.8268855021492771
Anterior Pre-placodal Region,185,1.807346619773349
Midgut Primordium,172,1.6803438843298164
Ciliated Epidermal Progenitor,161,1.5728800312622118
Hindgut Primordium,141,1.3774912075029309
Ventral Blood Island,130,1.2700273544353262
Pre-placodal Region,130,1.2700273544353262
Pronephric Primordium,101,0.9867135599843689
Foregut Primordium,86,0.8401719421649082
Ionocyte,80,0.7815552950371238
