group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate 2,ncam1,40.70146,2.4252856,0.0,0.0,0.9806122448979592,0.5479688850475367
Neural Plate 2,nbea,39.013306,2.820588,0.0,0.0,0.9377551020408164,0.39207000864304237
Neural Plate 2,srrm4,38.99852,2.9126775,0.0,0.0,0.936734693877551,0.3641961970613656
Neural Plate 2,dcc,38.267815,2.903732,0.0,0.0,0.9040816326530612,0.3943388072601556
Neural Plate 2,cadm1,38.085407,1.1577786,0.0,0.0,1.0,0.8764044943820225
Neural Plate 2,ctnnd2,37.408268,2.45091,2.867460290537522e-306,1.3969788625450386e-302,0.976530612244898,0.5291702679343129
Neural Plate 2,pcdh19,37.108906,2.659389,2.018434273840754e-301,8.428693179805583e-298,0.9193877551020408,0.4140017286084702
Neural Plate 2,bmpr1b,36.7642,2.4290376,6.896753383094118e-296,2.519987476765302e-292,0.936734693877551,0.4606741573033708
Neural Plate 2,tmeff1,36.135418,2.03107,6.305013604858091e-286,2.0477983631511872e-282,0.9346938775510204,0.5407303370786517
Neural Plate 2,elavl3,35.693172,2.6972675,5.0452709043118976e-279,1.4747831380394107e-275,0.889795918367347,0.35944252376836644
Neural Plate 2,lrp2,34.919537,2.862693,3.7567646690051084e-267,9.983089821789848e-264,0.8806122448979592,0.327895419187554
Neural Plate 2,zeb2,34.79497,1.5308993,2.897648677337673e-265,7.058430707271459e-262,0.9775510204081632,0.7495678478824547
Neural Plate 2,nova1,34.242836,3.3189507,5.575529433349692e-257,1.2536792374326527e-253,0.7826530612244897,0.1888504753673293
Neural Plate 2,col18a1,34.08482,1.6670895,1.2381240712973973e-254,2.4127736485396147e-251,0.9816326530612245,0.6757778738115817
Neural Plate 2,dpysl3,33.745445,3.0870802,1.2469105225700736e-249,2.278027592827864e-246,0.7979591836734694,0.21197061365600692
Neural Plate 2,myt1,33.50573,1.7149559,3.9771752347428407e-246,6.838635840398116e-243,0.9551020408163265,0.6474719101123596
