group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Anterior Neural Ridge,fat2,19.590477,2.7151377,1.8643244492434786e-85,5.449606797583613e-81,0.9719626168224299,0.40181600478946317
Anterior Neural Ridge,rasgef1a,18.19117,3.4916663,6.063233292756014e-74,8.861718619027554e-70,0.8317757009345794,0.22261025743364599
Anterior Neural Ridge,sp7,18.128374,2.7870123,1.903018354101436e-73,1.8542376502913025e-69,0.9112149532710281,0.35242466573538217
Anterior Neural Ridge,clmn,17.809126,2.4960656,6.003919153317742e-71,4.3875140192657735e-67,0.9112149532710281,0.39882259030133704
Anterior Neural Ridge,ptprd,16.99507,1.8649311,8.932508225410089e-65,5.222122958739246e-61,0.9813084112149533,0.605068848533227
Anterior Neural Ridge,cpn1,16.663406,3.5642564,2.4184543197031774e-62,1.178230636987393e-58,0.7710280373831776,0.13799640790261425
Anterior Neural Ridge,six3,16.547087,3.7017806,1.6804006480585798e-61,7.017113049057193e-58,0.7570093457943925,0.1323089203751746
Anterior Neural Ridge,cfh,16.20017,1.3485082,5.028768989337565e-59,1.8374493290915797e-55,1.0,0.8118140091798044
Anterior Neural Ridge,sp8,16.17658,2.9933445,7.377911944510423e-59,2.396263822777602e-55,0.7850467289719626,0.20704450209539013
Anterior Neural Ridge,tet2,15.969633,2.2622344,2.080063385549729e-57,6.080233282300413e-54,0.8598130841121495,0.39343444422271
Anterior Neural Ridge,pax6,15.666341,3.0385964,2.5695154981986188e-55,6.828137047985802e-52,0.822429906542056,0.2415685491917781
Anterior Neural Ridge,gldc,15.351278,2.2600753,3.4727555235759e-53,8.459343059137261e-50,0.9205607476635514,0.40161644382358813
Anterior Neural Ridge,myt1,15.126691,1.5646638,1.0799077956155559e-51,2.4282142133567935e-48,0.9813084112149533,0.6704250648573139
Anterior Neural Ridge,zbtb16,15.073796,2.3212657,2.4086468279798777e-51,5.029082530619986e-48,0.8644859813084113,0.40041907802833765
Anterior Neural Ridge,rbms2,14.958072,1.455364,1.37965258599797e-50,2.6885749827537776e-47,0.9485981308411215,0.6345040909998004
Anterior Neural Ridge,tox,14.815778,1.8711404,1.1584080866899442e-49,2.1163391738771102e-46,0.9813084112149533,0.57982438635003
Anterior Neural Ridge,emx1l,14.580004,4.449016,3.76497038730147e-48,6.11410274395607e-45,0.6261682242990654,0.06066653362602275
