group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Epidermis 1,arhgef25,28.759514,4.438318,6.887642002979702e-182,1.0066633169454983e-177,0.9590336134453782,0.2097457627118644
Epidermis 1,gna14,28.722345,3.1353052,2.0070435300798236e-181,1.9555963142587774e-177,0.9747899159663865,0.4978813559322034
Epidermis 1,slc22a4,27.949152,5.2082434,6.750692645258527e-172,2.8189928101936e-168,0.9285714285714286,0.13135593220338984
Epidermis 1,tjp3,27.901237,4.417122,2.5773897549004493e-171,9.41745999068688e-168,0.9390756302521008,0.17584745762711865
Epidermis 1,pcdh1,27.881182,3.819057,4.512556185269151e-171,1.4656281094622504e-167,0.9464285714285714,0.2478813559322034
Epidermis 1,gnb3,27.634562,3.1783373,4.278540352502821e-168,1.2506601304400995e-164,0.9537815126050421,0.4216101694915254
Epidermis 1,osbpl2,27.540583,4.0427256,5.737924377604037e-167,1.524775158924942e-163,0.9275210084033614,0.24364406779661016
Epidermis 1,LOC100489839,27.40437,3.7916298,2.432612350112363e-165,5.469822431241114e-162,0.9275210084033614,0.2944915254237288
Epidermis 1,plcb4,27.358168,1.8936986,8.634256366331423e-165,1.8027710560302414e-161,0.9747899159663865,0.7478813559322034
Epidermis 1,macf1,27.337496,1.8783932,1.5207830046782743e-164,2.963600533983376e-161,0.9758403361344538,0.75
Epidermis 1,upk2,27.229347,4.5191097,2.9190458495091186e-163,5.019213483941237e-160,0.9159663865546218,0.163135593220339
Epidermis 1,upk3b,27.213467,4.5894585,4.5001726132822036e-163,7.308030314380671e-160,0.9128151260504201,0.15254237288135594
Epidermis 1,tmem45b,27.14406,4.8962455,2.9756635351358567e-162,4.57798004187138e-159,0.9044117647058824,0.13135593220338984
Epidermis 1,tm9sf2,27.13434,3.2760124,3.875244025090255e-162,5.663862904870662e-159,0.9348739495798319,0.3474576271186441
Epidermis 1,rbbp8,27.122568,3.6853678,5.335744528118209e-162,7.427102300067778e-159,0.930672268907563,0.2648305084745763
Epidermis 1,galnt7,27.083279,3.074164,1.549832992091716e-161,2.059234917810589e-158,0.9401260504201681,0.4279661016949153
Epidermis 1,itpr3,27.07041,1.1401973,2.196915681057738e-161,2.7920887944782062e-158,0.9852941176470589,0.9555084745762712
Epidermis 1,angpt4.2,27.061102,4.467679,2.827385146211962e-161,3.4436373003717444e-158,0.917016806722689,0.15677966101694915
Epidermis 1,muc4,27.04399,2.9108324,4.494747297307493e-161,5.2554383299038136e-158,0.9432773109243697,0.5254237288135594
Epidermis 1,upk1a,27.01962,3.9463325,8.692930576883108e-161,9.773194372802697e-158,0.9275210084033614,0.2288135593220339
Epidermis 1,galnt6.3,26.94638,5.0404825,6.289384041347599e-160,6.809073515282654e-157,0.8949579831932774,0.11440677966101695
Epidermis 1,msln,26.77711,4.5351453,5.971194353267547e-158,5.630451036785925e-155,0.9023109243697479,0.23516949152542374
