group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate 1,lmo7,26.116707,4.571031,2.3555234493610544e-150,6.885430594827299e-146,0.9701492537313433,0.23877551020408164
Neural Plate 1,nectin2,24.75744,3.1876411,2.578016897176566e-135,3.7679005960684105e-131,0.9641791044776119,0.3683673469387755
Neural Plate 1,nectin3,23.403507,4.8833437,3.936229428057211e-121,3.835330747051344e-117,0.8805970149253731,0.12857142857142856
Neural Plate 1,itpr3,22.969528,2.7647104,9.402557166222067e-117,6.871153713145931e-113,0.9402985074626866,0.463265306122449
Neural Plate 1,phldb3,22.912699,6.699064,3.471614923898717e-116,2.0295755168096677e-112,0.844776119402985,0.030612244897959183
Neural Plate 1,epas1,22.443556,4.7525673,1.4793407550868169e-111,7.207101601990457e-108,0.8567164179104477,0.11326530612244898
Neural Plate 1,mst1,21.769255,3.1133566,4.539489369269686e-105,1.8956259107588884e-101,0.8805970149253731,0.31020408163265306
Neural Plate 1,epcam,21.569098,2.168242,3.504593070405107e-103,1.2805345005126461e-99,0.9432835820895522,0.5326530612244897
Neural Plate 1,crb2,21.535017,3.600169,7.316840522968984e-103,2.376428503632293e-99,0.8597014925373134,0.2173469387755102
Neural Plate 1,spint2,21.496101,3.3606913,1.6932789198645781e-102,4.949623610656149e-99,0.8776119402985074,0.23877551020408164
Neural Plate 1,angpt4.2,21.045874,3.8977728,2.494750991685024e-98,6.629460567085904e-95,0.8477611940298507,0.1520408163265306
Neural Plate 1,plpp3,20.825052,3.9616876,2.566487079943027e-96,6.006372486924507e-93,0.8238805970149253,0.1704081632653061
Neural Plate 1,arhgap45,20.823135,2.8041956,2.671234043652923e-96,6.006372486924507e-93,0.8805970149253731,0.3673469387755102
Neural Plate 1,usp54,20.621979,1.5619061,1.7428367108052028e-94,3.638918563824777e-91,0.9223880597014925,0.713265306122449
Neural Plate 1,ocln,20.53165,3.0637004,1.1229716894799499e-93,2.1883723636792276e-90,0.8626865671641791,0.26326530612244897
Neural Plate 1,dtna,20.411322,3.7418113,1.326473066522171e-92,2.4233833879693488e-89,0.817910447761194,0.18571428571428572
Neural Plate 1,cnn2,20.154001,2.3393438,2.482151757566633e-90,4.030876556968346e-87,0.8985074626865671,0.44081632653061226
Neural Plate 1,dcbld1,20.049173,2.647371,2.0522612139732203e-89,3.1573498708237474e-86,0.8835820895522388,0.35714285714285715
Neural Plate 1,kalrn,19.959679,4.0912137,1.2350559256163188e-88,1.8050959880845307e-85,0.7850746268656716,0.12040816326530612
Neural Plate 1,astl2d,18.570498,4.5213737,5.56853895779783e-77,7.398816467063108e-74,0.7223880597014926,0.08673469387755102
Neural Plate 1,ackr3,18.344507,5.180343,3.652180830638412e-75,4.641604254799627e-72,0.6985074626865672,0.04387755102040816
Neural Plate 1,calcrl,18.174099,4.9460325,8.277595518293249e-74,1.0081766441467914e-70,0.6955223880597015,0.06938775510204082
Neural Plate 1,arhgef25,18.10577,2.681801,2.8697144209297506e-73,3.3553848895279015e-70,0.8059701492537313,0.3040816326530612
Neural Plate 1,arhgap6,17.788952,1.6169647,8.607448830092075e-71,9.318679138978571e-68,0.9402985074626866,0.6459183673469387
Neural Plate 1,osbpl1a,17.331474,5.9600177,2.7225647820051345e-67,2.8422603979568604e-64,0.6477611940298508,0.027551020408163266
Neural Plate 1,cldn6,17.1499,3.8896732,6.296021115854145e-66,6.134633107917751e-63,0.6865671641791045,0.09897959183673469
Neural Plate 1,plcb4,16.955326,2.1252112,1.7578137960416716e-64,1.6575050023256164e-61,0.8208955223880597,0.4377551020408163
Neural Plate 1,cdh3,16.329191,1.1004136,6.119024705359341e-60,5.110434604638826e-57,0.9522388059701492,0.7683673469387755
Neural Plate 1,rassf7,16.207947,3.5347712,4.431248314426788e-59,3.598050541083595e-56,0.6686567164179105,0.12142857142857143
Neural Plate 1,LOC595077,16.057037,4.841097,5.103474205415443e-58,3.925780381539442e-55,0.6179104477611941,0.04285714285714286
Neural Plate 1,usp53,15.632226,3.633586,4.391907984209389e-55,3.2094965571606163e-52,0.6417910447761194,0.10408163265306122
Neural Plate 1,depdc1b,15.591811,2.509268,8.275390499174744e-55,5.899949748326267e-52,0.7283582089552239,0.24591836734693878
Neural Plate 1,KIAA1671,15.575562,1.8176714,1.0671138498500835e-54,7.426858320230426e-52,0.844776119402985,0.4928571428571429
Neural Plate 1,gprc5cl2,15.374072,5.8311276,2.443198021634546e-53,1.5870471415644315e-50,0.5761194029850746,0.018367346938775512
Neural Plate 1,upk3b,15.241745,3.985161,1.8681359071757564e-52,1.1871191457098813e-49,0.6119402985074627,0.07346938775510205
