group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate 1,lmo7,26.116707,4.571031,2.3555234493610544e-150,6.885430594827299e-146,0.9701492537313433,0.23877551020408164
Neural Plate 1,nectin2,24.75744,3.1876411,2.578016897176566e-135,3.7679005960684105e-131,0.9641791044776119,0.3683673469387755
Neural Plate 1,nectin3,23.403507,4.8833437,3.936229428057211e-121,3.835330747051344e-117,0.8805970149253731,0.12857142857142856
Neural Plate 1,itpr3,22.969528,2.7647104,9.402557166222067e-117,6.871153713145931e-113,0.9402985074626866,0.463265306122449
Neural Plate 1,phldb3,22.912699,6.699064,3.471614923898717e-116,2.0295755168096677e-112,0.844776119402985,0.030612244897959183
Neural Plate 1,epas1,22.443556,4.7525673,1.4793407550868169e-111,7.207101601990457e-108,0.8567164179104477,0.11326530612244898
Neural Plate 1,mst1,21.769255,3.1133566,4.539489369269686e-105,1.8956259107588884e-101,0.8805970149253731,0.31020408163265306
Neural Plate 1,epcam,21.569098,2.168242,3.504593070405107e-103,1.2805345005126461e-99,0.9432835820895522,0.5326530612244897
Neural Plate 1,crb2,21.535017,3.600169,7.316840522968984e-103,2.376428503632293e-99,0.8597014925373134,0.2173469387755102
Neural Plate 1,spint2,21.496101,3.3606913,1.6932789198645781e-102,4.949623610656149e-99,0.8776119402985074,0.23877551020408164
Neural Plate 1,angpt4.2,21.045874,3.8977728,2.494750991685024e-98,6.629460567085904e-95,0.8477611940298507,0.1520408163265306
Neural Plate 1,plpp3,20.825052,3.9616876,2.566487079943027e-96,6.006372486924507e-93,0.8238805970149253,0.1704081632653061
Neural Plate 1,arhgap45,20.823135,2.8041956,2.671234043652923e-96,6.006372486924507e-93,0.8805970149253731,0.3673469387755102
Neural Plate 1,usp54,20.621979,1.5619061,1.7428367108052028e-94,3.638918563824777e-91,0.9223880597014925,0.713265306122449
Neural Plate 1,ocln,20.53165,3.0637004,1.1229716894799499e-93,2.1883723636792276e-90,0.8626865671641791,0.26326530612244897
Neural Plate 1,dtna,20.411322,3.7418113,1.326473066522171e-92,2.4233833879693488e-89,0.817910447761194,0.18571428571428572
Neural Plate 1,cnn2,20.154001,2.3393438,2.482151757566633e-90,4.030876556968346e-87,0.8985074626865671,0.44081632653061226
Neural Plate 1,dcbld1,20.049173,2.647371,2.0522612139732203e-89,3.1573498708237474e-86,0.8835820895522388,0.35714285714285715
Neural Plate 1,kalrn,19.959679,4.0912137,1.2350559256163188e-88,1.8050959880845307e-85,0.7850746268656716,0.12040816326530612
Neural Plate 1,astl2d,18.570498,4.5213737,5.56853895779783e-77,7.398816467063108e-74,0.7223880597014926,0.08673469387755102
Neural Plate 1,ackr3,18.344507,5.180343,3.652180830638412e-75,4.641604254799627e-72,0.6985074626865672,0.04387755102040816
Neural Plate 1,calcrl,18.174099,4.9460325,8.277595518293249e-74,1.0081766441467914e-70,0.6955223880597015,0.06938775510204082
Neural Plate 1,arhgef25,18.10577,2.681801,2.8697144209297506e-73,3.3553848895279015e-70,0.8059701492537313,0.3040816326530612
Neural Plate 1,arhgap6,17.788952,1.6169647,8.607448830092075e-71,9.318679138978571e-68,0.9402985074626866,0.6459183673469387
Neural Plate 1,osbpl1a,17.331474,5.9600177,2.7225647820051345e-67,2.8422603979568604e-64,0.6477611940298508,0.027551020408163266
Neural Plate 2,col18a1,20.326326,1.3177086,7.522818483417503e-92,1.2935265122869236e-88,0.9816326530612245,0.7791044776119403
Neural Plate 2,srrm4,19.591362,1.977893,1.8321951597400183e-85,2.5503284149695465e-82,0.936734693877551,0.5791044776119403
Neural Plate 2,dcc,17.982609,1.7083645,2.6664399779224694e-72,2.9977964228712194e-69,0.9040816326530612,0.6417910447761194
Neural Plate 2,tmeff1,17.299477,1.5405371,4.7468345434655296e-67,4.784645535863479e-64,0.9346938775510204,0.6507462686567164
Neural Plate 2,ptprs,16.448519,0.9804905,8.594480583820038e-61,7.850789435801361e-58,0.9683673469387755,0.808955223880597
Neural Plate 2,tox3,16.434853,1.6993164,1.0768629709665013e-60,9.538721667976304e-58,0.8877551020408163,0.5432835820895522
Neural Plate 2,celf3,16.42052,1.7403814,1.3639298326923364e-60,1.1726186158655788e-57,0.8826530612244898,0.5343283582089552
Neural Plate 2,nova1,15.919545,2.234739,4.6373879302425594e-57,3.4757817074082115e-54,0.7826530612244897,0.3492537313432836
Neural Plate 2,dbn1,15.511898,3.299016,2.882300261059279e-54,1.9593609053726463e-51,0.6591836734693878,0.14925373134328357
Neural Plate 2,spns2,15.468901,3.5230925,5.625984550455447e-54,3.737571690780981e-51,0.6357142857142857,0.12238805970149254
