group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,lmo7,18.65973,3.856456,1.0526130457706305e-77,3.0768931940921303e-73,0.9651162790697675,0.3105022831050228
Neural Plate Border 1,angpt4.2,18.175327,4.5940814,8.094372695120294e-74,7.886886941702044e-70,0.9447674418604651,0.1461187214611872
Neural Plate Border 1,epas1,18.039547,4.485177,9.532367441091538e-73,6.966015816763669e-69,0.9418604651162791,0.1780821917808219
Neural Plate Border 1,itpr3,18.010849,2.8602183,1.6015436201601991e-72,9.362944312180556e-69,0.9767441860465116,0.5342465753424658
Neural Plate Border 1,epcam,16.97269,1.9573528,1.307979928659955e-64,6.372260215776523e-61,0.9912790697674418,0.6666666666666666
Neural Plate Border 1,arhgef25,16.917421,4.0571485,3.3476642704365025e-64,1.3979367755589915e-60,0.8924418604651163,0.2009132420091324
Neural Plate Border 1,gna14,16.871452,3.103316,7.297902623940964e-64,2.666562395005229e-60,0.9418604651162791,0.3698630136986301
Neural Plate Border 1,tjp3,16.752943,4.867972,5.389291683575476e-63,1.750382057806608e-59,0.8691860465116279,0.1050228310502283
Neural Plate Border 1,ocln,16.69289,3.129224,1.4764506716635982e-62,4.315812958339864e-59,0.9447674418604651,0.3059360730593607
Neural Plate Border 1,plcb4,16.642405,2.3921049,3.4354096360622944e-62,9.129132642885175e-59,0.9476744186046512,0.5662100456621004
Neural Plate Border 1,calcrl,16.61105,5.5451355,5.7969597473413315e-62,1.368549831940679e-58,0.8517441860465116,0.0684931506849315
Neural Plate Border 1,rbbp8,16.608128,3.7471344,6.08639725470522e-62,1.368549831940679e-58,0.9098837209302325,0.2100456621004566
Neural Plate Border 1,astl2d,16.519112,5.5359735,2.67305568530196e-61,5.581149338361543e-58,0.8517441860465116,0.0684931506849315
Neural Plate Border 1,cldn4,16.415482,4.426469,1.4819908604773278e-60,2.888004989507518e-57,0.8837209302325582,0.1141552511415525
Neural Plate Border 1,elapor2,16.392365,3.7798169,2.1684257590823012e-60,3.961578335233422e-57,0.8982558139534884,0.228310502283105
Neural Plate Border 1,slc22a4,16.359682,4.652174,3.7106381980452945e-60,6.380333245121294e-57,0.8662790697674418,0.1187214611872146
Neural Plate Border 1,KIAA1671,16.085993,2.6305487,3.198837915079612e-58,5.194735060871785e-55,0.9302325581395349,0.4429223744292237
Neural Plate Border 1,KIAA1217,15.990866,3.4216423,1.4796013239832265e-57,2.1625113150676846e-54,0.8808139534883721,0.2876712328767123
Neural Plate Border 1,upk3b,15.822932,4.484262,2.161843854491155e-56,3.0091837005062355e-53,0.8372093023255814,0.1095890410958904
Neural Plate Border 1,nectin2,15.77404,2.4743717,4.694779675284483e-56,6.237868394920033e-53,0.9534883720930233,0.4520547945205479
Neural Plate Border 1,dcbld1,15.6922,3.8832424,1.7102503698548e-55,2.1735795026619855e-52,0.8604651162790697,0.1598173515981735
Neural Plate Border 1,spint2,15.407351,2.9738474,1.4607891949313612e-53,1.7791803732099423e-50,0.8837209302325582,0.2968036529680365
Neural Plate Border 1,upk1b,15.116124,4.226121,1.2678794460922986e-51,1.4254378495663068e-48,0.813953488372093,0.1187214611872146
Neural Plate Border 1,ly6g6c,14.946066,4.201939,1.6522706346815005e-50,1.7249115329419622e-47,0.7965116279069767,0.1187214611872146
Neural Plate Border 1,LOC100489839,14.929856,4.1563067,2.1071825670178358e-50,2.1239673660861503e-47,0.8052325581395349,0.1552511415525114
Neural Plate Border 2,col18a1,18.528465,2.8515778,1.2170766040375225e-76,1.778818310631041e-72,0.9863013698630136,0.48255813953488375
Neural Plate Border 2,ptprd,15.995383,3.2265697,1.3760930415458843e-57,2.1170829314435655e-54,0.8858447488584474,0.2936046511627907
Neural Plate Border 2,tox3,15.393002,2.8115246,1.8237118141812205e-53,2.1323568016132503e-50,0.9269406392694064,0.3372093023255814
Neural Plate Border 2,gse1,15.047835,1.5399791,3.567172131411472e-51,3.8619262434551386e-48,0.9863013698630136,0.7122093023255814
Neural Plate Border 2,ptprs,14.782118,1.7297988,1.9106226866932756e-49,1.861647058491038e-46,0.9497716894977168,0.6424418604651163
Neural Plate Border 2,lamc1,14.169108,2.2744873,1.4229608989022174e-45,1.1554047232169643e-42,0.9360730593607306,0.43023255813953487
Neural Plate Border 2,rasgef1b,13.83829,2.2422595,1.497257691335678e-43,1.042055704176981e-40,0.8949771689497716,0.45058139534883723
Neural Plate Border 2,c3,13.399857,2.6394136,6.058003605934198e-41,3.541630068101251e-38,0.8767123287671232,0.3808139534883721
Neural Plate Border 2,cdon,13.093485,2.0462298,3.5876313788789695e-39,1.8081043592415717e-36,0.908675799086758,0.4883720930232558
Neural Plate Border 2,dock1,12.674714,1.2882708,8.165575031929854e-37,3.6164836933082054e-34,0.908675799086758,0.688953488372093
Neural Plate Border 2,itga5,12.6587715,2.298825,1.000531974682296e-36,4.365156739095253e-34,0.8264840182648402,0.35174418604651164
Neural Plate Border 2,ncl,12.639108,0.62278444,1.2850332596434974e-36,5.523942237152804e-34,1.0,0.9563953488372093
Neural Plate Border 2,znf521,12.582776,1.9368352,2.6263562412586768e-36,1.0967288469747482e-33,0.8858447488584474,0.5058139534883721
Neural Plate Border 2,znf423,12.488181,1.6853676,8.661158794692792e-36,3.5163101767731244e-33,0.9634703196347032,0.6569767441860465
