,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_0.3,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
01_01_05__s1,0,11758.0,3707,01_01_05__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3707,11758,24513,1,1,5,A1,A1,A5,3707,3707,8.218247926685745,4036.0953894545773,8.303280749371055,0.6154476460188276,0.47961209846470243,0.01524859019999517,37.53212902875064,3.6514924135026283,0.9299118431842264,0.025178147268408554,False,False,4036.0953894545773,6,11,0,3,11,9,64,Anterior Pre-placodal Region
01_01_25__s1,0,7327.0,2883,01_01_25__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2883,7327,15222,1,1,25,A1,A1,C1,2883,2883,7.96693349840484,3673.1665411103213,8.209081594391241,0.8606998233508829,0.6209526660745395,0.023432093636862744,28.24834909208315,3.3758231307886932,0.7690462377876356,0.062371487320082235,False,False,3673.1665411103213,7,16,1,5,14,14,59,Posterior Paraxial Mesoderm
01_01_34__s1,0,10280.0,3282,01_01_34__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3282,10280,21550,1,1,34,A1,A1,C10,3282,3282,8.096512917501594,3804.915908207761,8.244311953079102,0.0,0.0,0.0,38.444478473051504,3.6748940748359047,1.010389701126407,0.0923076923076923,False,False,3804.915908207761,5,8,2,4,8,8,39,Outer Neural Plate Border
01_01_36__s1,0,2238.0,1318,01_01_36__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,1318,2238,4650,1,1,36,A1,A1,C12,1318,1318,7.1846291527173145,2622.8981414888435,7.872416331280374,0.0,0.0,0.0,18.68859580665677,2.980039575057552,0.7125170250053442,0.020080321285140566,False,False,2622.8981414888435,8,13,3,4,12,11,4,Hindgut Primordium
01_01_53__s1,0,8358.0,2930,01_01_53__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2930,8358,17423,1,1,53,A1,A1,E5,2930,2930,7.983098940710892,3641.4559734784502,8.200413451099525,0.7868462827711756,0.5804522127634356,0.021608013072297334,48.56089026765123,3.9032020200308204,1.333556978893366,0.015565839293226757,False,False,3641.4559734784502,2,3,1,1,4,4,19,Posterior Paraxial Mesoderm
01_01_55__s1,0,7946.0,2542,01_01_55__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2542,7946,16501,1,1,55,A1,A1,E7,2542,2542,7.841099765422119,3289.808554122652,8.098888574696602,0.8146985914834588,0.5959193886280759,0.024764316162486484,11.201998054328412,2.5015997132745103,0.3405060771785802,0.027263875365141185,False,False,3289.808554122652,1,9,2,2,9,19,52,Outer Epidermis
01_01_67__s1,0,8362.0,2647,01_01_67__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2647,8362,17141,1,1,67,A1,A1,F7,2647,2647,7.881559917056899,3251.8545633229483,8.087288216996477,1.57317135757427,0.9451391294396991,0.04837766655734767,42.20400109055364,3.7659331087981873,1.2978440538689697,0.03764320785597382,False,False,3251.8545633229483,2,3,1,1,4,4,48,Posterior Paraxial Mesoderm
01_01_71__s1,0,4992.0,2217,01_01_71__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2217,4992,10335,1,1,71,A1,A1,F11,2217,2217,7.704361167910313,3330.13212015617,8.11106750121861,3.0469629272962253,1.3979667053121672,0.09149675800710678,36.98112973464351,3.6370894504563247,1.1105003765709225,0.012997562956945574,False,False,3330.13212015617,4,11,0,3,11,9,78,Early Neuron
01_02_05__s1,0,8627.0,3260,01_02_05__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,3260,8627,17870,1,2,5,A1,A2,A5,3260,3260,8.089789175789319,3872.6434163442004,8.261950794388278,1.5394306419128474,0.9319398991763456,0.03975141722100713,38.33083497679856,3.672008816241211,0.9897847763371695,0.1633165829145729,False,False,3872.6434163442004,4,1,0,0,3,22,34,Neural Crest
01_02_06__s1,0,5349.0,2259,01_02_06__s1,X__tropicalis_st12_5_NUCLEI,XENTR-10,2259,5349,11392,1,2,6,A1,A2,A6,2259,2259,7.723120092266331,3276.0290706077785,8.094692519763457,1.054140697782158,0.7198576085674768,0.032177391441358325,41.4953838006198,3.749395453575172,1.2666366172666916,0.026557218734910674,False,False,3276.0290706077785,2,3,1,1,4,4,48,Posterior Paraxial Mesoderm
