region_annotation,cell_count,percent
Inner Neural Plate,980,9.573117124157468
Outer Epidermis,952,9.299599492038682
Ventral Mesoderm,854,8.342287779622936
Posterior Paraxial Mesoderm,709,6.925857184722086
Eye Primordium,555,5.42151020806877
Inner Epidermis,472,4.610725798573801
Goblet Cell,450,4.395819087623327
Anterior Paraxial Mesoderm,382,3.7315619810491354
Neural Crest,371,3.6241086255738986
Notochord,358,3.4971182963758913
Outer Neural Plate Border,344,3.360359480316499
Lateral Mesoderm,335,3.2724430985640325
Outer Neural Plate,335,3.2724430985640325
Early Neuron,278,2.7156393474650775
Cement Gland Primordium,231,2.2565204649799746
Pharyngeal Mesoderm,231,2.2565204649799746
Inner Neural Plate Border,219,2.1392986226433526
Anterior Neural Ridge,214,2.0904561883364265
Posterior Pre-placodal Region,202,1.9732343459998047
Hindbrain Primordium,201,1.9634658591384195
L/R Organizer Mesoderm,190,1.8560125036631825
Notoplate,187,1.826707043079027
Anterior Pre-placodal Region,185,1.8071700693562567
Midgut Primordium,172,1.6801797401582494
Ciliated Epidermal Progenitor,161,1.5727263846830126
Hindgut Primordium,141,1.3773566474553092
Ventral Blood Island,130,1.2699032919800723
Pre-placodal Region,130,1.2699032919800723
Pronephric Primordium,101,0.9866171729999024
Foregut Primordium,86,0.8400898700791247
Ionocyte,80,0.7814789489108137
Unknown,1,0.009768486861385171
