leiden_0.8,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pre-placodal Region,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Mesoderm,Lateral Mesoderm,Midgut Primordium,Neural Crest,Notochord,Notoplate,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pharyngeal Mesoderm,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,0,4,0,0,0,353,0,2,0,0,0,0,3,0,18,0,0,0,611,13,72,0,0,0,0,0,0,0,0
1,1,0,3,0,0,152,2,0,0,197,0,0,492,17,0,0,0,0,5,0,122,0,0,0,0,0,1,18,0,0,0,0
10,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,63,75,0,0,0,0,4,18
11,51,0,161,0,0,61,1,0,0,0,0,1,1,13,1,0,0,0,19,0,0,0,0,0,0,0,128,12,0,0,0,0
12,0,0,0,0,1,0,0,81,0,0,136,0,0,0,0,40,0,119,0,0,0,9,2,14,0,0,0,0,0,0,0,0
13,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,4,0,0,0,0,5,2,0,0,69,0,16,175
14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,263,0,0,0,0,2,10,0,0,1,0,1,1
15,0,0,0,0,152,0,0,1,0,0,0,0,0,0,0,7,0,5,0,0,0,32,8,1,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,1,59,0,1,0,0,0,0,2,0,9,0,0,0,73,7,49,0,0,0,0,0,0,0,0
17,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,115,3,0,0,36,0,13,4,3,0,19,0,0,0,0,1,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,14,0,0,0,0,150,1,0,0,31,0,89,595
3,135,0,3,0,0,10,550,0,0,4,0,1,132,14,0,0,0,0,10,0,15,0,0,0,0,0,0,7,0,0,0,0
4,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,14,0,0,0,0,11,535,0,0,0,0,15,53
5,19,0,15,0,0,0,1,0,0,0,0,468,8,28,78,0,0,0,4,0,3,0,0,0,0,0,67,60,0,0,0,0
6,6,7,0,0,0,23,1,0,0,0,0,1,281,8,0,0,107,0,0,16,46,0,0,0,0,67,2,21,0,0,4,12
7,2,0,3,0,0,32,0,0,0,0,0,0,66,139,0,0,0,0,333,0,0,0,0,0,0,0,4,12,0,0,0,0
8,0,0,0,2,3,0,0,1,7,0,0,1,0,0,0,21,0,12,0,0,0,56,292,141,0,0,0,0,0,0,0,0
9,0,0,0,228,1,0,0,0,31,0,0,0,0,0,0,2,0,9,0,0,0,158,9,64,0,0,0,0,0,0,0,0
