group,cell_count,percent
Goblet Cell,946,10.712263616804439
Neural Plate 2,919,10.406522477635601
Ventral Mesoderm,708,8.017212093760616
Posterior Paraxial Mesoderm,563,6.37526893896501
Eye Primordium,459,5.1975993658702295
Anterior Neural Ridge,435,4.925829464386819
Anterior Paraxial Mesoderm,364,4.1218435058317295
Epidermis 1,356,4.031253538670592
Early Neuron,352,3.985958555090024
Epidermis 2,292,3.306533801381497
Neural Crest,256,2.898878949156381
Posterior Pre-placodal Region,226,2.5591665723021175
Lateral Mesoderm,226,2.5591665723021175
Hindbrain Primordium,205,2.321367908504133
Notochord,186,2.106216736496433
Notoplate,180,2.03827426112558
Pharyngeal Mesoderm,178,2.015626769335296
Pronephric Primordium,174,1.9703317857547276
Midgut Primordium,131,1.4834107122636169
Ventral Blood Island,131,1.4834107122636169
Pre-placodal Region,131,1.4834107122636169
Anterior Pre-placodal Region,128,1.4494394745781904
Basal Cells,125,1.415468236892764
Neural Plate Border 1,124,1.404144490997622
Ciliated Epidermal Progenitor,120,1.3588495074170535
Anterior Neural Crest,119,1.3475257615219114
Cement Gland Primordium,110,1.2456120484656323
Posterior Neural Crest,100,1.1323745895142112
Ionocyte,96,1.087079605933643
Pharyngeal Primordium,89,1.007813384667648
Neural Plate Border 2,88,0.996489638772506
Pre-chordal Plate Mesoderm,64,0.7247197372890952
Hindgut Primordium,58,0.6567772619182426
Foregut Primordium,49,0.5548635488619635
Pancreatic Primordium,47,0.5322160570716793
L/R Organizer Primordium,38,0.4303023440154003
Liver Primordium,27,0.30574113916883705
Anterior Pharyngeal Primordium,21,0.23779866379798437
Neural Plate 1,10,0.11323745895142114
