group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Goblet Cell,itln1,49.83847,7.0670686,0.0,0.0,1.0,0.026886493341788206
Goblet Cell,itpr3,47.708733,2.6998272,0.0,0.0,0.9989429175475687,0.7031071655041218
Goblet Cell,otogl2,47.524334,3.5272253,0.0,0.0,0.9989429175475687,0.5395053899809765
Goblet Cell,capn9,47.396786,4.9797444,0.0,0.0,0.9936575052854123,0.14457831325301204
Goblet Cell,scn5a,47.36938,3.853484,0.0,0.0,0.9968287526427061,0.3284717818642993
Goblet Cell,LOC101732788,47.34271,4.9904165,0.0,0.0,0.9894291754756871,0.16639188332276475
Goblet Cell,cast,47.29817,4.190012,0.0,0.0,0.9936575052854123,0.29093214965123654
Goblet Cell,sytl2,47.29527,3.9739845,0.0,0.0,0.9957716701902748,0.34039315155358274
Goblet Cell,XB5767169,47.263054,4.7405095,0.0,0.0,0.9904862579281184,0.17970830691185796
Goblet Cell,pih1d1,47.11288,3.858869,0.0,0.0,0.9936575052854123,0.45478757133798353
Goblet Cell,XB5897453,47.066277,4.398263,0.0,0.0,0.992600422832981,0.24844641724793912
Goblet Cell,plcb4,47.060265,2.7445998,0.0,0.0,0.9989429175475687,0.6163601775523145
Goblet Cell,gna14,47.0388,2.634683,0.0,0.0,1.0,0.6102726696258719
Goblet Cell,ankdd1b,47.01989,4.9791512,0.0,0.0,0.9894291754756871,0.12162333544705137
Goblet Cell,fucolectin-e,46.976288,4.5530386,0.0,0.0,0.9841437632135307,0.20342422320862397
Goblet Cell,atp2a3,46.962887,3.9029133,0.0,0.0,0.9904862579281184,0.33430564362714016
Goblet Cell,atp13al,46.925476,4.5753365,0.0,0.0,0.9862579281183932,0.2818008877615726
Goblet Cell,pc,46.869804,4.335185,0.0,0.0,0.9862579281183932,0.2914394419784401
Goblet Cell,slc18a1,46.850296,5.1736317,0.0,0.0,0.9788583509513742,0.10627774254914395
Goblet Cell,hexdl,46.810806,4.8288455,0.0,0.0,0.985200845665962,0.13126188966391883
Goblet Cell,LOC100497570,46.79781,4.9738064,0.0,0.0,0.9820295983086681,0.16017755231452124
Goblet Cell,slc22a4,46.78917,4.34432,0.0,0.0,0.9915433403805497,0.21712111604311984
Goblet Cell,slc45a3,46.76408,4.2636113,0.0,0.0,0.9883720930232558,0.23221306277742548
Goblet Cell,evpl,46.721123,4.034775,0.0,0.0,0.9936575052854123,0.2712745719720989
Goblet Cell,slc6a16,46.617416,4.009309,0.0,0.0,0.9841437632135307,0.2514901712111604
Goblet Cell,osbpl2,46.61282,3.967095,0.0,0.0,0.9968287526427061,0.26227013316423586
Goblet Cell,XB5856846,46.535637,4.6185966,0.0,0.0,0.9778012684989429,0.1461001902346227
Goblet Cell,pkp3,46.491673,3.5757372,0.0,0.0,0.9936575052854123,0.3510462904248573
Goblet Cell,LOC100493464,46.482292,4.6409755,0.0,0.0,0.9778012684989429,0.1472415979708307
Goblet Cell,gnb3,46.478,3.7338421,0.0,0.0,0.9989429175475687,0.32403297400126824
Goblet Cell,LOC100489670,46.474503,4.374986,0.0,0.0,0.9904862579281184,0.1741280913126189
Goblet Cell,crybg1,46.47254,3.6849802,0.0,0.0,0.9947145877378436,0.3284717818642993
Goblet Cell,tjp3,46.36937,4.1014495,0.0,0.0,0.9936575052854123,0.21636017755231451
Goblet Cell,upk1a,46.328217,3.9521003,0.0,0.0,0.9894291754756871,0.24705136334812935
Goblet Cell,gng12,46.28453,3.723139,0.0,0.0,0.9936575052854123,0.30069752694990487
Goblet Cell,KIAA1217,46.262733,2.3060472,0.0,0.0,1.0,0.6393151553582752
Goblet Cell,syt16,46.25372,4.9639444,0.0,0.0,0.9704016913319239,0.10602409638554217
Goblet Cell,rab27a,46.19054,4.2706513,0.0,0.0,0.9915433403805497,0.17539632213062778
Goblet Cell,ppl,46.11418,3.7019744,0.0,0.0,0.9915433403805497,0.3188332276474318
Goblet Cell,scel,46.10669,4.5444784,0.0,0.0,0.9873150105708245,0.16753329105897274
Goblet Cell,msln,46.082558,4.0278244,0.0,0.0,0.9957716701902748,0.3538363982244769
Goblet Cell,flnb,46.05647,3.9907415,0.0,0.0,0.985200845665962,0.26975269499048826
Goblet Cell,elapor2,46.04501,3.7528834,0.0,0.0,0.9936575052854123,0.27926442612555485
Goblet Cell,upk3b,46.01525,4.024372,0.0,0.0,0.9830866807610994,0.21674064679771718
Goblet Cell,camk2g,45.99348,2.6186879,0.0,0.0,0.9978858350951374,0.6020291693088142
Goblet Cell,dnase1l3,45.99347,5.0140896,0.0,0.0,0.9640591966173362,0.10754597336715283
Goblet Cell,prkcb,45.964386,3.5296254,0.0,0.0,0.9957716701902748,0.3585288522511097
Goblet Cell,LOC394967,45.9641,4.7231174,0.0,0.0,0.9661733615221987,0.19822447685478758
Goblet Cell,kitlg,45.94316,3.7024417,0.0,0.0,0.9968287526427061,0.3264426125554851
Goblet Cell,fcgbp,45.93879,4.843722,0.0,0.0,0.9630021141649049,0.16664552948636652
Goblet Cell,armh4,45.919228,4.829586,0.0,0.0,0.9693446088794926,0.1315155358275206
Goblet Cell,crybg3,45.88411,3.8272846,0.0,0.0,0.9756871035940803,0.2890298034242232
Goblet Cell,krt7,45.87946,2.7974586,0.0,0.0,0.9947145877378436,0.5537095751426759
Goblet Cell,gfpt1,45.86398,3.2126443,0.0,0.0,0.9968287526427061,0.4324667089410273
Goblet Cell,LOC101730864,45.80701,4.4866104,0.0,0.0,0.9778012684989429,0.16664552948636652
Goblet Cell,chsy1,45.80226,2.4599164,0.0,0.0,0.9883720930232558,0.665567533291059
Goblet Cell,LOC100497338,45.787327,4.483016,0.0,0.0,0.9788583509513742,0.16715282181357008
Goblet Cell,LOC733712,45.78626,4.8774343,0.0,0.0,0.9640591966173362,0.12390615091946734
Goblet Cell,upk2,45.78514,4.127893,0.0,0.0,0.9778012684989429,0.20228281547241597
Goblet Cell,znf185,45.767826,3.9068897,0.0,0.0,0.9957716701902748,0.2589727330374128
Goblet Cell,macf1,45.755604,1.4065461,0.0,0.0,0.9989429175475687,0.8778693722257451
Goblet Cell,dsg2,45.745144,3.0281966,0.0,0.0,0.9968287526427061,0.4276474318325935
Goblet Cell,muc4,45.742325,3.7074094,0.0,0.0,0.9968287526427061,0.39949270767279643
Goblet Cell,pdxdc1,45.70799,4.0338373,0.0,0.0,0.9841437632135307,0.2062143310082435
Goblet Cell,smap1,45.667393,3.085251,0.0,0.0,0.9947145877378436,0.42612555485098286
Goblet Cell,baiap2l1,45.576202,3.8487356,0.0,0.0,0.9904862579281184,0.249714648065948
Goblet Cell,krt70,45.568897,2.5836785,0.0,0.0,0.9989429175475687,0.6153455928979075
Goblet Cell,map7,45.530426,4.298445,0.0,0.0,0.9936575052854123,0.1876981610653139
Goblet Cell,dsp,45.50503,2.2965214,0.0,0.0,0.9989429175475687,0.6744451490171212
Goblet Cell,sytl5,45.438663,4.6408544,0.0,0.0,0.9682875264270613,0.12669625871908688
Goblet Cell,mgat4g,45.429634,4.225286,0.0,0.0,0.9936575052854123,0.18402029169308814
Goblet Cell,krt12.3,45.40838,3.1213357,0.0,0.0,0.9936575052854123,0.43804692454026634
Goblet Cell,fam83e,45.405098,4.9697313,0.0,0.0,0.9587737843551797,0.09904882688649334
Goblet Cell,anxa11,45.39113,3.8698292,0.0,0.0,0.9936575052854123,0.24261255548509827
Goblet Cell,LOC100486361,45.361065,4.274925,0.0,0.0,0.9820295983086681,0.16842105263157894
Goblet Cell,LOC100489839,45.341362,3.9508598,0.0,0.0,0.9968287526427061,0.27419150285351934
Goblet Cell,eps8l1,45.33524,4.3684783,0.0,0.0,0.9704016913319239,0.16816740646797718
Goblet Cell,dmxl1,45.31686,3.2927895,0.0,0.0,0.9894291754756871,0.3561192136968928
Goblet Cell,dsc3,45.241737,3.676599,0.0,0.0,0.9904862579281184,0.262143310082435
Goblet Cell,atp11c,45.220306,2.9241374,0.0,0.0,0.9904862579281184,0.45339251743817377
Goblet Cell,cpt1al,45.13725,3.9711282,0.0,0.0,0.9661733615221987,0.20646797717184528
Goblet Cell,grhl3,45.134956,4.092347,0.0,0.0,0.9894291754756871,0.2564362714013951
Goblet Cell,tm9sf2,45.13285,3.2552633,0.0,0.0,0.9915433403805497,0.3575142675967026
Goblet Cell,syt8,45.127377,3.9586754,0.0,0.0,0.9756871035940803,0.20342422320862397
Goblet Cell,elapor1,45.11911,4.3218856,0.0,0.0,0.9809725158562368,0.17362079898541535
Goblet Cell,LOC101734097,45.08642,4.106155,0.0,0.0,0.9841437632135307,0.19327837666455294
Goblet Cell,cd9,45.057137,3.4469352,0.0,0.0,0.9894291754756871,0.31781864299302476
Goblet Cell,LOC100491113,45.044476,3.175036,0.0,0.0,0.9799154334038055,0.3833861762840837
Goblet Cell,rbbp8,45.000687,3.044544,0.0,0.0,0.9841437632135307,0.4032974001268231
Goblet Cell,ikzf2,44.99819,4.392115,0.0,0.0,0.9799154334038055,0.17882054533925174
Goblet Cell,gclc,44.99593,4.360332,0.0,0.0,0.9608879492600423,0.19518072289156627
Goblet Cell,LOC100485898,44.985485,3.9633577,0.0,0.0,0.9936575052854123,0.210145846544071
Goblet Cell,golm1,44.965477,3.9104776,0.0,0.0,0.9799154334038055,0.2206721623335447
Goblet Cell,rab27b,44.943592,4.794244,0.0,0.0,0.9534883720930233,0.1128725428027901
Goblet Cell,slc44a4,44.924744,4.4398885,0.0,0.0,0.9630021141649049,0.1346861128725428
Goblet Cell,ap3b1,44.866123,3.2748132,0.0,0.0,0.9820295983086681,0.3483830057070387
Goblet Cell,kcnj2,44.85492,4.4734917,0.0,0.0,0.9534883720930233,0.1614457831325301
Goblet Cell,akap9,44.823765,2.5733733,0.0,0.0,0.9968287526427061,0.5737476220672162
Goblet Cell,LOC105947373,44.820858,4.5208206,0.0,0.0,0.9661733615221987,0.12365250475586556
Goblet Cell,upk1b,44.803513,4.162495,0.0,0.0,0.9577167019027484,0.1722257450856056
Goblet Cell,capns2,44.79755,3.6606548,0.0,0.0,0.9809725158562368,0.2457831325301205
Goblet Cell,jup,44.746506,2.3726091,0.0,0.0,0.9978858350951374,0.5828788839568801
Goblet Cell,tmem45b,44.720608,4.2439938,0.0,0.0,0.9873150105708245,0.16702599873176918
Goblet Cell,galnt6.3,44.68313,4.151652,0.0,0.0,0.9820295983086681,0.19137603043753965
Goblet Cell,itprid1,44.664528,4.4641876,0.0,0.0,0.9587737843551797,0.14343690551680405
Goblet Cell,cyp4f22,44.589382,4.796689,0.0,0.0,0.9439746300211417,0.10513633481293595
Goblet Cell,adgrf1,44.577248,4.547239,0.0,0.0,0.9556025369978859,0.12365250475586556
Goblet Cell,lgalsl,44.54714,3.972307,0.0,0.0,0.9619450317124736,0.1998731769181991
Goblet Cell,gmds,44.51279,3.3071995,0.0,0.0,0.9894291754756871,0.43880786303107167
Goblet Cell,nipal3,44.49217,4.269992,0.0,0.0,0.9651162790697675,0.15586556753329106
Goblet Cell,calcrl,44.490265,3.7017257,0.0,0.0,0.985200845665962,0.2559289790741915
Goblet Cell,casd1,44.46128,3.8873568,0.0,0.0,0.9756871035940803,0.22396956246036778
Goblet Cell,atp1b2,44.4521,4.503978,0.0,0.0,0.9408033826638478,0.13303741280913126
Goblet Cell,lrba,44.450573,4.1468115,0.0,0.0,0.9619450317124736,0.21496512365250475
Goblet Cell,esrp1,44.416332,3.0595257,0.0,0.0,1.0,0.4209258084971465
Goblet Cell,LOC100493503,44.341103,4.7149982,0.0,0.0,0.9439746300211417,0.10818008877615726
