group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Anterior Neural Crest,nrp2,17.464973,2.9907246,2.64823137560827e-68,7.741045134040535e-64,0.9915966386554622,0.505394857667585
Anterior Neural Crest,sox9,17.065994,4.945165,2.658212006716384e-65,3.885109758416331e-61,0.957983193277311,0.10525711662075299
Anterior Neural Crest,lmx1b,16.075066,3.2584527,3.815949501042593e-58,3.7181339954992014e-54,1.0,0.4252754820936639
Anterior Neural Crest,cfh,15.704613,1.5326993,1.4063342559942651e-55,1.0277139159242092e-51,1.0,0.8250688705234159
Anterior Neural Crest,egflam,15.509196,3.149144,3.0061823315843165e-54,1.7574743146908231e-50,0.9747899159663865,0.3333333333333333
Anterior Neural Crest,ltk,15.005342,6.3552766,6.774155500119546e-51,3.3002556570665737e-47,0.8151260504201681,0.030876951331496785
Anterior Neural Crest,adam13,14.944505,2.2990801,1.6914478774636606e-50,7.06324470087718e-47,0.9915966386554622,0.5207759412304866
Anterior Neural Crest,snai2,14.883378,4.629202,4.226122639358457e-50,1.5441723858885883e-46,0.8403361344537815,0.08310376492194674
Anterior Neural Crest,sox8,14.771533,4.4192185,2.235698673096334e-49,6.794685918566499e-46,0.8403361344537815,0.12545913682277318
Anterior Neural Crest,ror1,14.7689085,2.5167778,2.324479463092778e-49,6.794685918566499e-46,1.0,0.5285812672176309
Anterior Neural Crest,pkdcc.2,14.698967,2.4189253,6.545096026676223e-49,1.7392700177797514e-45,1.0,0.5384527089072544
Anterior Neural Crest,tfap2b,14.626273,4.6163383,1.909636575559145e-48,4.65171556168078e-45,0.8319327731092437,0.1115702479338843
Anterior Neural Crest,c3,14.587791,2.5367308,3.358977871976846e-48,7.552790936596553e-45,1.0,0.4874885215794307
Anterior Neural Crest,fam110b,14.410873,1.5899711,4.420828411661925e-47,9.230373950092125e-44,0.9831932773109243,0.7201561065197429
Anterior Neural Crest,mn1,14.224507,2.4418774,6.455733593193412e-46,1.2580503244175776e-42,0.9663865546218487,0.4428374655647383
Anterior Neural Crest,ptprd,14.140773,1.8499362,2.1293276211494784e-45,3.661316217283553e-42,0.9831932773109243,0.6611570247933884
Anterior Neural Crest,afap1l1,14.103449,2.8930628,3.616533582768694e-45,5.873049619883982e-42,0.8739495798319328,0.3170339761248852
Anterior Neural Crest,fignl2,13.886709,1.5282458,7.625892377065744e-44,1.1732234740737303e-40,1.0,0.7326675849403123
Anterior Neural Crest,itga5,13.859395,1.8436841,1.1161039586996532e-43,1.6312417408374782e-40,0.9915966386554622,0.6082415059687787
Anterior Neural Crest,col24a1,13.853368,2.6346729,1.2138474606852777e-43,1.689617863013874e-40,0.8991596638655462,0.36179981634527086
Anterior Neural Crest,apoc1,13.797653,3.028043,2.6328410426471662e-43,3.498208023528151e-40,0.907563025210084,0.2642332415059688
Anterior Neural Crest,znf423,13.784693,1.2934067,3.151031902267963e-43,4.004687545008471e-40,1.0,0.820018365472911
Anterior Neural Crest,zfhx4,13.595575,2.4943545,4.254002867053862e-42,5.181198241952143e-39,0.9663865546218487,0.46797520661157027
Anterior Neural Crest,ceacam8l,13.584896,3.9808426,4.922294449578778e-42,5.7553435622254895e-39,0.7983193277310925,0.1115702479338843
Anterior Neural Crest,chrna4,13.520747,4.631788,1.1797207363565318e-41,1.3263237247860685e-38,0.7647058823529411,0.07552800734618917
Anterior Neural Ridge,fat2,27.260626,2.5619328,1.2435281933299247e-163,3.6349572619227033e-159,0.9701149425287356,0.4628394473558838
Anterior Neural Ridge,emx1l,24.269182,4.206848,4.148683070950053e-130,6.063507742347051e-126,0.7563218390804598,0.10505002382086708
