group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Epidermis 1,gna14,21.214922,3.744957,6.954342102446559e-100,4.035283352498488e-96,0.9915730337078652,0.3801369863013699
Epidermis 1,pcdh1,21.007,4.110737,5.659964197781577e-98,1.1817600961810949e-94,0.9747191011235955,0.2568493150684932
Epidermis 1,muc4,20.815948,3.5264912,3.103427521820744e-96,5.669768118146386e-93,0.9803370786516854,0.4623287671232877
Epidermis 1,arhgef25,20.72464,4.4868455,2.0767331876683214e-95,3.570881635807806e-92,0.9606741573033708,0.22602739726027396
Epidermis 1,tjp3,20.490149,5.0418243,2.635850141041295e-93,3.852426773638905e-90,0.9466292134831461,0.13013698630136986
Epidermis 1,mgat4g,20.272106,4.0819726,2.267431623875862e-91,2.5492036075967433e-88,0.9550561797752809,0.22602739726027396
Epidermis 1,LOC100485898,20.26578,4.1300144,2.578438033517733e-91,2.791493413250254e-88,0.9550561797752809,0.21575342465753425
Epidermis 1,b4galt3l2,20.244692,2.916537,3.9564571745851275e-91,3.9879724024240646e-88,0.9775280898876404,0.4520547945205479
Epidermis 1,golm1,20.11901,5.0645876,5.030038359142173e-90,4.743001654067254e-87,0.9325842696629213,0.11643835616438356
Epidermis 1,grhl3,20.071566,4.0753293,1.3081887840021915e-89,1.1246960689755311e-86,0.9466292134831461,0.2910958904109589
Epidermis 1,ikzf2,19.989115,5.7338753,6.850155665127757e-89,5.5621361179819296e-86,0.9213483146067416,0.08904109589041095
Epidermis 1,LOC100489670,19.938293,5.789143,1.894177341669721e-88,1.419710201906349e-85,0.9185393258426966,0.07876712328767123
Epidermis 1,tmem45b,19.931334,5.3218966,2.1767976095060228e-88,1.5907492730867636e-85,0.9241573033707865,0.0958904109589041
Epidermis 1,galnt6.3,19.815775,6.1439795,2.176278497981079e-87,1.5146380184401173e-84,0.9101123595505618,0.05821917808219178
Epidermis 1,msln,19.765589,4.2108293,5.890799544102116e-87,3.9134991244011126e-84,0.9353932584269663,0.3082191780821918
Epidermis 1,akap9,19.7542,2.0282588,7.381480841308481e-87,4.794845921606405e-84,0.9634831460674157,0.6917808219178082
Epidermis 1,osbpl2,19.645811,3.2801135,6.278467991671889e-86,3.904806337543851e-83,0.9382022471910112,0.3938356164383562
Epidermis 1,elovl7,19.624725,4.8676906,9.509108041350422e-86,5.672668105239065e-83,0.9157303370786517,0.1267123287671233
Epidermis 1,scel,19.576223,5.104777,2.466418615671668e-85,1.4136447559744807e-82,0.9101123595505618,0.1267123287671233
Epidermis 1,gfpt1,19.549232,2.4637566,4.187789336025084e-85,2.2669124089138748e-82,0.9719101123595506,0.589041095890411
Epidermis 1,casd1,19.465727,4.904974,2.1443479827374907e-84,1.0996743137438525e-81,0.9101123595505618,0.1267123287671233
Epidermis 1,flnb,19.446115,3.9765162,3.1436758359117984e-84,1.5843584199920307e-81,0.9241573033707865,0.2773972602739726
Epidermis 1,mfsd6,19.43051,3.8717315,4.261064827987713e-84,2.1111048472357433e-81,0.9353932584269663,0.2363013698630137
Epidermis 1,evpl,19.378424,3.104428,1.1738630966002786e-83,5.625113471593892e-81,0.9438202247191011,0.4349315068493151
Epidermis 1,pkp3,19.342575,3.178795,2.354166014215667e-83,1.0922956628815582e-80,0.9410112359550562,0.4178082191780822
Epidermis 1,anxa11,19.274675,3.572273,8.764979725672752e-83,4.003267536892816e-80,0.9382022471910112,0.2842465753424658
Epidermis 1,LOC100486856,19.264553,6.059247,1.065822896301601e-82,4.793087551044939e-80,0.8932584269662921,0.04794520547945205
Epidermis 1,lmo7,19.218582,2.788844,2.5874329552249196e-82,1.1122537163849943e-79,0.9606741573033708,0.4657534246575342
Epidermis 1,LOC101734097,19.140558,3.8676443,1.1601835609787317e-81,4.914974734923087e-79,0.9269662921348315,0.22602739726027396
Epidermis 1,fam3b,19.117363,4.0227933,1.8103155442253533e-81,7.453145587781873e-79,0.9241573033707865,0.18493150684931506
Epidermis 1,ppl,19.085732,2.8420823,3.317957776074851e-81,1.3285921061978626e-78,0.9382022471910112,0.4691780821917808
