group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate 1,sp7,5.39734,4.9935226,6.763615479326908e-08,0.0007030501975465451,1.0,0.17410228509249184
Neural Plate 1,KIAA1671,5.2717376,3.106766,1.3513807181388878e-07,0.0007030501975465451,1.0,0.45701849836779107
Neural Plate 1,fhod1,5.204197,3.8839128,1.9483728064701916e-07,0.0007030501975465451,1.0,0.3068552774755169
Neural Plate 1,rreb1,5.1887927,3.4983792,2.1166161872707937e-07,0.0007030501975465451,1.0,0.38411316648531013
Neural Plate 1,eppk1,5.1852384,3.2873173,2.1573902395078006e-07,0.0007030501975465451,1.0,0.397170837867247
Neural Plate 1,krt70,5.0489717,3.033579,4.4419477484446534e-07,0.0008656171642319045,1.0,0.470076169749728
Neural Plate 1,plcb4,4.9186296,2.600535,8.71521688632026e-07,0.0014153028044668193,1.0,0.5342763873775843
Neural Plate 1,atp10b,4.779993,4.9398465,1.7530104553552252e-06,0.0022279238530647214,0.9,0.15342763873775844
Neural Plate 1,gnb3,4.748,4.0795918,2.054377566576201e-06,0.002402060425943557,0.9,0.20565832426550598
Neural Plate 1,b3gnt3.2,4.721339,4.909617,2.3429655792362977e-06,0.0024459723873805793,0.9,0.08922742110990206
Neural Plate 1,capn13,4.7124524,4.738391,2.447531649383644e-06,0.0024670275049356307,0.9,0.10990206746463548
Neural Plate 1,kit,4.6792746,4.9153514,2.8789173733070476e-06,0.002594688788753534,0.9,0.12295973884657237
Neural Plate 1,esrp1,4.618843,4.2907577,3.858851403171732e-06,0.003048596901786835,0.9,0.17519042437431992
Neural Plate 1,lrrc1,4.6064014,3.349365,4.096968630565425e-06,0.003151539211580472,0.9,0.3177366702937976
Neural Plate 1,grk6,4.5785556,4.2709613,4.681972874031358e-06,0.0035091986943797597,0.9,0.16213275299238303
Neural Plate 1,cldn4,4.5204945,3.6553192,6.1695377915957856e-06,0.004098676345139464,0.9,0.18607181719260066
Neural Plate 1,ptbp1,4.4908714,1.7038335,7.093242557353999e-06,0.004411544110510953,1.0,0.7475516866158868
Neural Plate 1,slc16a12,4.4695425,3.3618627,7.838706088338325e-06,0.0046761881156779095,0.9,0.26659412404787813
Neural Plate 1,dsp,4.4375496,1.8939224,9.098878235109634e-06,0.005101795205178222,1.0,0.690968443960827
Neural Plate 1,jup,4.3119473,2.6166315,1.6182297770575147e-05,0.007508329303677494,0.9,0.4211099020674646
Neural Plate 1,abo.3,4.2941732,5.973821,1.7534535779129364e-05,0.0078075170431949215,0.8,0.04461371055495103
Neural Plate 1,fam3b,4.2929883,5.9304876,1.762841246795747e-05,0.0078075170431949215,0.8,0.04896626768226333
Neural Plate 1,myo5c,4.252701,5.259746,2.1120747749656682e-05,0.008711926028370712,0.8,0.08378672470076169
Neural Plate 1,tmcc1,4.2491465,2.3996866,2.1458679964513406e-05,0.008711926028370712,0.9,0.4472252448313384
Neural Plate 1,ptprvl,4.204119,5.5002303,2.6210098254317403e-05,0.009698068127493064,0.8,0.036996735582154515
Neural Plate 1,krt7,4.1816053,2.7370348,2.8945796967185644e-05,0.010194151700575946,0.9,0.4015233949945593
Neural Plate 1,krt8,4.1650167,1.9218447,3.113300979457698e-05,0.010460333440290572,1.0,0.6376496191512514
Neural Plate 1,grhl1,4.1531672,4.907541,3.2790496856460796e-05,0.010892034245581881,0.8,0.09031556039173014
Neural Plate 1,plxna2,4.128284,2.1124704,3.654809459155125e-05,0.01173997091214983,1.0,0.6343852013057671
Neural Plate 1,cep170b,4.109325,3.83757,3.968174273680105e-05,0.012339755552547146,0.8,0.17410228509249184
Neural Plate 1,baiap2l1,4.073777,3.968546,4.6256750199274574e-05,0.013939495516237061,0.8,0.1719260065288357
Neural Plate 1,cdh1,4.045339,3.7378197,5.224748694626704e-05,0.015426730211377087,0.8,0.18498367791077258
Neural Plate 1,calr,4.03112,1.5592276,5.551174388573629e-05,0.0161065303950554,1.0,0.7257889009793254
Neural Plate 1,gna14,4.030527,1.967605,5.565186171874364e-05,0.0161065303950554,0.9,0.5810663764961915
Neural Plate 1,neurl1b,3.9920173,4.0618267,6.55136191158428e-05,0.01773174629977038,0.8,0.14145810663764963
Neural Plate 1,itpr2,3.9730585,2.6728344,7.09556497643582e-05,0.01885549634783595,0.9,0.36235038084874865
Neural Plate 1,itpr3,3.9428427,2.0882175,8.052145260516508e-05,0.020467152879144176,0.9,0.5658324265505985
Neural Plate 1,tfap2c,3.9138122,3.6340835,9.085035843067383e-05,0.022458631904869453,0.8,0.22633297062023938
Neural Plate 1,rps6ka6,3.8634527,1.9990634,0.00011179555667327828,0.026786032107513097,0.9,0.5114254624591947
Neural Plate 1,KIAA1217,3.8367918,2.9478076,0.00012465204467437433,0.029268952931321136,0.8,0.3482045701849837
Neural Plate 1,muc4,3.8308673,3.6314878,0.00012769241150863733,0.02939036914022817,0.8,0.27421109902067464
Neural Plate 1,erbb2,3.78584,3.2812972,0.00015319022157366522,0.03366844636706622,0.8,0.21653971708378672
Neural Plate 1,ahnak,3.7763605,2.106926,0.00015913656355443078,0.03427851715105436,0.9,0.5233949945593036
Neural Plate 1,svil,3.7751756,3.1497114,0.000159894946312452,0.03427851715105436,0.8,0.2132752992383025
Neural Plate 1,mob2.2,3.771621,3.2559464,0.00016219055177635103,0.03435501463025012,0.8,0.17845484221980412
Neural Plate 1,klf5,3.7639189,6.663885,0.00016727117796624166,0.03517628635346194,0.7,0.026115342763873776
Neural Plate 1,atp10d,3.7520697,1.9061583,0.00017538075878020546,0.0363585458149233,0.9,0.5070729053318824
Neural Plate 1,slc66a2,3.7408128,2.9266567,0.0001834261100044626,0.03697743876924446,0.8,0.2306855277475517
Neural Plate 1,dlx3,3.7313335,5.856925,0.00019046896497526054,0.03711732210127894,0.7,0.035908596300326445
Neural Plate 1,rbbp8nl,3.7289636,6.130893,0.0001922689729155663,0.03721996256486701,0.7,0.031556039173014146
Neural Plate 1,stx3,3.7188916,5.633485,0.0002000988500716687,0.038228158175875625,0.7,0.036996735582154515
Neural Plate 1,LOC100489670,3.7135594,5.151433,0.00020436439932319754,0.038228158175875625,0.7,0.051142546245919476
Neural Plate 1,elovl7,3.7123744,5.595874,0.00020532382859335884,0.038228158175875625,0.7,0.05767138193688792
Neural Plate 1,elovl3,3.70645,5.8173895,0.00021018476747508636,0.03864094929600157,0.7,0.03808487486398259
Neural Plate 1,XB5992703,3.6904535,5.789532,0.00022385467783959256,0.04073760240762852,0.7,0.03482045701849837
Neural Plate 1,ghr,3.689861,5.791018,0.0002243766544979026,0.04073760240762852,0.7,0.029379760609358
Neural Plate 1,socs5,3.6863062,5.3179545,0.00022753258490073558,0.0410555863532926,0.7,0.05767138193688792
Neural Plate 1,efnb1,3.6756418,1.6094445,0.00023725217886904975,0.04203102085164359,0.9,0.6322089227421109
Neural Plate 1,eps8l1,3.6442413,4.9637127,0.00026818173967437084,0.045313412904170715,0.7,0.0544069640914037
Neural Plate 1,nek6,3.642464,5.2127786,0.0002700408578725246,0.04531422591524958,0.7,0.051142546245919476
Neural Plate 1,msln,3.6306145,3.2721372,0.0002827470864650918,0.04669480273706835,0.8,0.28944504896626766
Neural Plate 1,rabgap1l,3.623505,2.7140393,0.0002906374964737671,0.04772822842373419,0.8,0.28291621327529926
Neural Plate 1,LOC100485898,3.6199503,4.520721,0.00029465961024489814,0.048118408195914064,0.7,0.09684439608269858
Neural Plate 1,znf185,3.6110632,4.6943126,0.0003049441583055675,0.04829452493250893,0.7,0.10228509249183895
Neural Plate 1,syt8,3.6098785,4.3853,0.00030634055527334857,0.04829452493250893,0.7,0.07616974972796518
Neural Plate 1,arhgef25,3.6033614,1.9327426,0.00031412837165765604,0.04829452493250893,0.9,0.545157780195865
Neural Plate 1,sptlc3,3.5974367,4.7756124,0.00032136867800579294,0.04889533854951083,0.7,0.10772578890097932
Neural Plate 1,znf750,3.58381,4.0890164,0.00033861839244514333,0.050244437713522765,0.7,0.11534276387377584
Neural Plate 1,pfkp,3.5784779,4.591911,0.00034560112285605477,0.05102154758689564,0.7,0.0750816104461371
Neural Plate 1,atp8b1,3.5743306,4.2935166,0.0003511250130994782,0.051231498552336746,0.7,0.08922742110990206
Neural Plate 1,pank1,3.5695908,4.271032,0.0003575391093249186,0.051231498552336746,0.7,0.07616974972796518
Neural Plate 1,tjp3,3.5630739,3.958814,0.00036653753964442366,0.052010965152165765,0.7,0.1294885745375408
Neural Plate 1,gng12,3.5399678,3.7160044,0.0004001759116181783,0.05427698834713277,0.7,0.13928182807399347
Neural Plate 1,osbpl2,3.5269337,3.9902966,0.00042040222490104414,0.05560532776507882,0.7,0.13928182807399347
Neural Plate 1,gadd45a,3.5138993,4.3517194,0.0004415800462062136,0.05788262928544318,0.7,0.07834602829162132
Neural Plate 1,spag16,3.50679,5.0199413,0.0004535472313854772,0.059185888931378945,0.7,0.08487486398258977
Neural Plate 1,krt12.3,3.5026426,2.7628865,0.0004606671611530406,0.05932360952609086,0.8,0.3003264417845484
Neural Plate 1,acly,3.496718,4.068931,0.00047101955746519655,0.05974304176370184,0.7,0.14036996735582155
Neural Plate 1,evpl,3.493163,3.8753035,0.0004773347489251532,0.05988400019670023,0.7,0.14472252448313383
Neural Plate 1,myo5b,3.4842763,4.3306146,0.0004934699269939104,0.06151738432879877,0.7,0.08269858541893363
Neural Plate 1,akap9,3.4836838,2.3511508,0.0004945634879842533,0.06151738432879877,0.8,0.41131664853101196
Neural Plate 1,tm9sf3,3.478944,1.7032495,0.0005033936746382296,0.062350425861652924,0.9,0.573449401523395
Neural Plate 1,ly6g6c,3.4765742,3.6572793,0.0005078636823998661,0.06263866371405269,0.7,0.1251360174102285
Neural Plate 1,bltp3b,3.4718344,1.1035329,0.0005169149194528273,0.06295808337718999,0.9,0.7388465723612623
Neural Plate 1,casp3.2,3.4552455,2.3020227,0.0005497919203439736,0.06613566923281766,0.8,0.38846572361262244
Neural Plate 1,srpk3,3.4433963,1.8314708,0.0005744569436143238,0.06798360695866518,0.8,0.602829162132753
Neural Plate 1,galnt4,3.4285846,3.605566,0.000606737232908968,0.06955112178494918,0.7,0.13928182807399347
Neural Plate 1,cep135,3.3817801,2.4561362,0.0007201777477267299,0.08034929673206123,0.8,0.37758433079434167
Neural Plate 1,mylk,3.3545268,3.505569,0.0007950085947846137,0.08517745738234767,0.7,0.16866158868335146
Neural Plate 1,pde4c,3.3533418,3.173131,0.0007984202840396585,0.08517745738234767,0.7,0.2100108813928183
Neural Plate 1,iqce,3.3166091,3.615531,0.0009111699536249279,0.09444825856173854,0.7,0.14907508161044614
Neural Plate 1,LOC100488102,3.3083146,4.263826,0.0009385929377320334,0.09613326629861949,0.7,0.1708378672470076
Neural Plate 1,perp,3.3065372,3.1070576,0.0009445679003944276,0.09614653250903098,0.7,0.2089227421109902
Neural Plate 1,calcrl,3.30476,2.925315,0.0009505780813215405,0.09614653250903098,0.8,0.22306855277475518
Neural Plate 1,ano5,3.2964654,3.293205,0.0009790968182563978,0.09734686766820669,0.7,0.15342763873775844
Neural Plate 1,kitlg,3.2869859,3.3079886,0.001012658803938501,0.09966676598628393,0.7,0.16213275299238303
Neural Plate 1,hk1,3.2751367,3.0606995,0.0010561085546362083,0.10359432604218459,0.7,0.21436343852013057
Neural Plate 1,spag1,3.2709894,3.1823823,0.0010717190520057168,0.10442473203059703,0.7,0.21109902067464636
Neural Plate 1,paqr5,3.2597327,9.424461,0.0011151727529153993,0.10687742537859028,0.6,0.003264417845484222
Neural Plate 1,LOC100496743,3.2573628,2.9111714,0.0011245260359039478,0.1070717281938381,0.7,0.2535364526659412
Neural Plate 1,dcbld1,3.253808,1.9995186,0.0011386920224216908,0.10771879128611146,0.8,0.41458106637649617
Neural Plate 1,ralgapa2,3.2484758,1.2748469,0.0011602505490257739,0.10868720116523466,0.9,0.7007616974972797
Neural Plate 1,hook2,3.2478833,2.3002317,0.0011626690844300284,0.10868720116523466,0.8,0.34494015233949943
Neural Plate 1,dyrk3,3.2466984,2.2226012,0.0011675201384107174,0.10868720116523466,0.8,0.3405875952121872
Neural Plate 1,nipal1,3.237219,7.404046,0.0012070072162748927,0.111299772678017,0.6,0.009793253536452665
Neural Plate 1,lats1,3.2093732,1.3383945,0.0013302466749721843,0.12038526487960347,0.9,0.6528835690968444
Neural Plate 1,lpin2,3.2075958,2.5434346,0.001338494291753934,0.12075779827857791,0.8,0.3797606093579978
Neural Plate 1,ranbp9,3.2028563,1.4582343,0.001360719134028986,0.12092773486335517,0.9,0.5843307943416758
Neural Plate 1,gnb5,3.1993015,5.637539,0.0013776106089253626,0.12092773486335517,0.6,0.026115342763873776
Neural Plate 1,tab2,3.1993015,1.5922093,0.0013776106089253626,0.12092773486335517,0.8,0.528835690968444
Neural Plate 1,trpm2l,3.1993015,6.613297,0.0013776106089253626,0.12092773486335517,0.6,0.01958650707290533
Neural Plate 1,esyt2,3.197524,2.6141973,0.0013861286722776825,0.12119772951423766,0.7,0.32861806311207836
Neural Plate 1,XB22041731,3.1969316,5.8561163,0.001388978802889727,0.12119772951423766,0.6,0.026115342763873776
Neural Plate 1,znf534,3.1945617,5.7360044,0.0014004334522691466,0.1214720185260517,0.6,0.030467899891186073
Neural Plate 1,degs3,3.1921918,5.902706,0.0014119751497386713,0.12211078580476656,0.6,0.031556039173014146
Neural Plate 1,zbtb7b,3.188637,5.6898518,0.0014294522162612855,0.12289505215745188,0.6,0.028291621327529923
