group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,znf750,11.370144,5.4664383,5.889072929242183e-30,7.346366882324018e-26,0.9354838709677419,0.09090909090909091
Neural Plate Border 1,camk2g,11.367871,3.1713917,6.0443759902332545e-30,7.346366882324018e-26,0.9758064516129032,0.45454545454545453
Neural Plate Border 1,gna14,11.311066,2.4923058,1.1567556626197837e-29,8.453281193509725e-26,1.0,0.6022727272727273
Neural Plate Border 1,pcdh1,11.256533,2.9745317,2.1505403932553377e-29,1.2572489247049356e-25,0.9838709677419355,0.42045454545454547
Neural Plate Border 1,tmem45b,11.086117,4.683577,1.4651012736468076e-28,6.118053618567119e-25,0.9354838709677419,0.13636363636363635
Neural Plate Border 1,pkp3,11.054306,3.7934575,2.089462431709989e-28,6.872798752290249e-25,0.9354838709677419,0.2727272727272727
Neural Plate Border 1,myo5c,11.05317,4.0557556,2.116081857295756e-28,6.872798752290249e-25,0.9435483870967742,0.19318181818181818
Neural Plate Border 1,gfpt1,11.038401,3.3809595,2.4943334368299063e-28,7.160527011221857e-25,0.9516129032258065,0.3409090909090909
Neural Plate Border 1,scel,11.024767,4.754306,2.902679757005386e-28,7.160527011221857e-25,0.9193548387096774,0.13636363636363635
Neural Plate Border 1,ppl,11.023631,3.451892,2.939561565962926e-28,7.160527011221857e-25,0.9758064516129032,0.3068181818181818
Neural Plate Border 1,dsc3,10.9906845,3.56206,4.237017770404674e-28,9.527097418976848e-25,0.9596774193548387,0.25
Neural Plate Border 1,akap9,10.941832,2.0117292,7.271574131610034e-28,1.4170358896072862e-24,0.9919354838709677,0.6931818181818182
Neural Plate Border 1,ezr,10.906612,4.605297,1.0717607793979796e-27,1.9580399589113966e-24,0.9193548387096774,0.11363636363636363
Neural Plate Border 1,crybg1,10.833901,3.4721587,2.3780187961823065e-27,4.088933378306176e-24,0.9435483870967742,0.3181818181818182
Neural Plate Border 1,osbpl2,10.821404,3.5462465,2.725679913139912e-27,4.352261190749359e-24,0.9274193548387096,0.2840909090909091
Neural Plate Border 1,muc4,10.817996,3.7883854,2.828947440191503e-27,4.352261190749359e-24,0.9354838709677419,0.3181818181818182
Neural Plate Border 1,evpl,10.77028,3.5047202,4.7555398016494875e-27,6.950459197100808e-24,0.9354838709677419,0.3068181818181818
Neural Plate Border 1,mgat4g,10.7361965,3.7754369,6.882153238945936e-27,9.579629587029936e-24,0.9193548387096774,0.23863636363636365
Neural Plate Border 1,vill,10.7237,4.2076178,7.878761682961372e-27,9.714634831360455e-24,0.9112903225806451,0.17045454545454544
Neural Plate Border 1,znf185,10.722564,3.9806178,7.976163523404979e-27,9.714634831360455e-24,0.9193548387096774,0.20454545454545456
Neural Plate Border 1,map7,10.6998415,4.284315,1.0195276444129157e-26,1.1920725029533575e-23,0.9032258064516129,0.18181818181818182
Neural Plate Border 1,krt7,10.686208,2.1782005,1.1810145458669346e-26,1.327778315009091e-23,1.0,0.6363636363636364
Neural Plate Border 1,LOC100486856,10.674847,6.4533286,1.3347736734558186e-26,1.445065527732853e-23,0.8709677419354839,0.03409090909090909
Neural Plate Border 1,cd9,10.661214,3.922003,1.5456712132428656e-26,1.5579832839414555e-23,0.9112903225806451,0.20454545454545456
Neural Plate Border 1,elapor1,10.5907755,4.7791305,3.2885743759673946e-26,3.2042772527967636e-23,0.8790322580645161,0.13636363636363635
Neural Plate Border 2,znf423,11.348557,2.8663328,7.539632803178836e-30,7.346366882324018e-26,0.9886363636363636,0.5080645161290323
Neural Plate Border 2,lamc1,11.222449,3.7233372,3.1638284081871614e-29,1.5413644699953151e-25,0.9772727272727273,0.25
Neural Plate Border 2,lamb1,10.971371,3.7322352,5.247101108842565e-28,1.095557232232693e-24,0.9659090909090909,0.25
Neural Plate Border 2,chd7,10.731652,1.3428792,7.229192735472065e-27,9.605296947753815e-24,1.0,0.8467741935483871
Neural Plate Border 2,gpc4,10.665758,2.5636425,1.4719379995178164e-26,1.5366507022823318e-23,0.9545454545454546,0.46774193548387094
Neural Plate Border 2,plxnb1,10.415814,1.894958,2.099915125159807e-25,1.4971370493547882e-22,0.9886363636363636,0.6612903225806451
Neural Plate Border 2,ptprs,10.368098,2.2503066,3.4634815824372187e-25,2.24980066969383e-22,0.9545454545454546,0.5725806451612904
Neural Plate Border 2,itgb1,10.104522,2.8667364,5.275221121149299e-24,2.613559128683308e-21,0.9204545454545454,0.3387096774193548
Neural Plate Border 2,tcf3,10.074984,1.1657721,7.127295982017935e-24,3.4153768663994475e-21,1.0,0.8467741935483871
Neural Plate Border 2,LOC100486548,10.056806,1.413446,8.57352068388879e-24,3.9779775096944955e-21,0.9772727272727273,0.7741935483870968
Neural Plate Border 2,eif3h,9.793229,1.9929608,1.2038848909455153e-22,4.630363058845837e-20,0.9886363636363636,0.5806451612903226
Neural Plate Border 2,c3,9.69098,3.4158497,3.2935444078237724e-22,1.2186531213303378e-19,0.8636363636363636,0.25806451612903225
Neural Plate Border 2,ftsj3,9.630766,1.0577012,5.9285873534983e-22,2.1394881102482568e-19,0.9886363636363636,0.8790322580645161
Neural Plate Border 2,mdk,9.605772,2.2893834,7.5589577833248955e-22,2.6595971972121753e-19,0.9204545454545454,0.49193548387096775
Neural Plate Border 2,dock1,9.495569,2.138588,2.1901106538166982e-21,6.883776830292034e-19,0.9431818181818182,0.5161290322580645
Neural Plate Border 2,ncl,9.477392,1.1387361,2.6071824599682304e-21,8.107505370992696e-19,0.9772727272727273,0.8548387096774194
Neural Plate Border 2,bmpr1b,9.379686,3.2513926,6.6169064904155265e-21,1.842083748774631e-18,0.8636363636363636,0.28225806451612906
Neural Plate Border 2,fat1,9.368325,1.8163781,7.369223922898235e-21,2.0321677782097952e-18,0.9772727272727273,0.6532258064516129
Neural Plate Border 2,tox,9.347876,3.451333,8.942566181899163e-21,2.4203717783619856e-18,0.8409090909090909,0.23387096774193547
Neural Plate Border 2,col18a1,9.329698,3.0443273,1.0617295681711696e-20,2.7710193756438805e-18,0.8522727272727273,0.3387096774193548
Neural Plate Border 2,itga5,9.300159,2.8502865,1.4023542549163635e-20,3.5645406283008885e-18,0.8863636363636364,0.3225806451612903
Neural Plate Border 2,gli3,9.297887,3.018224,1.4326426938615415e-20,3.610136084850579e-18,0.875,0.3387096774193548
Neural Plate Border 2,noc2l,9.21836,3.6259282,3.0167964688233944e-20,7.228194883621037e-18,0.8181818181818182,0.18548387096774194
Neural Plate Border 2,sema6a,9.186549,2.0549026,4.0564732134793193e-20,9.562481330904354e-18,0.9545454545454546,0.6048387096774194
Neural Plate Border 2,parp1,9.159283,2.9165747,5.2243648593799166e-20,1.2120111841629711e-17,0.8522727272727273,0.27419354838709675
