,orig.ident,nCount_RNA,nFeature_RNA,bc_wells,sample,species,gene_count,tscp_count,mread_count,bc1_wind,bc2_wind,bc3_wind,bc1_well,bc2_well,bc3_well,n_genes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,total_counts_ribo,log1p_total_counts_ribo,pct_counts_ribo,doublet_scores,predicted_doublets,doublet_info,n_counts,leiden_0.3,leiden_1.0,leiden_0.05,leiden_0.1,leiden_0.2,leiden_0.8,leiden_1.2,leiden_10.0,region_annotation
07_01_10__s1,0,10898.0,3562,07_01_10__s1,X__tropicalis_st13_NUCLEI,XENTR-10,3562,10898,22710,7,1,10,A7,A1,A10,3562,3562,8.178358165605836,3896.0251569294373,8.26796876077834,0.0,0.0,0.0,32.47394328317351,3.5107673237353927,0.833514722701819,0.020107896027464444,False,False,3896.0251569294373,4,8,1,1,5,2,12,68,Posterior Paraxial Mesoderm
07_01_25__s1,0,10037.0,3522,07_01_25__s1,X__tropicalis_st13_NUCLEI,XENTR-10,3522,10037,20736,7,1,25,A7,A1,C1,3522,3522,8.167068178341237,3978.4861071664386,8.288907971139531,1.3826045991598908,0.8681942586926393,0.034752027829616096,40.97504580473349,3.7370752942014485,1.0299155181395563,0.028882833787465936,False,False,3978.4861071664386,3,6,3,3,4,8,3,36,Anterior Pre-placodal Region
07_01_30__s1,0,10297.0,3477,07_01_30__s1,X__tropicalis_st13_NUCLEI,XENTR-10,3477,10297,21842,7,1,30,A7,A1,C6,3477,3477,8.154212694914229,3914.6571563873554,8.272738450376293,1.3572410024017514,0.8574918683669711,0.034670750162302394,36.56456788066263,3.6260612625115862,0.9340426612073041,0.05671213208901651,False,False,3914.6571563873554,2,1,0,0,2,1,1,58,Anterior Neural Ridge
07_01_35__s1,0,19016.0,4240,07_01_35__s1,X__tropicalis_st13_NUCLEI,XENTR-10,4240,19016,39621,7,1,35,A7,A1,C11,4240,4240,8.352554369474591,3885.9739561089723,8.265386230574817,0.8451333438454169,0.6125515479678636,0.021748301800037007,11.17442130884302,2.4993371367378256,0.28755780236962714,0.07096774193548389,False,False,3885.9739561089723,1,0,2,2,1,0,0,48,Ionocyte
07_01_46__s1,0,16496.0,3686,07_01_46__s1,X__tropicalis_st13_NUCLEI,XENTR-10,3686,16496,35085,7,1,46,A7,A1,D10,3686,3686,8.212568398234145,3408.0823744880436,8.134198435673492,0.4738758509282451,0.3878955642553836,0.013904471748557131,20.08149525869878,3.048395653733409,0.5892315106296511,0.10456852791878173,False,False,3408.0823744880436,4,11,1,1,5,14,9,11,Anterior Paraxial Mesoderm
07_01_62__s1,0,10644.0,3316,07_01_62__s1,X__tropicalis_st13_NUCLEI,XENTR-10,3316,10644,22418,7,1,62,A7,A1,F2,3316,3316,8.106816038947052,3748.302576213928,8.229325121991806,6.119447538436724,1.962830129497208,0.1632591663562506,37.894265663258636,3.660846827502584,1.0109713635107531,0.008827238335435058,False,False,3748.302576213928,2,1,0,0,2,1,1,32,Eye Primordium
07_01_67__s1,0,25901.0,3285,07_01_67__s1,X__tropicalis_st13_NUCLEI,XENTR-10,3285,25901,54566,7,1,67,A7,A1,F7,3285,3285,8.097426298597213,2745.685094317016,7.918150043308903,1.3059342890429408,0.8354859257959935,0.04756314887479074,12.435376817232791,2.597891289104932,0.45290615602537143,0.006045949214026603,False,False,2745.685094317016,4,11,1,1,5,14,9,13,Anterior Paraxial Mesoderm
07_02_40__s1,0,4859.0,2389,07_02_40__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2389,4859,10204,7,2,40,A7,A2,D4,2389,2389,7.779048644925556,3509.2642433562614,8.16344659663377,1.1177730868504443,0.7503651058639836,0.031852063832657006,17.53075706261483,2.919431895513132,0.499556483835723,0.025,False,False,3509.2642433562614,7,13,0,0,3,9,16,70,Notoplate
07_02_43__s1,0,6445.0,2731,07_02_43__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2731,6445,13650,7,2,43,A7,A2,D7,2731,2731,7.912789220690681,3654.262968664266,8.203923317246733,0.0,0.0,0.0,36.37836809758804,3.621092143974044,0.9955049324456618,0.019455252918287938,False,False,3654.262968664266,4,8,1,1,5,2,12,39,Lateral Mesoderm
07_02_57__s1,0,11241.0,2726,07_02_57__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2726,11241,23456,7,2,57,A7,A2,E9,2726,2726,7.910957382845589,3186.4529193351027,8.066977418952925,0.636365467765088,0.4924776042869438,0.01997096721259181,6.934292881794995,2.071194236182042,0.2176179299470689,0.020107896027464444,False,False,3186.4529193351027,1,0,2,2,1,0,0,72,Goblet Cell
07_02_80__s1,0,5705.0,2355,07_02_80__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2355,5705,11740,7,2,80,A7,A2,G8,2355,2355,7.764720544771477,3359.7080917714866,8.119906972353014,0.0,0.0,0.0,40.49672472901926,3.7256145019298255,1.2053643835368566,0.01081782778018174,False,False,3359.7080917714866,0,2,1,1,0,7,4,15,Ventral Mesoderm
07_02_94__s1,0,9201.0,2935,07_02_94__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2935,9201,19227,7,2,94,A7,A2,H10,2935,2935,7.984803389734406,3520.722109692462,8.166705384663459,3.781081937347018,1.564666867616127,0.10739506895297962,14.793924453959132,2.759625337852549,0.4201957437433594,0.036860879904875146,False,False,3520.722109692462,9,17,2,2,8,15,17,34,Cement Gland Primordium
07_03_12__s1,0,5066.0,2317,07_03_12__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2317,5066,10520,7,3,12,A7,A3,A12,2317,2317,7.748460023899697,3413.07937575767,8.135663153159582,1.598960794609847,0.9551116707475183,0.04684804010029487,42.82418173629655,3.7801857594703328,1.2547080516341642,0.007874015748031496,False,False,3413.07937575767,6,5,0,0,6,5,11,3,Neural Crest
07_03_28__s1,0,5685.0,2075,07_03_28__s1,X__tropicalis_st13_NUCLEI,XENTR-10,2075,5685,11761,7,3,28,A7,A3,C4,2075,2075,7.638198244285779,3004.4339270766163,8.008177238233777,1.014873714440142,0.7005565207002076,0.033779198979677266,11.163610858841563,2.4984487780868117,0.37157118877645,0.015755329008341055,False,False,3004.4339270766163,1,0,2,2,1,0,0,0,Goblet Cell
07_03_48__s1,0,2444.0,1670,07_03_48__s1,X__tropicalis_st13_NUCLEI,XENTR-10,1670,2444,4954,7,3,48,A7,A3,D12,1670,1670,7.421177528595393,3085.7837767454093,8.03488497888265,0.0,0.0,0.0,81.4723851921393,4.4124635123639715,2.6402493203223916,0.09652509652509654,False,False,3085.7837767454093,0,2,1,1,0,7,4,57,Ventral Mesoderm
