region_annotation,cell_count,percent
Goblet Cell,946,10.704990381351138
Inner Neural Plate,919,10.399456829240693
Ventral Mesoderm,708,8.011768699784994
Posterior Paraxial Mesoderm,563,6.370940364377051
Eye Primordium,459,5.19407038587756
Anterior Neural Ridge,435,4.922485006223831
Anterior Paraxial Mesoderm,364,4.119044924748218
Outer Epidermis,356,4.028516464863642
Early Neuron,352,3.9832522349213533
Inner Epidermis,292,3.304288785787032
Neural Crest,256,2.8969107163064387
Lateral Mesoderm,226,2.557428991739278
Posterior Pre-placodal Region,226,2.557428991739278
Hindbrain Primordium,205,2.3197917845422653
Notochord,186,2.104786692316397
Notoplate,180,2.0368903474029647
Pharyngeal Mesoderm,178,2.014258232431821
Pronephric Primordium,174,1.9689940024895327
Pre-placodal Region,131,1.4824035306099355
Midgut Primordium,131,1.4824035306099355
Ventral Blood Island,131,1.4824035306099355
Anterior Pre-placodal Region,128,1.4484553581532194
Basal Cells,125,1.4145071856965032
Outer Neural Plate Border,124,1.4031911282109313
Ciliated Epidermal Progenitor,120,1.3579268982686432
Anterior Neural Crest,119,1.3466108407830713
Cement Gland Primordium,110,1.244766323412923
Posterior Neural Crest,100,1.1316057485572026
Ionocyte,96,1.0863415186149146
Pharyngeal Primordium,89,1.0071291162159104
Inner Neural Plate Border,88,0.9958130587303383
Pre-chordal Plate Mesoderm,64,0.7242276790766097
Hindgut Primordium,58,0.6563313341631776
Foregut Primordium,49,0.5544868167930294
Pancreatic Primordium,47,0.5318547018218852
L/R Organizer Primordium,38,0.430010184451737
Liver Primordium,27,0.3055335521104447
Anterior Pharyngeal Primordium,21,0.23763720719701256
Outer Neural Plate,10,0.11316057485572027
Other,5,0.056580287427860136
Unknown,1,0.011316057485572026
