leiden_0.8,Anterior Neural Crest,Anterior Neural Ridge,Anterior Paraxial Mesoderm,Anterior Pharyngeal Primordium,Anterior Pre-placodal Region,Basal Cells,Cement Gland Primordium,Ciliated Epidermal Progenitor,Early Neuron,Eye Primordium,Foregut Primordium,Goblet Cell,Hindbrain Primordium,Hindgut Primordium,Inner Epidermis,Inner Neural Plate,Inner Neural Plate Border,Ionocyte,L/R Organizer Primordium,Lateral Mesoderm,Liver Primordium,Midgut Primordium,Neural Crest,Notochord,Notoplate,Other,Outer Epidermis,Outer Neural Plate,Outer Neural Plate Border,Pancreatic Primordium,Pharyngeal Mesoderm,Pharyngeal Primordium,Posterior Neural Crest,Posterior Paraxial Mesoderm,Posterior Pre-placodal Region,Pre-chordal Plate Mesoderm,Pre-placodal Region,Pronephric Primordium,Unknown,Ventral Blood Island,Ventral Mesoderm
0,0,0,0,1,0,0,6,4,0,0,4,634,0,0,0,0,0,7,0,0,2,15,0,0,0,0,228,0,26,0,0,7,0,0,0,0,0,0,0,0,0
1,0,157,0,0,11,2,0,0,7,399,0,0,3,0,0,105,0,0,0,0,0,0,2,0,72,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
10,0,0,0,18,0,0,1,0,0,0,43,14,0,58,0,0,0,3,34,0,24,99,0,0,0,4,21,3,10,46,0,54,0,0,0,0,0,0,0,1,0
11,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,5,0,0,0,0,0,0,8,0,0,8,0,1,0,142,0,3,97
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,90,281
13,0,0,0,0,0,0,1,0,0,0,2,283,0,0,0,0,0,1,1,0,1,7,0,0,0,0,38,0,28,1,0,1,0,0,0,0,0,0,0,0,0
14,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,54,0,0,0,0,0,12,14
15,0,1,0,2,0,0,102,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,0,0,0,0,18,2,54,0,0,25,0,0,0,0,0,0,0,0,0
16,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,0,160,13,0,0,0,0,0,0,0,0,3,0,3,0,1,0,0,2
17,0,0,0,0,0,0,0,116,0,0,0,2,0,0,0,0,0,1,3,0,0,2,0,0,0,1,41,5,6,0,0,2,0,0,0,0,0,0,0,0,0
18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,11,1,0,0,0,0,0,8,0,0,498,0,4,0,1,0,12,35
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,1,0,0,2,1,0,0,96,6,0,0,165,0,0,313,8,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0
4,0,126,0,0,5,4,0,0,1,0,0,0,0,0,289,6,14,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,29,0,71,0,0,0,0
5,116,8,0,0,2,0,0,0,18,0,0,0,0,0,0,24,13,0,0,0,0,0,232,0,2,0,0,0,0,0,0,0,95,0,3,0,4,0,0,0,0
6,0,6,0,0,2,2,0,0,178,2,0,0,2,0,0,277,7,0,0,0,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,125,0,0,0,0,54,0,11,0,12,279
8,1,98,0,0,104,1,0,0,42,0,0,0,0,0,1,0,13,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,187,0,28,0,0,0,0
9,2,37,0,0,2,25,0,0,10,52,0,0,35,0,1,190,33,0,0,0,0,0,14,0,62,0,0,0,0,0,0,0,5,0,2,0,5,0,0,0,0
