notebook,stage,condition,region_annotation,cell_count,percent_of_final_annotated
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Neuroectoderm 2,2551,18.0922
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Epidermis 2,2306,16.3546
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Epidermis1,2170,15.3901
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Dorsal Mesoderm 2,1347,9.5532
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Ventral Mesoderm 2,1276,9.0496
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Neural Plate Border 1,1203,8.5319
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Neuroectoderm 1,860,6.0993
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Unidentified Cluster,842,5.9716
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Dorsal Endoderm 2,522,3.7021
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Ventral Endoderm 2,479,3.3972
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Dorsal Endoderm 1,242,1.7163
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Dorsal Mesoderm 1,164,1.1631
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Ventral Endoderm 1,70,0.4965
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage10-Xtrop_descriptive_section_paths(1).ipynb,Stage10,WT,Ventral Mesoderm 1,68,0.4823
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Neural Plate Border 1,1227,20.4671
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Dorsal Mesoderm 2,846,14.1118
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Neuroectoderm 2,733,12.2269
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Neuroectoderm 1,636,10.6088
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Epidermis1,472,7.8732
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Epidermis 2,378,6.3053
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Ventral Mesoderm 2,349,5.8215
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Unidentified Cluster,334,5.5713
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Dorsal Endoderm 2,197,3.2861
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Dorsal Endoderm 1,191,3.186
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Ventral Endoderm 2,162,2.7023
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Ventral Mesoderm 1,151,2.5188
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Cement Gland Primordium,107,1.7848
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Ventral Endoderm 1,102,1.7014
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Dorsal Mesoderm 1,98,1.6347
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-MO_Xtrop_descriptive_section_paths.ipynb,Stage11.25,MO,Ciliated Epidermal Progenitor,12,0.2002
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Neuroectoderm 2,1205,18.4929
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Epidermis 2,1122,17.2192
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Dorsal Mesoderm 2,955,14.6562
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Epidermis1,698,10.7121
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Neural Plate Border 1,571,8.763
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Neuroectoderm 1,450,6.9061
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Unidentified Cluster,450,6.9061
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Ventral Mesoderm 2,356,5.4635
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Ventral Endoderm 2,143,2.1946
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Dorsal Endoderm 2,128,1.9644
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Cement Gland Primordium,101,1.55
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Ciliated Epidermal Progenitor,91,1.3966
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Ventral Mesoderm 1,82,1.2584
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Dorsal Endoderm 1,64,0.9822
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Dorsal Mesoderm 1,61,0.9362
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage11-WT_Xtrop_descriptive_section_paths.ipynb,Stage11.25,WT,Ventral Endoderm 1,39,0.5985
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Neural Plate 2,980,9.5731
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Epidermis 1,952,9.2996
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Ventral Mesoderm,854,8.3423
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Posterior Paraxial Mesoderm,709,6.9259
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Eye Primordium,555,5.4215
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Epidermis 2,472,4.6107
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Goblet Cell,450,4.3958
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Anterior Paraxial Mesoderm,382,3.7316
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Neural Crest,371,3.6241
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Notochord,358,3.4971
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Neural Plate Border 1,344,3.3604
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Lateral Mesoderm,335,3.2724
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Neural Plate 1,335,3.2724
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Early Neuron,278,2.7156
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Pharyngeal Mesoderm,231,2.2565
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Cement Gland Primordium,231,2.2565
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Neural Plate Border 2,219,2.1393
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Anterior Neural Ridge,214,2.0905
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Posterior Pre-placodal Region,202,1.9732
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Hindbrain Primordium,201,1.9635
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,L/R Organizer Mesoderm,190,1.856
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Notoplate,187,1.8267
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Anterior Pre-placodal Region,185,1.8072
snRNAseq_Preprocessing-QualityControl-Annotation_EarlyGastrula-Stage12_5-WT_Xtrop_descriptive_section_paths.ipynb,Stage12.5,WT,Midgut Primordium,172,1.6802
